timestamp,event,data
2026 05 10 19:41:40.667606,PHASE_PREPARING,
2026 05 10 19:41:45.667726,PHASE_SSVEP,
2026 05 10 19:41:45.785946,SSVEP_UPDATE,"fbcca_quad=0, fbcca_conf=0.2546, fbcca_ratio=1.0218, fbcca_consec=1, fbcca_scores=[0.08501024494155841, 0.060948637036049774, 0.08319758333643919, 0.03781315462401829], fbcca_probs=[0.2545621405116307, 0.24851006937039438, 0.25410112345360036, 0.2428266666643746], cca_quad=0, cca_conf=0.2545, cca_ratio=1.1452, cca_scores=[0.12331494142706045, 0.10768252198606294, 0.10272512303203436, 0.08856140230861467], cca_probs=[0.2544559520504484, 0.2505091195239588, 0.2492703190280397, 0.24576460939755307]"
2026 05 10 19:41:46.798820,SSVEP_UPDATE,"fbcca_quad=1, fbcca_conf=0.2572, fbcca_ratio=1.5881, fbcca_consec=1, fbcca_scores=[0.0442686086007625, 0.07908227240625544, 0.049795718125580445, 0.028435094569661264], fbcca_probs=[0.24843113609729134, 0.257232244678278, 0.24980804385060087, 0.24452857537382985], cca_quad=1, cca_conf=0.2616, cca_ratio=1.3108, cca_scores=[0.1127037480843456, 0.14772862529091918, 0.08156664478759698, 0.06532338841385867], cca_probs=[0.2526073686382191, 0.2616116776365463, 0.244863099634063, 0.24091785409117164]"
2026 05 10 19:41:47.830806,SSVEP_UPDATE,"fbcca_quad=0, fbcca_conf=0.2676, fbcca_ratio=1.6286, fbcca_consec=1, fbcca_scores=[0.14118495418573176, 0.050421924694461696, 0.08668862068630348, 0.01016617251640224], fbcca_probs=[0.2675658753304547, 0.2443502799589145, 0.253374711320987, 0.23470913338964378], cca_quad=0, cca_conf=0.2725, cca_ratio=1.5622, cca_scores=[0.2129732859535987, 0.1363304455297459, 0.11506441156409448, 0.03504342318332441], cca_probs=[0.272483034596434, 0.25237940063729, 0.24706895789223715, 0.22806860687403888]"
2026 05 10 19:41:48.851444,SSVEP_UPDATE,"fbcca_quad=0, fbcca_conf=0.2862, fbcca_ratio=4.5759, fbcca_consec=2, fbcca_scores=[0.2329860837414293, 0.04883233872228233, 0.04548626326305336, 0.05091604298084848], fbcca_probs=[0.2861737883376097, 0.23804162010782964, 0.2372464459827366, 0.23853814557182404], cca_quad=0, cca_conf=0.2903, cca_ratio=2.8423, cca_scores=[0.2955442103452848, 0.10398182955967403, 0.0833196350175392, 0.08533173690853775], cca_probs=[0.2902872893055605, 0.23968095974564724, 0.2347794376104371, 0.23525231333835525]"
2026 05 10 19:41:49.868407,SSVEP_UPDATE,"fbcca_quad=0, fbcca_conf=0.3225, fbcca_ratio=7.3049, fbcca_consec=3, fbcca_scores=[0.39918806405749313, 0.03270913245779508, 0.05464675154811732, 0.04058299739998323], fbcca_probs=[0.32254253964592655, 0.22357705099343037, 0.22853599400039534, 0.22534441536024769], cca_quad=0, cca_conf=0.3129, cca_ratio=3.4691, cca_scores=[0.40645958008020694, 0.08438686731295207, 0.11716588775038174, 0.08113582450308507], cca_probs=[0.31291742938244743, 0.22675420627086434, 0.23431014869098835, 0.22601821565569988]"
2026 05 10 19:41:50.882758,SSVEP_UPDATE,"fbcca_quad=0, fbcca_conf=0.3616, fbcca_ratio=7.6013, fbcca_consec=4, fbcca_scores=[0.5880654215299655, 0.03157119273912397, 0.0773640010145798, 0.06408982795882316], fbcca_probs=[0.36160463199446236, 0.20727723762074743, 0.21698972835266567, 0.2141284020321246], cca_quad=0, cca_conf=0.3305, cca_ratio=4.1053, cca_scores=[0.49047398133473274, 0.06577156001560715, 0.10701625208882788, 0.11947440936869262], cca_probs=[0.33052284426999695, 0.21615016098924877, 0.2252516108814749, 0.22807538385927933]"
2026 05 10 19:41:50.882758,SSVEP_CONFIRMED,"fbcca_quad=0, fbcca_conf=0.3616, fbcca_ratio=7.6013, fbcca_consec=4, fbcca_scores=[0.5880654215299655, 0.03157119273912397, 0.0773640010145798, 0.06408982795882316], fbcca_probs=[0.36160463199446236, 0.20727723762074743, 0.21698972835266567, 0.2141284020321246], cca_quad=0, cca_conf=0.3305, cca_ratio=4.1053, cca_scores=[0.49047398133473274, 0.06577156001560715, 0.10701625208882788, 0.11947440936869262], cca_probs=[0.33052284426999695, 0.21615016098924877, 0.2252516108814749, 0.22807538385927933]"
2026 05 10 19:41:50.882758,SELECTION,"quad=0, result=navigate, output=''"
