time,mV

2026 05 10 19:41:40.605798,351
,341
,338
,341
,347
,350
,347
,342
,342
,344
,347
,355
,348
,345
2026 05 10 19:41:40.680192,347
,346
,345
,348
,347
,348
,349
,349
,354
,347
,346
,353
,357
,353
2026 05 10 19:41:40.732551,349
,350
,352
,353
,349
,345
,349
,351
,352
,352
,348
,351
,352
,346
2026 05 10 19:41:40.798578,348
,351
,350
,347
,347
,346
,347
,343
,347
,344
,356
,351
,344
,353
2026 05 10 19:41:40.859891,349
,348
,347
,356
,350
,346
,342
,350
,351
,348
,352
,353
,351
,351
2026 05 10 19:41:40.920996,350
,351
,344
,349
,352
,346
,344
,349
,355
,350
,349
,351
,350
,347
2026 05 10 19:41:40.986034,341
,348
,345
,347
,345
,349
,344
,343
,351
,351
,347
,345
,349
,334
2026 05 10 19:41:41.047598,337
,344
,347
,346
,346
,350
,342
,344
,347
,350
,350
,351
,347
,350
2026 05 10 19:41:41.113444,349
,344
,345
,350
,353
,347
,348
,348
,348
,350
,350
,355
,349
,350
2026 05 10 19:41:41.175161,353
,349
,346
,342
,354
,352
,352
,358
,354
,350
,350
,352
,349
,352
2026 05 10 19:41:41.236862,357
,359
,354
,355
,351
,360
,359
,356
,355
,350
,350
,350
,353
,353
2026 05 10 19:41:41.302220,352
,354
,352
,350
,346
,351
,352
,353
,346
,351
,351
,348
,349
,353
2026 05 10 19:41:41.363231,348
,349
,351
,350
,349
,352
,356
,352
,350
,353
,353
,353
,344
,352
2026 05 10 19:41:41.428936,355
,348
,349
,355
,354
,350
,350
,347
,350
,348
,352
,354
,349
,349
2026 05 10 19:41:41.489959,356
,351
,351
,344
,356
,350
,345
,355
,354
,353
,346
,352
,352
,353
2026 05 10 19:41:41.552216,352
,352
,353
,347
,351
,352
,346
,345
,350
,352
,348
,344
,346
,349
2026 05 10 19:41:41.617531,351
,348
,352
,348
,349
,356
,354
,350
,351
,356
,353
,350
,352
,352
2026 05 10 19:41:41.678343,346
,345
,350
,343
,346
,353
,354
,351
,351
,354
,360
,352
,350
,350
2026 05 10 19:41:41.744020,356
,352
,347
,354
,353
,348
,345
,355
,351
,351
,349
,352
,353
,348
2026 05 10 19:41:41.806130,351
,350
,350
,350
,352
,349
,349
,349
,350
,353
,352
,354
,353
,352
2026 05 10 19:41:41.866322,353
,355
,355
,351
,350
,357
,353
,348
,351
,350
,350
,347
,350
,355
2026 05 10 19:41:41.932700,353
,350
,358
,355
,349
,351
,355
,349
,346
,354
,356
,352
,343
,351
2026 05 10 19:41:41.994460,350
,343
,346
,353
,352
,351
,349
,354
,353
,351
,354
,349
,351
,349
2026 05 10 19:41:42.059414,353
,350
,355
,350
,353
,352
,355
,357
,351
,350
,349
,350
,348
,346
2026 05 10 19:41:42.121587,353
,358
,353
,351
,353
,352
,355
,342
,354
,353
,349
,351
,355
,348
2026 05 10 19:41:42.182514,348
,352
,350
,347
,350
,354
,348
,349
,350
,352
,344
,341
,341
,342
2026 05 10 19:41:42.247764,348
,341
,345
,347
,342
,343
,348
,345
,346
,341
,354
,349
,349
,354
2026 05 10 19:41:42.309767,357
,352
,346
,349
,347
,344
,345
,353
,346
,344
,349
,352
,349
,349
2026 05 10 19:41:42.375412,354
,349
,346
,350
,351
,353
,345
,350
,348
,350
,352
,355
,351
,353
2026 05 10 19:41:42.436754,350
,349
,353
,352
,352
,357
,354
,352
,354
,348
,350
,352
,353
,349
2026 05 10 19:41:42.497668,348
,345
,353
,353
,351
,349
,355
,354
,351
,355
,357
,352
,346
,354
2026 05 10 19:41:42.563779,355
,351
,355
,357
,355
,348
,354
,352
,349
,348
,351
,350
,353
,349
2026 05 10 19:41:42.624904,352
,351
,346
,349
,349
,350
,349
,344
,346
,347
,351
,354
,345
,351
2026 05 10 19:41:42.690160,356
,357
,352
,351
,358
,353
,352
,352
,360
,358
,350
,351
,351
,348
2026 05 10 19:41:42.752084,350
,355
,356
,357
,357
,360
,348
,350
,359
,361
,354
,351
,351
,356
2026 05 10 19:41:42.813549,354
,353
,359
,355
,354
,355
,360
,357
,356
,356
,356
,352
,351
,356
2026 05 10 19:41:42.878983,360
,356
,355
,358
,350
,355
,357
,358
,357
,354
,360
,356
,353
,354
2026 05 10 19:41:42.940293,362
,360
,356
,353
,356
,359
,350
,354
,349
,351
,354
,357
,349
,351
2026 05 10 19:41:43.006087,353
,351
,351
,352
,356
,354
,350
,352
,355
,353
,351
,351
,352
,356
2026 05 10 19:41:43.067744,357
,358
,358
,357
,354
,354
,355
,355
,351
,352
,356
,353
,349
,356
2026 05 10 19:41:43.128798,352
,351
,350
,353
,350
,344
,353
,351
,348
,345
,355
,352
,347
,349
2026 05 10 19:41:43.193982,350
,350
,346
,351
,350
,353
,346
,355
,352
,351
,353
,354
,353
,350
2026 05 10 19:41:43.255520,359
,352
,351
,354
,357
,354
,349
,348
,357
,351
,354
,356
,354
,357
2026 05 10 19:41:43.321217,352
,358
,356
,354
,350
,357
,358
,358
,355
,356
,357
,353
,354
,349
2026 05 10 19:41:43.382888,350
,347
,354
,351
,350
,351
,357
,356
,356
,359
,354
,351
,350
,358
2026 05 10 19:41:43.443799,358
,353
,353
,359
,354
,349
,359
,358
,356
,356
,360
,354
,354
,353
2026 05 10 19:41:43.509716,359
,356
,353
,356
,358
,356
,358
,358
,351
,360
,358
,359
,355
,359
2026 05 10 19:41:43.571007,359
,358
,353
,350
,353
,358
,355
,358
,359
,355
,353
,353
,356
,359
2026 05 10 19:41:43.636714,358
,359
,358
,350
,348
,351
,351
,349
,347
,345
,346
,349
,355
,356
2026 05 10 19:41:43.698147,355
,356
,354
,356
,351
,351
,358
,352
,355
,357
,360
,357
,355
,356
2026 05 10 19:41:43.760088,357
,353
,351
,352
,355
,352
,352
,361
,355
,350
,356
,360
,356
,352
2026 05 10 19:41:43.825387,360
,353
,353
,354
,354
,352
,349
,354
,359
,356
,349
,357
,358
,360
2026 05 10 19:41:43.886824,358
,359
,358
,355
,353
,359
,356
,355
,357
,357
,353
,350
,351
,346
2026 05 10 19:41:43.951484,351
,356
,357
,350
,354
,351
,353
,349
,351
,354
,351
,349
,348
,356
2026 05 10 19:41:44.013769,351
,351
,351
,353
,350
,349
,349
