timestamp,event,data
2026 05 10 19:52:14.478898,PHASE_PREPARING,
2026 05 10 19:52:19.488736,PHASE_SSVEP,
2026 05 10 19:52:19.538984,SSVEP_UPDATE,"fbcca_quad=0, fbcca_conf=0.2567, fbcca_ratio=1.6085, fbcca_consec=1, fbcca_scores=[0.08725158593014451, 0.05424526063499804, 0.0525363361021249, 0.04837177382768427], fbcca_probs=[0.2567210100675113, 0.24838590517783193, 0.2479617949002977, 0.246931289854359], cca_quad=0, cca_conf=0.2587, cca_ratio=1.2316, cca_scores=[0.16905070454556387, 0.1372597174090127, 0.10098723603275422, 0.13150416577741753], cca_probs=[0.2586612857107958, 0.25056752410286126, 0.24164167815960624, 0.24912951202673678]"
2026 05 10 19:52:20.561051,SSVEP_UPDATE,"fbcca_quad=2, fbcca_conf=0.2573, fbcca_ratio=1.6508, fbcca_consec=1, fbcca_scores=[0.016909627175493845, 0.03719391785047501, 0.07088180033463534, 0.042937805100028294], fbcca_probs=[0.24376471102413516, 0.24875979487647268, 0.25728273956929554, 0.2501927545300966], cca_quad=2, cca_conf=0.2631, cca_ratio=1.3621, cca_scores=[0.08351049167268816, 0.1144037712838954, 0.17849655924855348, 0.13104194467711375], cca_probs=[0.23925172692590657, 0.2467583525513221, 0.2630916145887899, 0.2508983059339815]"
2026 05 10 19:52:21.616192,SSVEP_UPDATE,"fbcca_quad=2, fbcca_conf=0.2603, fbcca_ratio=1.7875, fbcca_consec=2, fbcca_scores=[0.014507279590285605, 0.02627456854746726, 0.08326375902401208, 0.04658128521826438], fbcca_probs=[0.24297758099652936, 0.24585365702384485, 0.26027158908822295, 0.2508971728914028], cca_quad=2, cca_conf=0.2640, cca_ratio=1.4539, cca_scores=[0.07995160339074082, 0.08187610948344079, 0.16533721484128547, 0.11372210924144528], cca_probs=[0.24240011809343068, 0.24286706777720735, 0.2640069300073696, 0.2507258841219924]"
2026 05 10 19:52:22.632059,SSVEP_UPDATE,"fbcca_quad=0, fbcca_conf=0.2613, fbcca_ratio=1.1066, fbcca_consec=1, fbcca_scores=[0.11087321609381762, 0.03173128275111581, 0.021198181528302884, 0.10019424370514529], fbcca_probs=[0.26126613153701755, 0.2413860732817781, 0.2388568728837521, 0.2584909222974523], cca_quad=0, cca_conf=0.2690, cca_ratio=1.2657, cca_scores=[0.21367096320505888, 0.08411840388994367, 0.08889290075371757, 0.1688173111825577], cca_probs=[0.2690111093641334, 0.23632314293565335, 0.23745416492235397, 0.25721158277785916]"
2026 05 10 19:52:23.649887,SSVEP_UPDATE,"fbcca_quad=0, fbcca_conf=0.2783, fbcca_ratio=3.8358, fbcca_consec=2, fbcca_scores=[0.1846541419236891, 0.04813918579139541, 0.028629193090054805, 0.03962635886531297], fbcca_probs=[0.27832442407552327, 0.2428083551450677, 0.23811707810505964, 0.24075014267434938], cca_quad=0, cca_conf=0.2890, cca_ratio=2.1906, cca_scores=[0.30981706703698186, 0.14142940690406422, 0.09868431527150039, 0.09351252980273665], cca_probs=[0.289002078545987, 0.24421432482038472, 0.23399532312712168, 0.2327882735065067]"
2026 05 10 19:52:24.664110,SSVEP_UPDATE,"fbcca_quad=0, fbcca_conf=0.2811, fbcca_ratio=2.6703, fbcca_consec=3, fbcca_scores=[0.2358909704145225, 0.07830986961208575, 0.0883389110728503, 0.06152827772523678], fbcca_probs=[0.2811344262495684, 0.2401471449361861, 0.242567708285873, 0.23615072052837247], cca_quad=0, cca_conf=0.2984, cca_ratio=2.7024, cca_scores=[0.36627873807873584, 0.13436688557314297, 0.13554053427855486, 0.09693316773225275], cca_probs=[0.298432404724366, 0.2366616786098676, 0.23693959934134015, 0.2279663173244263]"
2026 05 10 19:52:25.672627,SSVEP_UPDATE,"fbcca_quad=0, fbcca_conf=0.3338, fbcca_ratio=3.5501, fbcca_consec=4, fbcca_scores=[0.47943678198185774, 0.03937957919989253, 0.13504872520893982, 0.03765745326549095], fbcca_probs=[0.33382907555239866, 0.21498578493553872, 0.2365692685616338, 0.21461587095042886], cca_quad=0, cca_conf=0.3303, cca_ratio=3.2604, cca_scores=[0.49973688601693805, 0.08978930802890953, 0.1532759631242344, 0.07885418608575459], cca_probs=[0.3303231431229102, 0.21923052876351307, 0.23360005211000456, 0.21684627600357223]"
2026 05 10 19:52:25.672627,SSVEP_CONFIRMED,"fbcca_quad=0, fbcca_conf=0.3338, fbcca_ratio=3.5501, fbcca_consec=4, fbcca_scores=[0.47943678198185774, 0.03937957919989253, 0.13504872520893982, 0.03765745326549095], fbcca_probs=[0.33382907555239866, 0.21498578493553872, 0.2365692685616338, 0.21461587095042886], cca_quad=0, cca_conf=0.3303, cca_ratio=3.2604, cca_scores=[0.49973688601693805, 0.08978930802890953, 0.1532759631242344, 0.07885418608575459], cca_probs=[0.3303231431229102, 0.21923052876351307, 0.23360005211000456, 0.21684627600357223]"
2026 05 10 19:52:25.672627,SELECTION,"quad=0, result=navigate, output=''"
2026 05 10 19:52:28.677972,PHASE_SSVEP,
2026 05 10 19:52:28.710589,SSVEP_UPDATE,"fbcca_quad=0, fbcca_conf=0.2584, fbcca_ratio=1.3565, fbcca_consec=1, fbcca_scores=[0.10684884583052168, 0.05395907984496144, 0.07877035152906578, 0.055162821198238024], fbcca_probs=[0.2583696533999228, 0.2450596275341151, 0.2512159255080323, 0.2453547935579298], cca_quad=0, cca_conf=0.2639, cca_ratio=1.2788, cca_scores=[0.19194735898904797, 0.09971104543410397, 0.15010453272605834, 0.10689793273034556], cca_probs=[0.2638956204535626, 0.24064368027473684, 0.2530813102878087, 0.2423793889838918]"
2026 05 10 19:52:29.726982,SSVEP_UPDATE,"fbcca_quad=0, fbcca_conf=0.2743, fbcca_ratio=2.3707, fbcca_consec=2, fbcca_scores=[0.19277727909819617, 0.0813178182795909, 0.0805867916534373, 0.03808969566476325], fbcca_probs=[0.27434207001578825, 0.24540656830861232, 0.24522723512959646, 0.23502412654600302], cca_quad=0, cca_conf=0.2732, cca_ratio=1.6841, cca_scores=[0.23325012249721347, 0.1385046025789119, 0.12895876083551314, 0.07015135979693396], cca_probs=[0.273218488346148, 0.24852073402857752, 0.24615968147742867, 0.2321010961478458]"
2026 05 10 19:52:30.753493,SSVEP_UPDATE,"fbcca_quad=1, fbcca_conf=0.2546, fbcca_ratio=1.0989, fbcca_consec=1, fbcca_scores=[0.07740272391320159, 0.12459541025024007, 0.1092701916413085, 0.11338656604171306], fbcca_probs=[0.24287503283481726, 0.2546117228440463, 0.2507394897270852, 0.25177375459405116], cca_quad=1, cca_conf=0.2537, cca_ratio=1.0232, cca_scores=[0.1616218483298314, 0.16537587661722222, 0.12054476533584318, 0.1542532280073364], cca_probs=[0.2527694245228331, 0.25372011142896755, 0.2425967560121237, 0.25091370803607566]"
2026 05 10 19:52:31.770730,SSVEP_UPDATE,"fbcca_quad=0, fbcca_conf=0.2612, fbcca_ratio=1.1944, fbcca_consec=1, fbcca_scores=[0.14931048820220832, 0.12500521168808415, 0.05106845721391756, 0.09384095460748046], fbcca_probs=[0.2612017645502587, 0.2549297141593455, 0.2367609830581933, 0.24710753823220255], cca_quad=0, cca_conf=0.2641, cca_ratio=1.2166, cca_scores=[0.1896853661204657, 0.15591666500233584, 0.0989028525699968, 0.09200739185709789], cca_probs=[0.2640645873258737, 0.2552963484244429, 0.24114808578803604, 0.2394909784616475]"
2026 05 10 19:52:32.787801,SSVEP_UPDATE,"fbcca_quad=0, fbcca_conf=0.2685, fbcca_ratio=2.4165, fbcca_consec=2, fbcca_scores=[0.15389547512435142, 0.05492649518908158, 0.06368399526748553, 0.05423652309053015], fbcca_probs=[0.26848125659497873, 0.2431824838212913, 0.24532150701953392, 0.2430147525641961], cca_quad=0, cca_conf=0.2761, cca_ratio=1.8261, cca_scores=[0.2485724023537696, 0.10994544819065027, 0.13612404524358798, 0.09542998658685088], cca_probs=[0.2760750283285231, 0.24033786792894862, 0.2467126535426761, 0.236874450199852]"
2026 05 10 19:52:33.803517,SSVEP_UPDATE,"fbcca_quad=0, fbcca_conf=0.2880, fbcca_ratio=2.4378, fbcca_consec=3, fbcca_scores=[0.2497521125573996, 0.05035588157964158, 0.10244850440016139, 0.013855637412242595], fbcca_probs=[0.2880085137413933, 0.235943839933422, 0.2485605388933392, 0.22748710743184541], cca_quad=0, cca_conf=0.2962, cca_ratio=2.3515, cca_scores=[0.3492513784773017, 0.14852419362240635, 0.13547110235920945, 0.061592054413395145], cca_probs=[0.29623674519599397, 0.24236182753755853, 0.23921881413067755, 0.22218261313576992]"
2026 05 10 19:52:34.832988,SSVEP_UPDATE,"fbcca_quad=0, fbcca_conf=0.2976, fbcca_ratio=4.0667, fbcca_consec=4, fbcca_scores=[0.2795893342784392, 0.030474320787793004, 0.06875067280733017, 0.01912216447022634], fbcca_probs=[0.29761138594929715, 0.2319851933760476, 0.24103686774704555, 0.22936655292760977], cca_quad=0, cca_conf=0.3021, cca_ratio=3.3628, cca_scores=[0.35080301795671026, 0.10178150052914951, 0.10431922490925825, 0.0611405538326631], cca_probs=[0.3021491808174826, 0.2355443819761967, 0.23614288779714177, 0.2261635494091789]"
2026 05 10 19:52:35.845615,SSVEP_UPDATE,"fbcca_quad=0, fbcca_conf=0.2858, fbcca_ratio=5.0774, fbcca_consec=5, fbcca_scores=[0.21674920959639693, 0.042689093409476894, 0.02164054097256954, 0.03724821988030867], fbcca_probs=[0.2858221832466608, 0.24016105586322914, 0.23515884264024983, 0.23885791824986022], cca_quad=0, cca_conf=0.2971, cca_ratio=3.1774, cca_scores=[0.318105297078164, 0.10011577440757356, 0.05145389348764733, 0.08910900296567152], cca_probs=[0.2971410240674675, 0.2389411606676412, 0.2275922045546048, 0.23632561071028643]"
