time,mV

2026 05 10 19:52:14.439105,356
,361
,368
,364
,362
,368
,370
,363
,369
,391
,400
,375
,353
,334
2026 05 10 19:52:14.499646,352
,345
,345
,340
,341
,348
,381
,396
,375
,338
,321
,329
,334
,348
2026 05 10 19:52:14.561950,354
,352
,351
,363
,364
,355
,362
,363
,364
,357
,364
,363
,361
,357
2026 05 10 19:52:14.626793,361
,362
,353
,356
,363
,358
,356
,360
,364
,357
,357
,366
,372
,353
2026 05 10 19:52:14.689082,347
,362
,366
,360
,360
,357
,357
,345
,339
,331
,336
,340
,347
,350
2026 05 10 19:52:14.754195,343
,343
,352
,344
,339
,349
,360
,364
,364
,358
,354
,361
,361
,348
2026 05 10 19:52:14.815547,338
,335
,346
,354
,356
,356
,359
,360
,357
,356
,364
,356
,346
,352
2026 05 10 19:52:14.877031,359
,361
,356
,366
,366
,355
,355
,362
,358
,347
,353
,356
,349
,347
2026 05 10 19:52:14.942341,356
,366
,360
,363
,378
,379
,377
,387
,387
,346
,319
,338
,338
,326
2026 05 10 19:52:15.004464,335
,348
,343
,338
,352
,356
,353
,347
,349
,352
,359
,368
,345
,352
2026 05 10 19:52:15.069965,353
,355
,369
,374
,340
,349
,346
,346
,342
,354
,359
,353
,353
,361
2026 05 10 19:52:15.131014,358
,351
,353
,361
,354
,348
,359
,354
,350
,348
,356
,355
,358
,359
2026 05 10 19:52:15.192839,366
,364
,352
,356
,364
,352
,350
,357
,357
,353
,358
,379
,371
,355
2026 05 10 19:52:15.257857,355
,361
,348
,347
,341
,341
,335
,332
,339
,344
,342
,348
,356
,351
2026 05 10 19:52:15.320230,341
,347
,355
,345
,346
,350
,354
,346
,345
,360
,342
,350
,348
,358
2026 05 10 19:52:15.385073,366
,351
,346
,347
,351
,356
,355
,352
,346
,354
,355
,354
,355
,352
2026 05 10 19:52:15.446583,370
,345
,348
,347
,348
,345
,353
,355
,340
,346
,351
,369
,358
,359
2026 05 10 19:52:15.508384,348
,358
,352
,356
,361
,360
,363
,369
,370
,368
,364
,365
,363
,346
2026 05 10 19:52:15.573767,343
,353
,349
,330
,337
,344
,345
,345
,352
,354
,353
,350
,356
,357
2026 05 10 19:52:15.635015,349
,355
,356
,358
,363
,357
,357
,365
,365
,376
,396
,343
,331
,339
2026 05 10 19:52:15.699310,339
,345
,345
,355
,363
,353
,353
,359
,363
,359
,371
,363
,359
,367
2026 05 10 19:52:15.761629,370
,363
,358
,366
,371
,364
,361
,369
,372
,365
,382
,377
,370
,368
2026 05 10 19:52:15.822832,360
,345
,338
,345
,350
,352
,350
,360
,368
,364
,356
,359
,367
,362
2026 05 10 19:52:15.888565,359
,368
,372
,360
,364
,385
,384
,365
,357
,354
,358
,352
,361
,361
2026 05 10 19:52:15.949218,364
,359
,362
,361
,358
,364
,370
,356
,354
,367
,373
,366
,371
,380
2026 05 10 19:52:16.015844,386
,376
,370
,363
,345
,337
,347
,354
,354
,357
,366
,368
,363
,364
2026 05 10 19:52:16.077602,370
,364
,357
,361
,369
,364
,359
,370
,367
,362
,358
,365
,367
,358
2026 05 10 19:52:16.138767,356
,365
,363
,353
,363
,366
,357
,357
,347
,349
,349
,353
,360
,355
2026 05 10 19:52:16.204544,345
,350
,352
,348
,349
,359
,358
,354
,354
,358
,362
,349
,355
,364
2026 05 10 19:52:16.266054,352
,342
,352
,360
,349
,349
,356
,354
,352
,351
,352
,347
,339
,355
2026 05 10 19:52:16.331499,357
,352
,348
,360
,355
,352
,351
,360
,365
,359
,353
,357
,352
,340
2026 05 10 19:52:16.393158,359
,365
,365
,374
,344
,339
,321
,311
,328
,334
,330
,338
,325
,325
2026 05 10 19:52:16.454289,340
,353
,343
,339
,337
,333
,326
,328
,339
,343
,336
,334
,343
,347
2026 05 10 19:52:16.519915,344
,344
,349
,347
,340
,346
,347
,344
,336
,348
,343
,339
,338
,348
2026 05 10 19:52:16.581495,341
,337
,337
,330
,327
,320
,338
,339
,340
,302
,345
,330
,298
,325
2026 05 10 19:52:16.642311,361
,340
,334
,342
,340
,336
,328
,338
,339
,330
,330
,339
,338
,332
2026 05 10 19:52:16.708370,334
,335
,333
,325
,337
,336
,332
,332
,335
,336
,332
,337
,341
,335
2026 05 10 19:52:16.769729,331
,343
,350
,339
,340
,354
,344
,346
,350
,348
,331
,309
,328
,343
2026 05 10 19:52:16.835318,328
,321
,336
,342
,338
,336
,338
,331
,328
,336
,343
,337
,336
,331
2026 05 10 19:52:16.896573,335
,336
,329
,340
,340
,335
,338
,342
,338
,334
,343
,340
,337
,337
2026 05 10 19:52:16.957861,343
,339
,336
,338
,343
,341
,336
,340
,346
,342
,336
,342
,346
,341
2026 05 10 19:52:17.023146,344
,340
,337
,327
,337
,345
,341
,331
,326
,315
,339
,339
,360
,354
2026 05 10 19:52:17.085011,339
,350
,351
,350
,336
,346
,350
,344
,342
,336
,335
,336
,333
,340
2026 05 10 19:52:17.150728,339
,332
,340
,345
,340
,332
,339
,341
,342
,334
,345
,338
,329
,338
2026 05 10 19:52:17.211820,340
,334
,336
,349
,344
,336
,342
,342
,337
,335
,340
,345
,342
,340
2026 05 10 19:52:17.273666,346
,340
,334
,334
,342
,342
,337
,332
,347
,344
,328
,335
,342
,341
2026 05 10 19:52:17.338953,340
,345
,344
,340
,334
,342
,339
,336
,341
,341
,336
,337
,347
,346
2026 05 10 19:52:17.399800,342
,343
,349
,346
,338
,347
,350
,351
,346
,347
,344
,341
,341
,345
2026 05 10 19:52:17.466008,346
,341
,339
,348
,346
,339
,345
,348
,344
,336
,346
,349
,336
,348
2026 05 10 19:52:17.526959,351
,346
,339
,344
,346
,339
,339
,348
,348
,342
,338
,344
,346
,340
2026 05 10 19:52:17.588639,346
,352
,345
,337
,337
,337
,342
,340
,349
,344
,336
,348
,361
,351
2026 05 10 19:52:17.654542,342
,348
,353
,348
,343
,352
,356
,344
,345
,355
,352
,346
,347
,361
2026 05 10 19:52:17.715072,348
,346
,351
,352
,348
,345
,351
,353
,345
,352
,356
,347
,344
,348
2026 05 10 19:52:17.781459,348
,343
,342
,346
,344
,344
,346
,349
,347
,346
,351
,350
,343
,345
2026 05 10 19:52:17.842221,349
,347
,344
,343
,349
,344
,336
,346
,353
,344
,340
,349
,348
,339
2026 05 10 19:52:17.903873,340
,347
,340
,338
,343
,350
,343
,341
,353
,348
,341
,342
,350
,344
2026 05 10 19:52:17.969077,339
,345
,346
,339
,334
,344
,346
,343
,343
,356
,346
,341
,339
,346
2026 05 10 19:52:18.030861,342
,338
,343
,350
,350
,341
,343
,346
,349
,343
,351
,347
,343
,348
2026 05 10 19:52:18.096752,350
,351
,346
,356
,353
,347
,350
,355
,351
,343
,349
,352
,353
,347
2026 05 10 19:52:18.158067,349
,349
,341
,342
,351
,349
,346
,352
,358
,353
,350
,353
,353
,344
2026 05 10 19:52:18.219444,341
,350
,355
,346
,351
,356
,354
,346
,347
,356
,358
,355
,372
,381
2026 05 10 19:52:18.284245,364
,355
,329
,327
,331
,337
,342
,335
,336
,349
,354
,354
,347
,347
2026 05 10 19:52:18.346172,347
,341
,348
,353
,354
,345
,340
,351
,354
,349
,352
,343
,338
,341
2026 05 10 19:52:18.410999,343
,344
,345
,345
,349
,346
,351
,359
,365
,357
,354
,366
,351
,331
2026 05 10 19:52:18.473742,342
,348
,347
,343
,351
,354
,348
,349
,355
,356
,352
,348
,358
,357
2026 05 10 19:52:18.534377,356
,355
,355
,350
,347
,358
,352
,345
,348
,350
,351
,342
,347
,357
2026 05 10 19:52:18.600982,354
,349
,350
,360
,355
,351
,354
,358
,348
,348
,358
,350
,347
,353
2026 05 10 19:52:18.661575,354
,344
,342
,354
,357
,350
,341
,356
,356
,346
,352
,356
,352
,350
2026 05 10 19:52:18.727511,349
,349
,344
,353
,361
,346
,338
,348
,350
,344
,337
,347
,348
,345
2026 05 10 19:52:18.789123,341
,354
,352
,346
,351
,352
,348
,343
,350
,354
,348
,347
,350
,354
2026 05 10 19:52:18.849679,349
,342
,350
,352
,344
,354
,355
,352
,341
,352
,361
,353
,349
,356
2026 05 10 19:52:18.916023,347
,341
,352
,351
,340
,345
,345
,346
,340
,342
,347
,353
,344
,346
2026 05 10 19:52:18.977467,355
,347
,342
,357
,356
,348
,338
,344
,341
,337
,344
,353
,337
,336
2026 05 10 19:52:19.042318,344
,350
,346
,346
,358
,359
,354
,352
,352
,349
,347
,351
,352
,352
2026 05 10 19:52:19.103571,347
,355
,351
,347
,347
,356
,355
,346
,341
,349
,346
,342
,353
,358
2026 05 10 19:52:19.165407,354
,352
,358
,356
,351
,346
,358
,353
,347
,354
,357
,350
,347
,355
2026 05 10 19:52:19.231366,355
,350
,358
,365
,359
,349
,350
,356
,354
,350
,359
,357
,349
,350
2026 05 10 19:52:19.292934,351
,354
,347
,348
,354
,347
,347
,356
,355
,351
,348
,356
,352
,348
2026 05 10 19:52:19.358063,349
,361
,353
,343
,353
,349
,349
,347
,357
,357
,347
,350
,351
,350
2026 05 10 19:52:19.419178,346
,349
,354
,351
,353
,363
,357
,348
,350
,355
,349
,346
,353
,357
2026 05 10 19:52:19.480723,356
,349
,345
,349
,345
,348
,356
,358
,350
,354
,360
,355
,348
,354
2026 05 10 19:52:19.546715,357
,360
,352
,354
,357
,355
,351
,360
,351
,353
,355
,352
,350
,350
2026 05 10 19:52:19.607607,354
,349
,349
,343
,350
,353
,349
,346
,350
,348
,340
,355
,366
,358
2026 05 10 19:52:19.673021,354
,358
,357
,351
,349
,361
,365
,355
,355
,352
,345
,346
,349
,351
2026 05 10 19:52:19.735230,346
,346
,354
,351
,343
,352
,353
,350
,348
,348
,365
,352
,352
,356
2026 05 10 19:52:19.796399,354
,347
,348
,352
,352
,347
,350
,359
,352
,348
,353
,354
,350
,352
2026 05 10 19:52:19.862203,352
,352
,346
,352
,356
,346
,341
,342
,341
,339
,350
,353
,357
,350
2026 05 10 19:52:19.923683,354
,358
,351
,347
,353
,352
,345
,340
,353
,348
,344
,349
,353
,352
2026 05 10 19:52:19.989123,346
,358
,363
,351
,350
,354
,352
,350
,355
,357
,353
,348
,356
,357
2026 05 10 19:52:20.050569,349
,355
,356
,353
,343
,345
,356
,360
,351
,356
,358
,346
,350
,350
2026 05 10 19:52:20.110685,359
,349
,350
,356
,351
,353
,352
,355
,350
,342
,351
,356
,352
,348
2026 05 10 19:52:20.177064,357
,355
,344
,352
,360
,354
,354
,356
,347
,343
,344
,355
,357
,348
2026 05 10 19:52:20.239332,346
,358
,350
,356
,359
,359
,352
,347
,352
,357
,354
,347
,353
,351
2026 05 10 19:52:20.303824,349
,353
,351
,350
,352
,364
,357
,345
,350
,363
,355
,345
,352
,357
2026 05 10 19:52:20.365954,350
,351
,356
,355
,351
,360
,365
,360
,352
,349
,353
,348
,344
,351
2026 05 10 19:52:20.428949,358
,354
,344
,355
,350
,349
,345
,358
,353
,350
,352
,359
,354
,349
2026 05 10 19:52:20.492986,364
,351
,345
,350
,354
,358
,356
,359
,362
,352
,347
,355
,352
,349
