timestamp,event,data
2026 05 10 20:06:51.944318,PHASE_PREPARING,
2026 05 10 20:06:56.954864,PHASE_SSVEP,
2026 05 10 20:06:57.021017,SSVEP_UPDATE,"fbcca_quad=0, fbcca_conf=0.2646, fbcca_ratio=2.8759, fbcca_consec=1, fbcca_scores=[0.10782124637772947, 0.023024796543783126, 0.03340322538600795, 0.03749118223903078], fbcca_probs=[0.2646154412661828, 0.2431020118643432, 0.24563816668259664, 0.24664438018687734], cca_quad=0, cca_conf=0.2614, cca_ratio=1.6791, cca_scores=[0.13872137256965233, 0.07510185593458704, 0.078706432630798, 0.08261674231310749], cca_probs=[0.2614001414328264, 0.24528794977391769, 0.24617370442777736, 0.2471382043654785]"
2026 05 10 20:06:58.035127,SSVEP_UPDATE,"fbcca_quad=0, fbcca_conf=0.2534, fbcca_ratio=1.2193, fbcca_consec=2, fbcca_scores=[0.06347263444335681, 0.052055190077194814, 0.04454570243213786, 0.04032454393395427], fbcca_probs=[0.253355932659166, 0.2504797062157619, 0.24860577688743993, 0.24755858423763222], cca_quad=0, cca_conf=0.2521, cca_ratio=1.0036, cca_scores=[0.1017089685361837, 0.10134479299577906, 0.09551092741312152, 0.07454369615456162], cca_probs=[0.2521014290907382, 0.25200963663186093, 0.25054372640538686, 0.245345207872014]"
2026 05 10 20:06:59.066885,SSVEP_UPDATE,"fbcca_quad=0, fbcca_conf=0.2771, fbcca_ratio=4.3588, fbcca_consec=3, fbcca_scores=[0.1803738941068781, 0.041381630127324945, 0.0407774826009059, 0.039798144777735536], fbcca_probs=[0.2771002847603313, 0.24114229996675063, 0.24099665844162418, 0.24076075683129386], cca_quad=0, cca_conf=0.2763, cca_ratio=2.4733, cca_scores=[0.2162604708766452, 0.08743949364572162, 0.07613986635744026, 0.07752120229922775], cca_probs=[0.2763316663890777, 0.2429318270475544, 0.24020223865432017, 0.24053426790904772]"
2026 05 10 20:07:00.082796,SSVEP_UPDATE,"fbcca_quad=0, fbcca_conf=0.2932, fbcca_ratio=3.7041, fbcca_consec=4, fbcca_scores=[0.2688741340491749, 0.07258784636306108, 0.01990119737691212, 0.05675683412781008], fbcca_probs=[0.29323382137179793, 0.2409727913701136, 0.22860540139970356, 0.2371879858583849], cca_quad=0, cca_conf=0.2945, cca_ratio=2.8936, cca_scores=[0.3064332903908467, 0.10589931683035583, 0.06063769288653965, 0.07688035172521793], cca_probs=[0.29452785120127206, 0.24101028193262097, 0.23034495098504817, 0.2341169158810588]"
2026 05 10 20:07:01.095803,SSVEP_UPDATE,"fbcca_quad=0, fbcca_conf=0.2953, fbcca_ratio=4.0664, fbcca_consec=5, fbcca_scores=[0.29298085345975017, 0.06281811465284431, 0.05778640450647395, 0.07204889511022029], fbcca_probs=[0.2952820411781613, 0.23457332664213362, 0.23339598615643603, 0.23674864602326906], cca_quad=0, cca_conf=0.3038, cca_ratio=4.0557, cca_scores=[0.3548502967938793, 0.0842531434874006, 0.08437019948375589, 0.08749314776489299], cca_probs=[0.30382794136612595, 0.23179756022914197, 0.23182469511162668, 0.2325498032931053]"
2026 05 10 20:07:02.123186,SSVEP_UPDATE,"fbcca_quad=0, fbcca_conf=0.3154, fbcca_ratio=4.5443, fbcca_consec=6, fbcca_scores=[0.38030946354377054, 0.0474700183566233, 0.08368927235125107, 0.037758336029916614], fbcca_probs=[0.3154406575736303, 0.22613476548412634, 0.23447533075140842, 0.22394924619083487], cca_quad=0, cca_conf=0.3116, cca_ratio=3.2833, cca_scores=[0.3980039968004602, 0.08989547170992995, 0.12122007181581973, 0.06489347433840294], cca_probs=[0.3115512430900691, 0.22893893392489345, 0.2362238574643647, 0.22328596552067276]"
2026 05 10 20:07:02.123186,SSVEP_CONFIRMED,"fbcca_quad=0, fbcca_conf=0.3154, fbcca_ratio=4.5443, fbcca_consec=6, fbcca_scores=[0.38030946354377054, 0.0474700183566233, 0.08368927235125107, 0.037758336029916614], fbcca_probs=[0.3154406575736303, 0.22613476548412634, 0.23447533075140842, 0.22394924619083487], cca_quad=0, cca_conf=0.3116, cca_ratio=3.2833, cca_scores=[0.3980039968004602, 0.08989547170992995, 0.12122007181581973, 0.06489347433840294], cca_probs=[0.3115512430900691, 0.22893893392489345, 0.2362238574643647, 0.22328596552067276]"
2026 05 10 20:07:02.123186,SELECTION,"quad=0, result=navigate, output=''"
