time,mV

2026 05 10 20:06:51.901471,333
,340
,354
,346
,343
,346
,350
,351
,354
,356
,351
,343
,338
,346
2026 05 10 20:06:51.962959,346
,346
,348
,347
,345
,343
,348
,350
,347
,345
,352
,352
,345
,348
2026 05 10 20:06:52.028252,352
,350
,344
,354
,354
,347
,351
,359
,348
,339
,341
,350
,349
,342
2026 05 10 20:06:52.089538,345
,352
,351
,347
,352
,353
,351
,347
,354
,350
,353
,350
,347
,346
2026 05 10 20:06:52.151625,355
,357
,352
,349
,344
,348
,345
,344
,348
,352
,346
,351
,349
,352
2026 05 10 20:06:52.216771,346
,339
,348
,352
,340
,335
,347
,348
,343
,347
,354
,349
,341
,343
2026 05 10 20:06:52.278256,349
,350
,356
,350
,355
,346
,332
,336
,340
,341
,350
,357
,355
,336
2026 05 10 20:06:52.344103,332
,346
,354
,363
,347
,329
,335
,354
,350
,356
,363
,355
,352
,356
2026 05 10 20:06:52.405663,357
,352
,330
,320
,328
,339
,344
,338
,350
,348
,340
,340
,351
,348
2026 05 10 20:06:52.467066,343
,348
,353
,351
,346
,350
,353
,349
,347
,354
,353
,347
,352
,362
2026 05 10 20:06:52.531779,360
,354
,355
,354
,353
,356
,357
,359
,351
,354
,362
,356
,336
,343
2026 05 10 20:06:52.593355,352
,350
,345
,354
,351
,351
,347
,352
,350
,350
,351
,356
,353
,351
2026 05 10 20:06:52.659472,356
,357
,354
,355
,356
,349
,348
,352
,355
,357
,359
,374
,382
,360
2026 05 10 20:06:52.721019,345
,339
,339
,340
,341
,347
,344
,345
,352
,355
,348
,344
,354
,355
2026 05 10 20:06:52.782074,353
,350
,357
,353
,349
,353
,359
,355
,353
,364
,371
,362
,347
,339
2026 05 10 20:06:52.847166,340
,341
,346
,354
,355
,350
,354
,356
,344
,347
,365
,382
,387
,368
2026 05 10 20:06:52.909729,340
,320
,339
,340
,359
,363
,358
,342
,347
,367
,375
,353
,334
,325
2026 05 10 20:06:52.974966,326
,340
,341
,348
,358
,361
,365
,362
,363
,356
,369
,362
,363
,349
2026 05 10 20:06:53.036507,324
,324
,338
,340
,335
,347
,351
,349
,350
,351
,352
,347
,354
,354
2026 05 10 20:06:53.097131,348
,350
,355
,348
,345
,344
,351
,351
,346
,351
,351
,351
,352
,351
2026 05 10 20:06:53.163400,349
,347
,343
,347
,345
,339
,344
,345
,344
,345
,352
,354
,352
,346
2026 05 10 20:06:53.224195,355
,350
,359
,365
,383
,370
,333
,320
,333
,332
,328
,338
,337
,337
2026 05 10 20:06:53.289575,343
,348
,345
,341
,348
,347
,339
,338
,343
,343
,339
,332
,344
,338
2026 05 10 20:06:53.351832,337
,337
,347
,341
,341
,345
,339
,333
,338
,344
,342
,338
,340
,347
2026 05 10 20:06:53.412969,347
,339
,336
,340
,338
,341
,345
,344
,333
,335
,346
,345
,338
,339
2026 05 10 20:06:53.477892,337
,338
,336
,345
,343
,340
,342
,340
,340
,348
,342
,343
,341
,337
2026 05 10 20:06:53.539512,340
,344
,339
,341
,344
,346
,340
,341
,350
,340
,336
,340
,347
,345
2026 05 10 20:06:53.604862,343
,343
,345
,343
,344
,349
,344
,340
,346
,351
,348
,340
,345
,346
2026 05 10 20:06:53.666946,342
,344
,342
,347
,347
,345
,349
,341
,345
,354
,357
,348
,346
,351
2026 05 10 20:06:53.727943,347
,348
,347
,352
,349
,349
,349
,352
,345
,345
,345
,347
,342
,337
2026 05 10 20:06:53.793783,343
,341
,337
,344
,347
,339
,342
,346
,351
,346
,349
,350
,350
,344
2026 05 10 20:06:53.855820,347
,359
,356
,347
,346
,353
,348
,345
,351
,350
,345
,345
,352
,345
2026 05 10 20:06:53.921006,346
,350
,350
,351
,348
,351
,353
,349
,346
,354
,355
,352
,347
,351
2026 05 10 20:06:53.982600,352
,350
,350
,351
,351
,350
,354
,354
,348
,348
,356
,356
,348
,353
2026 05 10 20:06:54.043831,353
,346
,345
,359
,354
,346
,347
,351
,351
,351
,348
,353
,350
,346
2026 05 10 20:06:54.109458,349
,350
,347
,348
,356
,348
,346
,349
,360
,345
,348
,350
,349
,345
2026 05 10 20:06:54.171009,346
,352
,348
,348
,345
,352
,350
,344
,350
,350
,347
,347
,353
,360
2026 05 10 20:06:54.236415,347
,350
,345
,345
,343
,346
,349
,347
,343
,350
,348
,340
,344
,349
2026 05 10 20:06:54.297971,347
,347
,350
,351
,352
,348
,355
,354
,345
,340
,352
,345
,346
,341
2026 05 10 20:06:54.359110,354
,354
,346
,346
,353
,341
,345
,351
,351
,339
,345
,351
,346
,345
2026 05 10 20:06:54.424548,343
,349
,349
,350
,352
,350
,346
,346
,351
,350
,350
,350
,351
,348
2026 05 10 20:06:54.486460,351
,348
,356
,350
,350
,356
,354
,353
,351
,352
,346
,338
,346
,345
2026 05 10 20:06:54.552378,344
,347
,355
,344
,344
,343
,349
,346
,350
,349
,353
,352
,347
,351
2026 05 10 20:06:54.613899,346
,349
,345
,349
,351
,349
,344
,351
,349
,349
,353
,347
,343
,349
2026 05 10 20:06:54.674882,349
,349
,343
,347
,348
,348
,348
,346
,349
,348
,349
,355
,351
,348
2026 05 10 20:06:54.739651,349
,351
,349
,349
,354
,356
,347
,346
,352
,348
,345
,340
,350
,352
2026 05 10 20:06:54.801537,342
,344
,351
,346
,339
,344
,345
,347
,351
,337
,344
,340
,344
,348
2026 05 10 20:06:54.866904,347
,344
,349
,348
,344
,347
,350
,347
,346
,348
,351
,350
,343
,347
2026 05 10 20:06:54.928713,353
,348
,344
,351
,349
,344
,346
,352
,347
,343
,345
,352
,345
,347
2026 05 10 20:06:54.989382,346
,351
,347
,345
,349
,347
,342
,340
,345
,338
,339
,347
,355
,350
2026 05 10 20:06:55.054795,347
,350
,356
,350
,347
,356
,351
,345
,353
,355
,356
,338
,340
,347
2026 05 10 20:06:55.116776,349
,344
,364
,355
,339
,342
,355
,351
,358
,356
,342
,344
,346
,355
