time,mV

2026 05 13 17:28:04.582803,338
,371
,359
,328
,350
,373
,350
,327
,365
,382
,337
,330
,369
,370
2026 05 13 17:28:04.647470,331
,344
,381
,356
,332
,359
,378
,341
,325
,357
,364
,333
,343
,369
2026 05 13 17:28:04.709509,361
,328
,355
,383
,348
,327
,352
,368
,332
,340
,368
,360
,325
,345
2026 05 13 17:28:04.774745,382
,352
,330
,356
,372
,340
,338
,371
,368
,329
,346
,370
,355
,327
2026 05 13 17:28:04.836686,357
,376
,345
,331
,357
,362
,331
,336
,374
,363
,332
,353
,370
,340
2026 05 13 17:28:04.897368,329
,355
,359
,333
,343
,373
,364
,320
,343
,370
,340
,326
,352
,369
2026 05 13 17:28:04.962790,336
,337
,369
,361
,325
,349
,378
,351
,325
,354
,375
,341
,331
,357
2026 05 13 17:28:05.024490,364
,333
,347
,379
,359
,333
,358
,384
,350
,339
,368
,373
,343
,350
2026 05 13 17:28:06.023270,377
,363
,326
,351
,379
,345
,329
,356
,366
,330
,337
,361
,354
,331
2026 05 13 17:28:06.025251,352
,379
,353
,328
,352
,371
,341
,325
,351
,360
,341
,349
,371
,353
2026 05 13 17:28:06.025251,327
,345
,365
,340
,322
,354
,372
,339
,347
,378
,359
,326
,351
,372
2026 05 13 17:28:06.025251,345
,322
,353
,369
,335
,330
,359
,353
,323
,348
,373
,350
,325
,351
2026 05 13 17:28:06.026279,379
,345
,332
,362
,363
,329
,335
,371
,358
,330
,355
,379
,343
,324
2026 05 13 17:28:06.026279,361
,368
,334
,347
,375
,356
,332
,350
,371
,345
,324
,358
,370
,330
2026 05 13 17:28:06.026279,330
,368
,365
,337
,354
,377
,352
,329
,358
,376
,348
,344
,369
,364
2026 05 13 17:28:06.026279,334
,348
,379
,360
,331
,355
,376
,351
,331
,358
,364
,331
,336
,360
2026 05 13 17:28:06.026279,350
,327
,342
,371
,342
,325
,349
,358
,334
,334
,364
,358
,330
,342
2026 05 13 17:28:06.026279,372
,349
,321
,347
,370
,345
,337
,366
,362
,334
,348
,372
,353
,324
2026 05 13 17:28:06.026279,351
,380
,349
,336
,363
,363
,337
,341
,373
,356
,328
,353
,378
,342
2026 05 13 17:28:06.026279,327
,360
,388
,348
,344
,374
,364
,329
,346
,375
,354
,334
,356
,367
2026 05 13 17:28:06.026279,339
,335
,367
,363
,337
,348
,371
,352
,325
,352
,378
,342
,332
,363
2026 05 13 17:28:06.026279,368
,334
,341
,368
,352
,326
,349
,369
,348
,330
,358
,371
,345
,348
2026 05 13 17:28:06.026279,373
,353
,330
,352
,376
,353
,327
,354
,369
,340
,336
,363
,363
,333
2026 05 13 17:28:06.035335,344
,368
,351
,325
,349
,369
,337
,325
,359
,364
,334
,346
,372
,356
2026 05 13 17:28:06.097693,325
,347
,366
,321
,320
,365
,375
,328
,335
,375
,362
,320
,347
,376
2026 05 13 17:28:06.159239,345
,316
,358
,372
,331
,326
,353
,354
,325
,344
,376
,350
,320
,352
2026 05 13 17:28:06.224984,377
,332
,320
,355
,362
,319
,327
,370
,352
,309
,338
,380
,343
,316
2026 05 13 17:28:06.286290,352
,371
,336
,330
,376
,370
,312
,335
,384
,355
,322
,361
,385
,342
2026 05 13 17:28:06.347328,330
,371
,371
,318
,354
,368
,343
,318
,344
,387
,343
,311
,360
,397
2026 05 13 17:28:06.413396,334
,336
,397
,379
,303
,337
,402
,356
,306
,357
,391
,331
,319
,381
2026 05 13 17:28:06.474354,380
,304
,335
,402
,362
,303
,349
,397
,335
,311
,368
,375
,314
,328
2026 05 13 17:28:06.540025,387
,365
,304
,340
,387
,339
,315
,368
,387
,324
,324
,380
,364
,303
2026 05 13 17:28:06.602060,336
,390
,351
,306
,351
,384
,327
,305
,362
,372
,311
,326
,387
,367
2026 05 13 17:28:06.662615,319
,356
,395
,342
,325
,371
,388
,328
,334
,383
,366
,313
,338
,393
2026 05 13 17:28:06.728772,350
,312
,355
,382
,325
,319
,377
,375
,308
,333
,397
,362
,318
,359
2026 05 13 17:28:06.790033,390
,338
,330
,370
,373
,315
,333
,381
,355
,311
,349
,390
,345
,316
2026 05 13 17:28:06.855760,362
,373
,317
,324
,378
,358
,293
,331
,393
,363
,319
,354
,379
,335
2026 05 13 17:28:06.917287,329
,377
,367
,314
,336
,385
,354
,311
,350
,381
,333
,318
,366
,367
2026 05 13 17:28:06.977905,322
,336
,386
,356
,303
,335
,381
,344
,321
,366
,370
,320
,326
,375
2026 05 13 17:28:07.044242,355
,298
,331
,384
,356
,318
,357
,382
,331
,326
,373
,367
,306
,335
2026 05 13 17:28:07.104847,385
,353
,309
,344
,373
,328
,315
,361
,368
,314
,329
,378
,352
,307
2026 05 13 17:28:07.171124,342
,381
,337
,317
,353
,365
,309
,322
,368
,355
,310
,336
,376
,332
2026 05 13 17:28:07.232586,306
,343
,365
,320
,318
,362
,357
,308
,327
,379
,345
,300
,333
,371
2026 05 13 17:28:07.294185,328
,321
,361
,366
,315
,331
,376
,348
,310
,346
,373
,340
,321
,356
2026 05 13 17:28:07.359508,367
,321
,326
,364
,351
,316
,339
,377
,344
,314
,357
,379
,331
,327
2026 05 13 17:28:07.420301,370
,361
,314
,336
,376
,353
,318
,353
,375
,336
,328
,364
,368
,322
2026 05 13 17:28:07.486201,335
,377
,349
,311
,341
,377
,336
,317
,353
,364
,313
,320
,369
,361
2026 05 13 17:28:07.548072,318
,335
,375
,351
,323
,357
,374
,323
,328
,382
,373
,324
,345
