timestamp,event,data
2026 06 24 13:42:50.850656,PHASE_PREPARING,
2026 06 24 13:42:55.855660,PHASE_SSVEP,
2026 06 24 13:42:55.907351,SSVEP_UPDATE,"fbcca_quad=1, fbcca_conf=0.2556, fbcca_ratio=1.0655, fbcca_consec=1, fbcca_scores=[0.06087459403273554, 0.11709402646998347, 0.10989758740078905, 0.09167925193088117], fbcca_probs=[0.24158333852004904, 0.25555404994409964, 0.2537215723598991, 0.2491410391759521], cca_quad=0, cca_conf=0.2527, cca_ratio=1.0164, cca_scores=[0.0906467990736647, 0.08182881861971528, 0.08918613890130825, 0.05761651364605609], cca_probs=[0.2526994334142451, 0.2504809304827028, 0.2523305948557534, 0.24448904124729876]"
2026 06 24 13:42:56.939870,SSVEP_UPDATE,"fbcca_quad=1, fbcca_conf=0.2630, fbcca_ratio=1.4441, fbcca_consec=2, fbcca_scores=[0.04598865117202354, 0.1367847811899559, 0.0947188703120991, 0.06390482173758948], fbcca_probs=[0.24020789956664493, 0.263038636064862, 0.2522031757650588, 0.24455028860343436], cca_quad=1, cca_conf=0.2581, cca_ratio=1.2487, cca_scores=[0.1069423066080183, 0.1335406464223709, 0.08435455963745145, 0.08085150892748931], cca_probs=[0.25132780845576436, 0.25810240806268797, 0.24571451400851405, 0.24485526947303357]"
2026 06 24 13:42:57.959421,SSVEP_UPDATE,"fbcca_quad=1, fbcca_conf=0.2601, fbcca_ratio=1.1870, fbcca_consec=3, fbcca_scores=[0.09803168864715074, 0.11636686717691977, 0.04168916700064731, 0.04862524775391867], fbcca_probs=[0.25539432224396696, 0.26012021539040475, 0.2414026269781859, 0.2430828353874425], cca_quad=0, cca_conf=0.2704, cca_ratio=1.4128, cca_scores=[0.19289520786420683, 0.13653668753403655, 0.054273205177174856, 0.06747003973568347], cca_probs=[0.2704252890880196, 0.2556060377767815, 0.23542063772023233, 0.23854803541496658]"
2026 06 24 13:42:58.972370,SSVEP_UPDATE,"fbcca_quad=0, fbcca_conf=0.2662, fbcca_ratio=1.1851, fbcca_consec=1, fbcca_scores=[0.15507373099218713, 0.13085803902875115, 0.025410934632069795, 0.05183827385335159], fbcca_probs=[0.2662136548260102, 0.2598445345264071, 0.23383983230094818, 0.2401019783466345], cca_quad=0, cca_conf=0.2748, cca_ratio=1.3002, cca_scores=[0.23827355909314465, 0.18325686247252015, 0.057288944139974284, 0.08573862962590229], cca_probs=[0.2747670599199516, 0.26005859922505836, 0.22927887764122687, 0.2358954632137632]"
2026 06 24 13:42:59.991181,SSVEP_UPDATE,"fbcca_quad=0, fbcca_conf=0.2740, fbcca_ratio=1.5850, fbcca_consec=2, fbcca_scores=[0.21408291589199555, 0.13506431784560172, 0.06577238533170783, 0.06660947151701538], fbcca_probs=[0.27404231932749845, 0.2532213345802163, 0.23626924278576783, 0.2364671033065175], cca_quad=0, cca_conf=0.2784, cca_ratio=1.4129, cca_scores=[0.2777483847333838, 0.19657990916639476, 0.0926569063082531, 0.1024161601234962], cca_probs=[0.2783774666005105, 0.25667469648136737, 0.2313395414746726, 0.23360829544344947]"
2026 06 24 13:43:01.010118,SSVEP_UPDATE,"fbcca_quad=0, fbcca_conf=0.2971, fbcca_ratio=1.4813, fbcca_consec=3, fbcca_scores=[0.3585236741095171, 0.24203490276162626, 0.05177786240727368, 0.057879688692229446], fbcca_probs=[0.2970692036929112, 0.26440350104984756, 0.21859469535995338, 0.21993259989728806], cca_quad=0, cca_conf=0.2889, cca_ratio=1.4440, cca_scores=[0.33838254904364073, 0.2343292025269581, 0.08493426104959871, 0.09527749456512781], cca_probs=[0.28889324828653395, 0.26034401479322444, 0.224215792789434, 0.22654694413080767]"
2026 06 24 13:43:02.039678,SSVEP_UPDATE,"fbcca_quad=1, fbcca_conf=0.2981, fbcca_ratio=1.1629, fbcca_consec=1, fbcca_scores=[0.3319084097229485, 0.38597737888632877, 0.027006281341421336, 0.04180886416407698], fbcca_probs=[0.2824107251826357, 0.29810073096276113, 0.20819192179426263, 0.2112966220603406], cca_quad=0, cca_conf=0.2810, cca_ratio=1.1558, cca_scores=[0.28829154872710233, 0.2494259927387546, 0.05733602802892263, 0.06967146298991966], cca_probs=[0.28095555991691096, 0.27024553944089663, 0.22301543545834138, 0.22578346518385106]"
2026 06 24 13:43:03.049518,SSVEP_UPDATE,"fbcca_quad=1, fbcca_conf=0.2991, fbcca_ratio=1.5077, fbcca_consec=2, fbcca_scores=[0.2447889205375997, 0.3690797398151393, 0.06037417348236415, 0.04808109148113725], fbcca_probs=[0.2641752084537969, 0.2991375110003689, 0.21968568150936282, 0.2170015990364714], cca_quad=1, cca_conf=0.2730, cca_ratio=1.0130, cca_scores=[0.24712638957345254, 0.2503269597489399, 0.08491398331382116, 0.05018849046955097], cca_probs=[0.2721304722654032, 0.27300284023153853, 0.23138181445980682, 0.2234848730432514]"
2026 06 24 13:43:04.076066,SSVEP_UPDATE,"fbcca_quad=1, fbcca_conf=0.3034, fbcca_ratio=1.5979, fbcca_consec=3, fbcca_scores=[0.24365052607386734, 0.38932360727894605, 0.06926250586810571, 0.041058056967450476], fbcca_probs=[0.26223319030855574, 0.303356059195663, 0.22026825116330973, 0.2141424993324715], cca_quad=1, cca_conf=0.2858, cca_ratio=1.1586, cca_scores=[0.30010712127308153, 0.3476895871506834, 0.11587427885506467, 0.06312769890548292], cca_probs=[0.27251800448631525, 0.28579853779718756, 0.22666470181745557, 0.21501875589904157]"
