time,mV

2026 05 14 14:42:55.827198,357
,365
,356
,349
,364
,365
,347
,351
,361
,351
,344
,350
,365
,353
2026 05 14 14:42:55.890387,343
,348
,350
,334
,337
,357
,352
,337
,347
,362
,346
,338
,353
,353
2026 05 14 14:42:55.951986,352
,348
,357
,358
,342
,350
,363
,351
,337
,345
,355
,344
,341
,353
2026 05 14 14:42:56.012779,354
,340
,343
,356
,350
,337
,350
,363
,351
,335
,354
,361
,344
,349
2026 05 14 14:42:56.079365,361
,354
,342
,351
,359
,345
,338
,347
,353
,333
,329
,344
,343
,332
2026 05 14 14:42:56.140391,338
,359
,341
,332
,350
,359
,346
,337
,355
,355
,340
,343
,357
,347
2026 05 14 14:42:56.205108,326
,344
,357
,346
,336
,351
,351
,333
,337
,349
,342
,330
,345
,356
2026 05 14 14:42:56.266983,345
,338
,352
,363
,346
,340
,355
,345
,332
,347
,364
,349
,340
,352
2026 05 14 14:42:56.327964,363
,344
,335
,349
,350
,333
,335
,353
,343
,329
,341
,346
,335
,331
2026 05 14 14:42:56.393353,346
,351
,336
,338
,356
,347
,340
,348
,360
,348
,334
,349
,353
,342
2026 05 14 14:42:56.455124,343
,360
,343
,330
,343
,358
,346
,338
,350
,342
,345
,342
,361
,355
2026 05 14 14:42:56.521533,351
,349
,371
,362
,340
,354
,361
,349
,345
,358
,360
,345
,356
,371
2026 05 14 14:42:56.582337,348
,338
,356
,364
,352
,340
,360
,372
,353
,355
,375
,366
,348
,356
2026 05 14 14:42:56.643367,361
,358
,346
,362
,364
,350
,349
,374
,370
,355
,358
,373
,357
,347
2026 05 14 14:42:56.709358,365
,370
,364
,359
,358
,364
,352
,356
,373
,363
,352
,356
,368
,348
2026 05 14 14:42:56.770307,339
,354
,368
,349
,355
,370
,356
,345
,351
,367
,359
,341
,355
,358
2026 05 14 14:42:56.836668,341
,339
,356
,360
,342
,350
,371
,358
,337
,360
,376
,360
,356
,357
2026 05 14 14:42:56.897488,355
,352
,357
,361
,357
,345
,355
,366
,343
,338
,352
,355
,347
,344
2026 05 14 14:42:56.959196,352
,349
,342
,358
,362
,352
,341
,355
,352
,330
,334
,348
,347
,336
2026 05 14 14:42:57.025539,335
,355
,338
,330
,341
,353
,339
,341
,351
,346
,336
,347
,359
,349
2026 05 14 14:42:57.086550,334
,340
,352
,336
,335
,348
,353
,340
,336
,347
,350
,344
,354
,367
2026 05 14 14:42:57.152029,354
,345
,356
,362
,353
,351
,365
,363
,352
,355
,368
,354
,336
,349
2026 05 14 14:42:57.213394,359
,350
,350
,365
,362
,349
,356
,367
,359
,351
,363
,374
,365
,356
2026 05 14 14:42:57.275078,353
,363
,350
,350
,357
,350
,336
,346
,359
,348
,339
,354
,355
,340
2026 05 14 14:42:57.340852,341
,359
,353
,344
,350
,356
,340
,335
,347
,355
,347
,347
,356
,358
2026 05 14 14:42:57.401348,345
,348
,363
,349
,335
,346
,357
,340
,331
,345
,351
,335
,338
,349
2026 05 14 14:42:57.467279,347
,327
,346
,362
,351
,340
,349
,357
,342
,343
,347
,350
,333
,345
2026 05 14 14:42:57.529235,366
,347
,332
,346
,350
,337
,339
,354
,348
,334
,344
,360
,351
,341
2026 05 14 14:42:57.589682,352
,355
,351
,349
,362
,361
,343
,345
,354
,347
,333
,342
,351
,345
2026 05 14 14:42:57.655883,341
,357
,360
,349
,345
,362
,360
,345
,350
,361
,349
,341
,352
,361
2026 05 14 14:42:57.717496,350
,349
,358
,360
,347
,349
,364
,354
,343
,352
,363
,349
,340
,358
2026 05 14 14:42:57.782332,362
,346
,351
,362
,354
,339
,353
,362
,348
,345
,356
,359
,346
,345
2026 05 14 14:42:57.844107,359
,355
,342
,347
,364
,355
,339
,352
,360
,352
,348
,361
,357
,347
2026 05 14 14:42:57.904950,351
,373
,363
,348
,357
,363
,357
,347
,358
,356
,345
,347
,365
,355
2026 05 14 14:42:57.971117,339
,353
,365
,352
,343
,356
,357
,348
,344
,359
,352
,343
,347
,362
2026 05 14 14:42:58.032152,351
,339
,352
,354
,341
,339
,347
,345
,331
,340
,360
,345
,332
,344
2026 05 14 14:42:58.097580,354
,343
,337
,351
,353
,337
,340
,357
,352
,342
,352
,368
,352
,340
2026 05 14 14:42:58.158758,356
,361
,340
,343
,360
,354
,342
,351
,361
,355
,346
,355
,360
,349
2026 05 14 14:42:58.221097,343
,358
,361
,348
,352
,368
,358
,346
,354
,365
,354
,345
,359
,362
2026 05 14 14:42:58.286635,345
,349
,366
,357
,340
,355
,369
,356
,347
,364
,363
,351
,353
,368
2026 05 14 14:42:58.348060,360
,346
,355
,367
,355
,343
,358
,363
,357
,356
,364
,361
,350
,356
2026 05 14 14:42:58.413397,367
,355
,345
,353
,366
,356
,348
,361
,356
,349
,350
,364
,355
,344
2026 05 14 14:42:58.474982,353
,368
,349
,336
,353
,362
,349
,347
,359
,353
,342
,353
,363
,353
2026 05 14 14:42:58.535817,348
,355
,368
,358
,354
,362
,357
,346
,351
,368
,357
,346
,356
,361
2026 05 14 14:42:58.602095,350
,343
,355
,355
,344
,348
,360
,351
,334
,351
,364
,348
,339
,351
2026 05 14 14:42:58.663458,355
,342
,345
,354
,349
,339
,352
,361
,352
,346
,358
,361
,347
,338
2026 05 14 14:42:58.728857,348
,344
,332
,338
,353
