timestamp,event,data
2026 05 14 15:08:51.310169,PHASE_PREPARING,
2026 05 14 15:08:56.314259,PHASE_SSVEP,
2026 05 14 15:08:56.382073,SSVEP_UPDATE,"fbcca_quad=3, fbcca_conf=0.2583, fbcca_ratio=1.0709, fbcca_consec=1, fbcca_scores=[0.0842800135640195, 0.12509291762156163, 0.06028932378893647, 0.1339671923508947], fbcca_probs=[0.24576701434060721, 0.256004979390502, 0.23994105792541903, 0.2582869483434718], cca_quad=1, cca_conf=0.2590, cca_ratio=1.1731, cca_scores=[0.14044171488060425, 0.16988061285704423, 0.08120397604010605, 0.1448106824645616], cca_probs=[0.25146239785418684, 0.25897521569517223, 0.23699895409098046, 0.25256343235966044]"
2026 05 14 15:08:57.400458,SSVEP_UPDATE,"fbcca_quad=1, fbcca_conf=0.2605, fbcca_ratio=1.2547, fbcca_consec=1, fbcca_scores=[0.07357737022048483, 0.15914253464477873, 0.11078017697369007, 0.12683320711549195], fbcca_probs=[0.23912372748156902, 0.2604852585698479, 0.24818735209179418, 0.2522036618567889], cca_quad=1, cca_conf=0.2608, cca_ratio=1.1065, cca_scores=[0.1747295580027051, 0.19334246766276275, 0.09733041719773879, 0.13573873576491108], cca_probs=[0.256011986281108, 0.2608217371257618, 0.23694430748099213, 0.24622196911213817]"
2026 05 14 15:08:58.416262,SSVEP_UPDATE,"fbcca_quad=0, fbcca_conf=0.2820, fbcca_ratio=2.0032, fbcca_consec=1, fbcca_scores=[0.257086875951806, 0.12833557073350277, 0.06540610022243429, 0.08449106559201024], fbcca_probs=[0.28198876136948514, 0.24792242916836996, 0.23280156564523333, 0.2372872438169116], cca_quad=0, cca_conf=0.2952, cca_ratio=2.0180, cca_scores=[0.33519954040175093, 0.16610231169083742, 0.0693745980705896, 0.08183765354299352], cca_probs=[0.29523022683180167, 0.24930031478148973, 0.2263156122808619, 0.2291538461058468]"
2026 05 14 15:08:59.438934,SSVEP_UPDATE,"fbcca_quad=0, fbcca_conf=0.3304, fbcca_ratio=5.1815, fbcca_consec=2, fbcca_scores=[0.4535732597356795, 0.08753771839212722, 0.042132538763531416, 0.05416125070587549], fbcca_probs=[0.330372396997677, 0.22910603987909364, 0.2189360707874664, 0.221585492335763], cca_quad=0, cca_conf=0.3236, cca_ratio=3.3009, cca_scores=[0.44446763933531963, 0.13464953316517586, 0.0515791145732356, 0.0615914060286455], cca_probs=[0.3235636870825624, 0.23735997182341068, 0.2184391396535651, 0.22063720144046176]"
2026 05 14 15:09:00.449025,SSVEP_UPDATE,"fbcca_quad=0, fbcca_conf=0.3883, fbcca_ratio=8.2594, fbcca_consec=3, fbcca_scores=[0.6946718806994538, 0.0841067038275617, 0.027720358173154633, 0.03827529050530258], fbcca_probs=[0.38834470697383494, 0.21088821120736728, 0.19932603336976956, 0.2014410484490283], cca_quad=0, cca_conf=0.3433, cca_ratio=3.1037, cca_scores=[0.554394465791268, 0.17862574826840105, 0.07867865026873976, 0.05203207363061373], cca_probs=[0.34325327295893193, 0.23573301264873575, 0.21331133480874298, 0.20770237958358928]"
2026 05 14 15:09:01.478277,SSVEP_UPDATE,"fbcca_quad=0, fbcca_conf=0.3938, fbcca_ratio=16.5221, fbcca_consec=4, fbcca_scores=[0.6981921729490421, 0.03160856436214655, 0.04225805668491101, 0.01848728892093331], fbcca_probs=[0.39382740767285124, 0.20221452789637454, 0.20437951751771238, 0.1995785469130618], cca_quad=0, cca_conf=0.3627, cca_ratio=5.5696, cca_scores=[0.6128041307340554, 0.11002756173655304, 0.08591845825675097, 0.035776048762180775], cca_probs=[0.3627322145865267, 0.21939818871292585, 0.21417194820762142, 0.20369764849292596]"
2026 05 14 15:09:01.478277,SSVEP_CONFIRMED,"fbcca_quad=0, fbcca_conf=0.3938, fbcca_ratio=16.5221, fbcca_consec=4, fbcca_scores=[0.6981921729490421, 0.03160856436214655, 0.04225805668491101, 0.01848728892093331], fbcca_probs=[0.39382740767285124, 0.20221452789637454, 0.20437951751771238, 0.1995785469130618], cca_quad=0, cca_conf=0.3627, cca_ratio=5.5696, cca_scores=[0.6128041307340554, 0.11002756173655304, 0.08591845825675097, 0.035776048762180775], cca_probs=[0.3627322145865267, 0.21939818871292585, 0.21417194820762142, 0.20369764849292596]"
2026 05 14 15:09:01.478277,SELECTION,"quad=0, result=navigate, output=''"
2026 05 14 15:09:04.490289,PHASE_SSVEP,
2026 05 14 15:09:04.605813,SSVEP_UPDATE,"fbcca_quad=1, fbcca_conf=0.2580, fbcca_ratio=1.1693, fbcca_consec=1, fbcca_scores=[0.06311519902776541, 0.09333538833494362, 0.07981902321768114, 0.0088361196383819], fbcca_probs=[0.2503321092434886, 0.258012662339266, 0.2545487316024136, 0.23710649681483173], cca_quad=1, cca_conf=0.2641, cca_ratio=1.2455, cca_scores=[0.1507388500951823, 0.19042998593189325, 0.1528997048605465, 0.04295812343953574], cca_probs=[0.2537763835801309, 0.26405162558520634, 0.25432535039309656, 0.2278466404415663]"
2026 05 14 15:09:05.630454,SSVEP_UPDATE,"fbcca_quad=1, fbcca_conf=0.2613, fbcca_ratio=1.1384, fbcca_consec=2, fbcca_scores=[0.061378553549617014, 0.1264907925813031, 0.11111238294672535, 0.02735450336717547], fbcca_probs=[0.2448089257037257, 0.26127937841327786, 0.25729205503081876, 0.23661964085217768], cca_quad=1, cca_conf=0.2676, cca_ratio=1.1360, cca_scores=[0.1211304881556582, 0.21643743560625206, 0.19052312580143652, 0.05777748454264992], cca_probs=[0.24328144805070062, 0.26760872784830275, 0.26076291769613485, 0.22834690640486177]"
2026 05 14 15:09:06.637259,SSVEP_UPDATE,"fbcca_quad=1, fbcca_conf=0.2593, fbcca_ratio=1.1526, fbcca_consec=3, fbcca_scores=[0.1411432407473495, 0.1660020040624726, 0.1440200798468497, 0.06458370306557462], fbcca_probs=[0.25288612211738315, 0.25925134639115704, 0.2536146822739078, 0.23424784921755204], cca_quad=0, cca_conf=0.2643, cca_ratio=1.0397, cca_scores=[0.2674690398939833, 0.25726534263255746, 0.2115925069211186, 0.10305869257982417], cca_probs=[0.2642777449632956, 0.26159484588331594, 0.24991580506434924, 0.22421160408903926]"
2026 05 14 15:09:07.671247,SSVEP_UPDATE,"fbcca_quad=2, fbcca_conf=0.2624, fbcca_ratio=1.0267, fbcca_consec=1, fbcca_scores=[0.19105582691758724, 0.1612142665528382, 0.1961476462522203, 0.033538145170408415], fbcca_probs=[0.2610989361319923, 0.253422445362688, 0.2624317952023235, 0.22304682330299624], cca_quad=1, cca_conf=0.2704, cca_ratio=1.0235, cca_scores=[0.3027917881223277, 0.3098963607612839, 0.19994713967776825, 0.09814367716812952], cca_probs=[0.26850459612835587, 0.2704189989900964, 0.24226287166184124, 0.21881353321970654]"
2026 05 14 15:09:08.688000,SSVEP_UPDATE,"fbcca_quad=2, fbcca_conf=0.2567, fbcca_ratio=1.0036, fbcca_consec=2, fbcca_scores=[0.16341476178379563, 0.16663947219265962, 0.16724654252819687, 0.06189606300068359], fbcca_probs=[0.25571959500876024, 0.25654554766185433, 0.25670133613605023, 0.2310335211933353], cca_quad=1, cca_conf=0.2705, cca_ratio=1.0682, cca_scores=[0.2638612938256849, 0.28185877283723265, 0.1430545800739302, 0.11198010647948174], cca_probs=[0.2657132175348057, 0.27053867840560264, 0.23547644420861177, 0.2282716598509798]"
2026 05 14 15:09:09.708864,SSVEP_UPDATE,"fbcca_quad=0, fbcca_conf=0.2714, fbcca_ratio=1.6671, fbcca_consec=1, fbcca_scores=[0.20696322048277482, 0.12414691651103887, 0.09542079221392889, 0.06790054193536857], fbcca_probs=[0.2713595843835248, 0.24979198637808195, 0.24271851386100265, 0.2361299153773906], cca_quad=0, cca_conf=0.2772, cca_ratio=1.3146, cca_scores=[0.3078605893295471, 0.23418909764667997, 0.13522337098521722, 0.12938134010736538], cca_probs=[0.27724169588665515, 0.25755110910827805, 0.23328303426959593, 0.23192416073547084]"
