time,mV

2026 05 14 17:54:15.796401,336
,339
,336
,340
,330
,332
,336
,339
,336
,337
,336
,333
,335
,337
2026 05 14 17:54:15.858490,342
,338
,330
,333
,340
,339
,340
,339
,338
,340
,336
,335
,334
,335
2026 05 14 17:54:15.924168,332
,336
,339
,338
,340
,340
,339
,337
,339
,333
,334
,342
,342
,340
2026 05 14 17:54:15.985485,343
,346
,344
,340
,338
,342
,335
,332
,338
,340
,336
,331
,337
,337
2026 05 14 17:54:16.046493,333
,332
,334
,330
,328
,335
,337
,335
,335
,336
,342
,330
,332
,331
2026 05 14 17:54:16.111801,333
,334
,331
,334
,331
,326
,329
,329
,325
,324
,337
,337
,338
,335
2026 05 14 17:54:16.173500,337
,334
,331
,337
,337
,336
,333
,333
,335
,332
,330
,328
,335
,328
2026 05 14 17:54:16.239239,327
,329
,321
,322
,323
,325
,321
,322
,329
,332
,330
,331
,331
,329
2026 05 14 17:54:16.300885,336
,330
,320
,326
,330
,327
,327
,323
,320
,325
,323
,322
,320
,327
2026 05 14 17:54:16.361773,324
,324
,325
,331
,335
,328
,332
,332
,331
,333
,332
,331
,327
,327
2026 05 14 17:54:16.427739,333
,342
,345
,345
,339
,338
,333
,329
,328
,320
,320
,327
,322
,318
2026 05 14 17:54:16.489180,330
,324
,318
,317
,324
,327
,325
,322
,327
,326
,321
,323
,319
,326
2026 05 14 17:54:16.554740,324
,328
,325
,329
,328
,328
,323
,320
,322
,323
,321
,321
,326
,322
2026 05 14 17:54:16.615604,323
,329
,327
,326
,327
,325
,324
,330
,332
,334
,325
,324
,326
,323
2026 05 14 17:54:16.677291,327
,323
,323
,326
,323
,318
,327
,328
,327
,321
,326
,324
,323
,323
2026 05 14 17:54:16.742663,323
,323
,323
,321
,318
,322
,319
,316
,319
,317
,321
,320
,325
,323
2026 05 14 17:54:16.804721,318
,327
,326
,326
,324
,322
,326
,323
,322
,329
,329
,325
,329
,329
2026 05 14 17:54:16.870189,324
,327
,332
,325
,330
,329
,330
,326
,330
,332
,330
,326
,329
,331
2026 05 14 17:54:16.931074,331
,333
,333
,331
,331
,325
,335
,329
,327
,336
,333
,334
,332
,337
2026 05 14 17:54:16.992768,336
,333
,332
,336
,334
,335
,334
,333
,336
,335
,333
,337
,338
,336
2026 05 14 17:54:17.058982,341
,343
,341
,339
,338
,341
,341
,342
,344
,342
,338
,345
,345
,343
2026 05 14 17:54:17.120378,341
,344
,341
,342
,342
,344
,338
