timestamp,event,data
2026 05 14 17:54:15.875026,PHASE_PREPARING,
2026 05 14 17:54:20.878842,PHASE_SSVEP,
2026 05 14 17:54:20.950802,SSVEP_UPDATE,"fbcca_quad=1, fbcca_conf=0.2551, fbcca_ratio=1.0473, fbcca_consec=1, fbcca_scores=[0.014824936194519297, 0.07844483149203758, 0.06322005403097017, 0.07490037763070206], fbcca_probs=[0.23939542953671633, 0.25512065673381545, 0.25126591972429846, 0.2542179940051698], cca_quad=3, cca_conf=0.2574, cca_ratio=1.1298, cca_scores=[0.05236741405767552, 0.12043027235257747, 0.11687747159039702, 0.13606023731921177], cca_probs=[0.2367220389850003, 0.2533949857580535, 0.25249632119287024, 0.25738665406407585]"
2026 05 14 17:54:21.972609,SSVEP_UPDATE,"fbcca_quad=1, fbcca_conf=0.2543, fbcca_ratio=1.2208, fbcca_consec=2, fbcca_scores=[0.05711629218972357, 0.06972547698107653, 0.03432067846091985, 0.048536455423998134], fbcca_probs=[0.25115480199636664, 0.25434170923294136, 0.24549433615526148, 0.2490091526154304], cca_quad=1, cca_conf=0.2584, cca_ratio=1.1201, cca_scores=[0.1276501039570172, 0.14298296483518824, 0.06599143179979317, 0.10117220330473763], cca_probs=[0.2544837279665958, 0.2584157591733607, 0.2392665552835126, 0.24783395757653093]"
2026 05 14 17:54:23.001758,SSVEP_UPDATE,"fbcca_quad=0, fbcca_conf=0.2526, fbcca_ratio=1.1028, fbcca_consec=1, fbcca_scores=[0.05530840044268201, 0.03688984660251197, 0.05015494072576495, 0.0373639217153506], fbcca_probs=[0.2526001783064283, 0.24799023290962072, 0.2513017620047197, 0.2481078267792313], cca_quad=0, cca_conf=0.2545, cca_ratio=1.0135, cca_scores=[0.12269423868556929, 0.09631033899903725, 0.12105853660854951, 0.0782628492677244], cca_probs=[0.2545262416759101, 0.24789866200257907, 0.2541102528833597, 0.2434648434381511]"
2026 05 14 17:54:24.020716,SSVEP_UPDATE,"fbcca_quad=0, fbcca_conf=0.2611, fbcca_ratio=1.0246, fbcca_consec=2, fbcca_scores=[0.12386237126579373, 0.053857895894984346, 0.12088392769497747, 0.018301197647590597], fbcca_probs=[0.2611487631761381, 0.24349240314028148, 0.26037210351407186, 0.23498673016950858], cca_quad=0, cca_conf=0.2666, cca_ratio=1.2245, cca_scores=[0.19531209656737905, 0.12120256720899471, 0.15950700648533903, 0.04082066362887836], cca_probs=[0.2666489508538663, 0.2476022116538287, 0.25727046188674135, 0.22847837560556372]"
2026 05 14 17:54:25.053255,SSVEP_UPDATE,"fbcca_quad=1, fbcca_conf=0.2552, fbcca_ratio=1.0043, fbcca_consec=1, fbcca_scores=[0.12641177297869008, 0.12695808622803856, 0.12356860603038493, 0.04544533859627871], fbcca_probs=[0.25510646746712007, 0.25524587358652967, 0.25438218730312956, 0.23526547164322076], cca_quad=0, cca_conf=0.2646, cca_ratio=1.2240, cca_scores=[0.18967007134559433, 0.1549589941114944, 0.12439836098226499, 0.05723361917137864], cca_probs=[0.26464436546511433, 0.2556158752529327, 0.24792225204588872, 0.23181750723606417]"
2026 05 14 17:54:26.077692,SSVEP_UPDATE,"fbcca_quad=0, fbcca_conf=0.2701, fbcca_ratio=1.5445, fbcca_consec=1, fbcca_scores=[0.19284745454714194, 0.08382759011885928, 0.1248595641365354, 0.05482302189897279], fbcca_probs=[0.27011974782559467, 0.24221978263687302, 0.25236525954726424, 0.2352952099902681], cca_quad=0, cca_conf=0.2671, cca_ratio=1.6227, cca_scores=[0.1855275119007293, 0.11433249599625743, 0.10602807113174123, 0.06848397116029731], cca_probs=[0.26706510949105267, 0.24871246459183813, 0.2466556029638694, 0.23756682295323986]"
2026 05 14 17:54:27.088977,SSVEP_UPDATE,"fbcca_quad=0, fbcca_conf=0.2751, fbcca_ratio=2.4552, fbcca_consec=2, fbcca_scores=[0.194235351769981, 0.06407796697164723, 0.07911172626090263, 0.04948982235945342], fbcca_probs=[0.27514436783082247, 0.2415649905865072, 0.2452240563482492, 0.23806658523442112], cca_quad=0, cca_conf=0.2683, cca_ratio=1.8026, cca_scores=[0.17598626178825316, 0.08727667374799111, 0.09763178172639325, 0.055869021341789185], cca_probs=[0.26834368177101764, 0.24556433393000934, 0.24812039040380807, 0.23797159389516487]"
2026 05 14 17:54:28.101879,SSVEP_UPDATE,"fbcca_quad=0, fbcca_conf=0.2736, fbcca_ratio=2.0185, fbcca_consec=3, fbcca_scores=[0.19299941914747967, 0.07349212744308009, 0.041872101372767014, 0.0956171531130704], fbcca_probs=[0.27364985232342093, 0.24282525908033673, 0.23526724015034592, 0.24825764844589654], cca_quad=0, cca_conf=0.2689, cca_ratio=1.8305, cca_scores=[0.18454491566337883, 0.07114626819177898, 0.08620072717885627, 0.10081749361297566], cca_probs=[0.2689029724146152, 0.2400751428916817, 0.24371668624129955, 0.24730519845240362]"
