timestamp,event,data
2026 05 16 12:34:19.487623,PHASE_PREPARING,
2026 05 16 12:34:24.499454,PHASE_SSVEP,
2026 05 16 12:34:24.576358,SSVEP_UPDATE,"fbcca_quad=1, fbcca_conf=0.2557, fbcca_ratio=1.3270, fbcca_consec=1, fbcca_scores=[0.06328986155708606, 0.09503989733614328, 0.07162255912190842, 0.05937860968210697], fbcca_probs=[0.24772567127909492, 0.2557171639779116, 0.24979851858796767, 0.24675864615502574], cca_quad=1, cca_conf=0.2538, cca_ratio=1.1203, cca_scores=[0.10332726250209037, 0.11575922304515229, 0.09729586012255412, 0.0853105566830334], cca_probs=[0.2507119634787884, 0.2538482594767524, 0.24920436976807558, 0.2462354072763836]"
2026 05 16 12:34:25.605322,SSVEP_UPDATE,"fbcca_quad=1, fbcca_conf=0.2571, fbcca_ratio=1.1254, fbcca_consec=2, fbcca_scores=[0.07927116261268893, 0.08921171715265505, 0.05875469765841819, 0.016240670847373673], fbcca_probs=[0.2545437629807688, 0.25708668723831624, 0.24937463224988907, 0.23899491753102592], cca_quad=1, cca_conf=0.2579, cca_ratio=1.0291, cca_scores=[0.10504065955810397, 0.10809737672141012, 0.05974261416219715, 0.03306368547474089], cca_probs=[0.25711393705960545, 0.25790106404334323, 0.24572702764875604, 0.23925797124829534]"
2026 05 16 12:34:26.614387,SSVEP_UPDATE,"fbcca_quad=2, fbcca_conf=0.2563, fbcca_ratio=1.5432, fbcca_consec=1, fbcca_scores=[0.03240052090267961, 0.011778085320546609, 0.06114737850738056, 0.03962453917048453], fbcca_probs=[0.24900380031835503, 0.24392132214970222, 0.2562657562265397, 0.25080912130540306], cca_quad=2, cca_conf=0.2573, cca_ratio=1.1461, cca_scores=[0.09174030858235838, 0.06776952918620968, 0.12962757551954363, 0.11310697508626662], cca_probs=[0.2477378471173087, 0.24186998739064466, 0.25730403106026395, 0.2530881344317827]"
2026 05 16 12:34:27.645132,SSVEP_UPDATE,"fbcca_quad=1, fbcca_conf=0.2511, fbcca_ratio=1.0437, fbcca_consec=1, fbcca_scores=[0.03562974139706623, 0.03753145285247595, 0.023754632835817063, 0.03595975511880963], fbcca_probs=[0.25059964037630933, 0.2510766620181322, 0.24764134226147447, 0.25068235534408395], cca_quad=1, cca_conf=0.2558, cca_ratio=1.1856, cca_scores=[0.0901136616676342, 0.10684128511977085, 0.05825377288688207, 0.07977685016021314], cca_probs=[0.2515579592262276, 0.25580131775109166, 0.24366967774900827, 0.24897104527367261]"
2026 05 16 12:34:28.663016,SSVEP_UPDATE,"fbcca_quad=2, fbcca_conf=0.2569, fbcca_ratio=1.1706, fbcca_consec=1, fbcca_scores=[0.06764142658981108, 0.03357853866092131, 0.07918248319748462, 0.02638539458752935], fbcca_probs=[0.2539552226408502, 0.24545044530299423, 0.2569031124019475, 0.24369121965420806], cca_quad=0, cca_conf=0.2604, cca_ratio=1.2768, cca_scores=[0.13547277054778906, 0.08069811977857001, 0.10610555742066755, 0.054486778858786306], cca_probs=[0.26041904809881206, 0.24653831222931039, 0.2528824721683911, 0.24016016750348645]"
2026 05 16 12:34:29.677501,SSVEP_UPDATE,"fbcca_quad=0, fbcca_conf=0.2596, fbcca_ratio=1.0038, fbcca_consec=1, fbcca_scores=[0.12713400882901116, 0.07158803995221284, 0.12665412982976304, 0.02883329582199834], fbcca_probs=[0.2596144932206725, 0.24558714248128302, 0.25948993956520744, 0.23530842473283714], cca_quad=0, cca_conf=0.2668, cca_ratio=1.4291, cca_scores=[0.20292063171431024, 0.1327531006488609, 0.14199326990504718, 0.06944402234535017], cca_probs=[0.2667963548324932, 0.2487176010040281, 0.25102644435845123, 0.23345959980502753]"
2026 05 16 12:34:30.707659,SSVEP_UPDATE,"fbcca_quad=0, fbcca_conf=0.2789, fbcca_ratio=2.6613, fbcca_consec=2, fbcca_scores=[0.2072131441430121, 0.037972272419490805, 0.07786268451853628, 0.059597214741134254], fbcca_probs=[0.2788829368467207, 0.2354624001041462, 0.24504494751266848, 0.24060971553646462], cca_quad=0, cca_conf=0.2761, cca_ratio=1.8984, cca_scores=[0.24507579067476362, 0.09070655933916368, 0.12909478804514105, 0.11105958040214675], cca_probs=[0.27608876066631177, 0.23659579512377882, 0.24585487135594244, 0.24146057285396702]"
2026 05 16 12:34:31.724444,SSVEP_UPDATE,"fbcca_quad=0, fbcca_conf=0.2969, fbcca_ratio=5.4196, fbcca_consec=3, fbcca_scores=[0.271644761979659, 0.03141704553468261, 0.050122730061916636, 0.023965042853110293], fbcca_probs=[0.2968806507609106, 0.23348141768767444, 0.23788995120278447, 0.23174798034863048], cca_quad=0, cca_conf=0.2799, cca_ratio=2.6303, cca_scores=[0.23954553600351622, 0.08985278465988807, 0.0910711409004947, 0.07610542727963229], cca_probs=[0.27993860007672816, 0.24101942751540661, 0.24131325399534403, 0.2377287184125212]"
2026 05 16 12:34:32.739486,SSVEP_UPDATE,"fbcca_quad=0, fbcca_conf=0.3102, fbcca_ratio=6.8671, fbcca_consec=4, fbcca_scores=[0.34145457328047923, 0.04972304692067879, 0.03221586918028294, 0.043738130534395236], fbcca_probs=[0.310223113189424, 0.23172706431957846, 0.2277054834010257, 0.23034433908997196], cca_quad=0, cca_conf=0.2907, cca_ratio=2.7882, cca_scores=[0.3032406029236237, 0.10875851775977902, 0.0771201624806062, 0.10363199586546812], cca_probs=[0.2907032334526274, 0.2393246133695215, 0.23187130317360746, 0.2381008500042436]"
2026 05 16 12:34:32.739486,SSVEP_CONFIRMED,"fbcca_quad=0, fbcca_conf=0.3102, fbcca_ratio=6.8671, fbcca_consec=4, fbcca_scores=[0.34145457328047923, 0.04972304692067879, 0.03221586918028294, 0.043738130534395236], fbcca_probs=[0.310223113189424, 0.23172706431957846, 0.2277054834010257, 0.23034433908997196], cca_quad=0, cca_conf=0.2907, cca_ratio=2.7882, cca_scores=[0.3032406029236237, 0.10875851775977902, 0.0771201624806062, 0.10363199586546812], cca_probs=[0.2907032334526274, 0.2393246133695215, 0.23187130317360746, 0.2381008500042436]"
2026 05 16 12:34:32.739486,SELECTION,"quad=0, result=navigate, output=''"
2026 05 16 12:34:35.747500,PHASE_SSVEP,
2026 05 16 12:34:35.778513,SSVEP_UPDATE,"fbcca_quad=2, fbcca_conf=0.2537, fbcca_ratio=1.0415, fbcca_consec=1, fbcca_scores=[0.040714688539101186, 0.0792678064597437, 0.08774797424079894, 0.08424922373525456], fbcca_probs=[0.2420159603044217, 0.25152862334324183, 0.253670698010272, 0.2527847183420645], cca_quad=2, cca_conf=0.2574, cca_ratio=1.3092, cca_scores=[0.11893259463159844, 0.12068792757792121, 0.15800190012939858, 0.11776683733746454], cca_probs=[0.24749814370842876, 0.24793296687229874, 0.25735910036872767, 0.24720978905054486]"
2026 05 16 12:34:36.804804,SSVEP_UPDATE,"fbcca_quad=2, fbcca_conf=0.2608, fbcca_ratio=1.8904, fbcca_consec=2, fbcca_scores=[0.033129771463618576, 0.04785229030187827, 0.10188387209240922, 0.05389483429862942], fbcca_probs=[0.2434875385277442, 0.24709880665303718, 0.2608172225779969, 0.24859643224122163], cca_quad=2, cca_conf=0.2607, cca_ratio=1.4269, cca_scores=[0.09006561620544874, 0.09397031691872176, 0.15364202201165936, 0.10767698039007431], cca_probs=[0.244659056315582, 0.24561624425734377, 0.26071869790561275, 0.24900600152146146]"
2026 05 16 12:34:37.817372,SSVEP_UPDATE,"fbcca_quad=2, fbcca_conf=0.2582, fbcca_ratio=1.4378, fbcca_consec=3, fbcca_scores=[0.04973917333618272, 0.05073805595638638, 0.10026584190907864, 0.0697351506024476], fbcca_probs=[0.24551797536580328, 0.24576334152994073, 0.25824192323874584, 0.2504767598655101], cca_quad=2, cca_conf=0.2565, cca_ratio=1.1236, cca_scores=[0.12237684916505051, 0.10881974754891717, 0.15861467759486833, 0.14116185224162806], cca_probs=[0.24737783482218506, 0.24404673939724134, 0.25650667608695904, 0.2520687496936146]"
2026 05 16 12:34:38.839383,SSVEP_UPDATE,"fbcca_quad=1, fbcca_conf=0.2590, fbcca_ratio=1.1197, fbcca_consec=1, fbcca_scores=[0.08603145926466371, 0.09633247248685436, 0.021699240629856804, 0.0382256891438494], fbcca_probs=[0.25632043831306617, 0.258974444545692, 0.24034999060871856, 0.2443551265325233], cca_quad=0, cca_conf=0.2592, cca_ratio=1.1678, cca_scores=[0.13299539439218108, 0.11388389007285782, 0.07034540969858734, 0.06880391020934545], cca_probs=[0.2591904029857608, 0.2542839189648838, 0.2434503337586043, 0.24307534429075103]"
2026 05 16 12:34:39.852705,SSVEP_UPDATE,"fbcca_quad=1, fbcca_conf=0.2623, fbcca_ratio=1.0620, fbcca_consec=2, fbcca_scores=[0.13007126069664682, 0.1381354085690567, 0.05727624149317865, 0.03001657137646608], fbcca_probs=[0.2602353094241109, 0.26234236984575365, 0.24196455264642602, 0.2354577680837094], cca_quad=0, cca_conf=0.2631, cca_ratio=1.0905, cca_scores=[0.17744347109968617, 0.16271728368056246, 0.10089476538181623, 0.06031548771328624], cca_probs=[0.26307752748726143, 0.259231784576086, 0.24369076484903004, 0.2339999230876225]"
2026 05 16 12:34:40.890318,SSVEP_UPDATE,"fbcca_quad=1, fbcca_conf=0.2588, fbcca_ratio=1.3287, fbcca_consec=3, fbcca_scores=[0.10359999710415178, 0.1408537961432399, 0.10600512805628871, 0.07327372426010222], fbcca_probs=[0.24934587845697093, 0.25881015528348794, 0.24994630971549722, 0.24189765654404388], cca_quad=0, cca_conf=0.2551, cca_ratio=1.0018, cca_scores=[0.1642032968644159, 0.16390586247907873, 0.15678409105374194, 0.08866999050376456], cca_probs=[0.2551306971263403, 0.255054823768492, 0.25324483442802487, 0.2365696446771429]"
2026 05 16 12:34:41.902649,SSVEP_UPDATE,"fbcca_quad=0, fbcca_conf=0.2719, fbcca_ratio=1.5937, fbcca_consec=1, fbcca_scores=[0.1615742890416574, 0.03003125287838815, 0.10138403085019346, 0.009702665655795539], fbcca_probs=[0.2719293718707371, 0.2384117770085549, 0.2560447188280941, 0.23361413229261377], cca_quad=0, cca_conf=0.2785, cca_ratio=1.4546, cca_scores=[0.24994796134622488, 0.09286219386339568, 0.17183295741994953, 0.04097114440959631], cca_probs=[0.27848149581806475, 0.2379988513435321, 0.2575558554444623, 0.22596379739394082]"
