time,mV

2026 05 16 13:10:27.740200,357
,381
,379
,363
,355
,351
,369
,345
,374
,367
,363
,346
,348
,365
2026 05 16 13:10:27.806543,396
,386
,375
,367
,374
,363
,352
,342
,351
,378
,373
,371
,365
,348
2026 05 16 13:10:27.867384,362
,348
,341
,367
,378
,376
,366
,355
,353
,343
,366
,345
,366
,349
2026 05 16 13:10:27.928927,347
,375
,368
,364
,352
,367
,360
,364
,362
,369
,359
,349
,360
,361
2026 05 16 13:10:27.994723,360
,365
,357
,360
,358
,359
,362
,360
,353
,354
,358
,356
,352
,355
2026 05 16 13:10:28.055324,357
,350
,352
,352
,345
,355
,348
,354
,356
,346
,341
,357
,360
,355
2026 05 16 13:10:28.121087,349
,354
,351
,347
,357
,344
,334
,331
,346
,348
,347
,335
,350
,335
2026 05 16 13:10:28.182709,348
,338
,350
,358
,351
,357
,345
,342
,342
,338
,345
,333
,342
,347
2026 05 16 13:10:28.244195,348
,344
,345
,338
,336
,337
,338
,335
,330
,337
,333
,325
,321
,329
2026 05 16 13:10:28.309853,327
,327
,345
,343
,322
,326
,330
,346
,351
,342
,338
,340
,336
,338
2026 05 16 13:10:28.371341,327
,335
,332
,348
,344
,341
,350
,348
,345
,337
,344
,340
,337
,347
2026 05 16 13:10:28.436298,336
,351
,339
,338
,356
,345
,334
,358
,360
,340
,333
,364
,343
,359
2026 05 16 13:10:28.497654,372
,350
,341
,349
,368
,367
,357
,343
,344
,344
,348
,351
,345
,337
2026 05 16 13:10:28.558726,341
,341
,340
,344
,346
,332
,343
,342
,340
,341
,341
,338
,332
,338
2026 05 16 13:10:28.625149,334
,330
,337
,339
,329
,322
,339
,351
,338
,343
,342
,326
,338
,345
2026 05 16 13:10:28.686198,334
,333
,333
,334
,348
,326
,318
,342
,347
,343
,324
,332
,352
,340
2026 05 16 13:10:28.751434,340
,342
,332
,333
,332
,339
,334
,333
,335
,333
,326
,335
,328
,340
2026 05 16 13:10:28.813518,327
,338
,340
,337
,341
,348
,338
,339
,332
,339
,337
,328
,327
,334
2026 05 16 13:10:28.874569,326
,337
,348
,335
,340
,347
,331
,346
,347
,341
,343
,343
,332
,335
2026 05 16 13:10:28.940632,340
,342
,328
,302
,336
,337
,318
,353
,347
,331
,333
,335
,317
,331
2026 05 16 13:10:29.002093,339
,330
,328
,330
,325
,329
,330
,332
,331
,331
,325
,330
,327
,323
2026 05 16 13:10:29.067257,328
,325
,329
,327
,324
,325
,328
,336
,335
,330
,320
,332
,326
,334
2026 05 16 13:10:29.128853,326
,325
,339
,338
,331
,336
,330
,329
,329
,328
,330
,332
,336
,337
2026 05 16 13:10:29.189625,329
,323
,328
,335
,328
,321
,322
,302
,315
,331
,316
,315
,341
,328
2026 05 16 13:10:29.255479,338
,342
,336
,337
,338
,334
,334
,343
,328
,329
,336
,335
,332
,322
2026 05 16 13:10:29.317238,338
,337
,332
,333
,333
,331
,324
,343
,345
,341
,342
,350
,345
,340
2026 05 16 13:10:29.382218,333
,326
,344
,336
,336
,346
,337
,326
,340
,338
,334
,352
,344
,348
2026 05 16 13:10:29.443890,344
,339
,338
,333
,333
,335
,327
,322
,329
,333
,332
,334
,336
,337
2026 05 16 13:10:29.505825,332
,337
,330
,335
,330
,322
,328
,337
,328
,326
,330
,332
,335
,334
2026 05 16 13:10:29.570951,331
,327
,332
,323
,326
,326
,323
,319
,330
,325
,335
,342
,341
,335
2026 05 16 13:10:29.632857,330
,333
,321
,322
,318
,329
,326
,320
,336
,328
,337
,327
,327
,328
2026 05 16 13:10:29.697861,308
,333
,335
,329
,326
,315
,326
,323
,334
,340
,327
,325
,331
,341
2026 05 16 13:10:29.759954,326
,331
,339
,329
,336
,334
,338
,336
,348
,347
