time,mV

2026 05 16 14:09:09.729950,363
,332
,334
,374
,369
,322
,334
,374
,355
,329
,355
,370
,337
,336
2026 05 16 14:09:09.800849,367
,378
,323
,335
,365
,359
,316
,345
,384
,345
,335
,365
,370
,336
2026 05 16 14:09:09.857144,328
,373
,360
,326
,341
,381
,347
,323
,359
,366
,328
,330
,384
,374
2026 05 16 14:09:09.922639,325
,333
,385
,354
,324
,347
,383
,338
,328
,364
,370
,330
,337
,373
2026 05 16 14:09:09.984214,354
,318
,346
,373
,345
,323
,360
,372
,324
,325
,364
,357
,314
,330
2026 05 16 14:09:10.045843,373
,348
,322
,350
,360
,318
,326
,371
,368
,313
,333
,368
,333
,322
2026 05 16 14:09:10.111365,360
,380
,342
,332
,372
,372
,334
,330
,375
,362
,318
,349
,363
,337
2026 05 16 14:09:10.172279,333
,355
,383
,336
,329
,373
,356
,313
,347
,368
,338
,321
,360
,373
2026 05 16 14:09:10.237561,330
,333
,359
,368
,329
,334
,370
,351
,320
,346
,383
,336
,330
,370
2026 05 16 14:09:10.299633,373
,316
,344
,369
,352
,323
,347
,380
,346
,328
,369
,378
,333
,334
2026 05 16 14:09:10.360588,378
,363
,322
,348
,373
,365
,324
,356
,376
,336
,322
,372
,376
,322
2026 05 16 14:09:10.426592,339
,383
,359
,328
,354
,371
,343
,341
,366
,357
,331
,343
,382
,359
2026 05 16 14:09:10.487333,327
,352
,384
,342
,327
,368
,367
,323
,334
,365
,357
,329
,351
,372
2026 05 16 14:09:10.553185,345
,323
,351
,370
,329
,328
,374
,365
,323
,335
,383
,343
,309
,358
2026 05 16 14:09:10.614770,373
,327
,335
,369
,368
,328
,343
,386
,367
,338
,344
,371
,337
,328
2026 05 16 14:09:10.675975,365
,372
,333
,334
,375
,351
,317
,348
,373
,343
,324
,364
,376
,326
2026 05 16 14:09:10.741884,325
,371
,372
,332
,352
,380
,358
,331
,359
,375
,331
,332
,378
,370
2026 05 16 14:09:10.803365,331
,344
,378
,366
,335
,358
,381
,348
,334
,370
,368
,327
,334
,379
2026 05 16 14:09:10.868493,366
,331
,355
,383
,351
,334
,369
,383
,328
,333
,371
,360
,315
,340
2026 05 16 14:09:10.930670,372
,342
,320
,353
,376
,340
,336
,373
,371
,330
,332
,376
,354
,328
2026 05 16 14:09:10.991845,352
,368
,334
,339
,380
,377
,330
,348
,386
,370
,329
,348
,383
,350
2026 05 16 14:09:11.057178,335
,365
,378
,329
,336
,374
,356
,324
,347
,381
,347
,329
,356
,379
2026 05 16 14:09:11.118380,328
,328
,365
,360
,319
,332
,390
,353
,322
,339
,369
,338
,334
,362
2026 05 16 14:09:11.183387,371
,316
,339
,361
,353
,319
,342
,378
,348
,332
,354
,366
,322
,336
2026 05 16 14:09:11.246701,369
,360
,321
,341
,379
,348
,324
,361
,369
,336
,338
,371
,365
,316
2026 05 16 14:09:11.307297,338
,382
,352
,328
,366
,375
,328
,335
,365
,364
,319
,333
,377
,353
2026 05 16 14:09:11.372920,323
,353
,367
,340
,326
,378
,381
,324
,333
,382
,357
,320
,334
,366
2026 05 16 14:09:11.433747,340
,323
,360
,373
,326
,326
,378
,379
,325
,330
,369
,355
,326
,354
2026 05 16 14:09:11.498364,381
,327
,325
,373
,369
,327
,342
,383
,355
,322
,344
,375
,331
,330
2026 05 16 14:09:11.561349,360
,374
,333
,341
,382
,355
,328
,339
,375
,342
,334
,360
,378
,335
2026 05 16 14:09:11.622168,327
,357
,371
,331
,335
,380
,353
,325
,342
,374
,335
,332
,373
,376
2026 05 16 14:09:11.688266,323
,338
,376
,352
,318
,347
,383
,351
,333
,360
,372
,326
,341
,375
2026 05 16 14:09:11.749002,361
,318
,337
,374
,352
,330
,368
,370
,339
,332
,372
,361
,322
,345
2026 05 16 14:09:11.815066,387
,350
,327
,358
,380
,342
,331
,370
,383
,329
,331
,376
,348
,329
2026 05 16 14:09:11.876735,359
,380
,345
,334
,375
,359
,334
,338
,381
,362
,331
,352
,376
,349
2026 05 16 14:09:11.937701,330
,358
,375
,333
,326
,374
,365
,327
,339
,370
,347
,331
,352
,370
2026 05 16 14:09:12.003606,349
,336
,373
,368
,325
,342
,381
,359
,327
,357
,372
,337
,328
,348
2026 05 16 14:09:12.065084,369
,327
,332
,368
,349
,313
,341
,370
,339
,317
,348
,366
,330
,336
2026 05 16 14:09:12.129372,362
,352
,327
,337
,370
,350
,324
,347
,360
,325
,328
,362
,359
,320
2026 05 16 14:09:12.192335,331
,374
,352
,322
,344
,366
,348
,327
,350
,363
,313
,327
,373
,362
2026 05 16 14:09:12.252644,317
,336
,365
,333
,331
,363
,369
,344
,328
,368
,368
,332
,338
,387
2026 05 16 14:09:12.319115,361
,335
,362
,383
,342
,328
,376
,370
,332
,330
,382
,367
,325
,356
2026 05 16 14:09:12.380540,366
,350
,335
,362
,374
,338
,348
,384
,368
,330
,351
,382
,361
,330
2026 05 16 14:09:12.445912,363
,382
,320
,326
,372
,364
,326
,343
,375
,354
,317
,357
,376
,334
2026 05 16 14:09:12.507447,317
,377
,369
,331
,333
,387
,358
,324
,359
,378
,345
,321
,345
,368
2026 05 16 14:09:12.568721,320
,333
,368
,350
,322
,348
,384
,344
,324
,353
,376
,332
,331
,370
2026 05 16 14:09:12.634415,367
,330
,342
,360
,349
,327
,366
,386
,335
,337
,373
,370
,325
,339
2026 05 16 14:09:12.695761,384
,357
,326
,355
,382
,345
,335
,369
,363
,331
,344
,381
,355
,324
2026 05 16 14:09:12.761270,355
,379
,356
,345
,365
,374
,331
,340
,380
,376
,337
,349
,381
,363
2026 05 16 14:09:12.822880,339
,364
,376
,344
,337
,369
,374
,329
,341
,383
,359
,330
,350
,388
2026 05 16 14:09:12.883485,355
,340
,372
,370
,328
,336
,382
,364
,328
,352
,376
,355
,334
,368
2026 05 16 14:09:12.949563,363
,330
,350
,380
,359
,334
,349
,379
,355
,325
,362
,380
,326
,335
2026 05 16 14:09:13.011487,365
,361
,317
,347
,379
,358
,322
,352
,375
,333
,339
,379
,370
,330
2026 05 16 14:09:13.076390,339
,384
,364
,327
,340
,374
,347
,338
,365
,374
,329
,336
,387
,364
2026 05 16 14:09:13.136920,323
,344
,381
,351
,335
,366
,385
,338
,337
,375
,369
,323
,320
,382
2026 05 16 14:09:13.199434,352
,321
,353
,378
,346
,334
,361
,367
,322
,335
,365
,352
,321
,350
2026 05 16 14:09:13.264472,377
,346
,328
,359
,361
,337
,326
,374
,362
,330
,349
,376
,345
,322
2026 05 16 14:09:13.326695,349
,364
,338
,324
,367
,366
,319
,336
,378
,346
,317
,350
,366
,341
2026 05 16 14:09:13.387706,331
,369
,357
,320
,327
,372
,349
,330
,342
,365
,339
,327
,363
,370
2026 05 16 14:09:13.452895,334
,333
,379
,361
,325
,353
,374
,342
,334
,362
,371
,326
,339
,383
2026 05 16 14:09:13.514096,380
,331
,351
,377
,358
,331
,354
,377
,335
,334
,359
,371
,326
,334
