timestamp,event,data
2026 05 16 14:13:37.793391,PHASE_PREPARING,
2026 05 16 14:13:42.807803,PHASE_SSVEP,
2026 05 16 14:13:42.939363,SSVEP_UPDATE,"fbcca_quad=2, fbcca_conf=0.2589, fbcca_ratio=1.2745, fbcca_consec=1, fbcca_scores=[0.10815310824112205, 0.12828767995242332, 0.163507891394125, 0.1126388420353759], fbcca_probs=[0.2449929580579935, 0.2499757815132135, 0.2589368606392015, 0.24609439978959147], cca_quad=2, cca_conf=0.2549, cca_ratio=1.1017, cca_scores=[0.16042753819786085, 0.1545761577603267, 0.17674256962225618, 0.13686733115367836], cca_probs=[0.2507944087441242, 0.24933120031639563, 0.25491968792836195, 0.2449547030111183]"
2026 05 16 14:13:43.957001,SSVEP_UPDATE,"fbcca_quad=1, fbcca_conf=0.2566, fbcca_ratio=1.4170, fbcca_consec=1, fbcca_scores=[0.0754894107952796, 0.10697193351324942, 0.07054392835828593, 0.07016475551507043], fbcca_probs=[0.24864862202410196, 0.2566012352374872, 0.2474219703232194, 0.24732817241519148], cca_quad=1, cca_conf=0.2554, cca_ratio=1.0481, cca_scores=[0.13401066522451957, 0.14046100251097465, 0.11453755514782683, 0.0870669926282264], cca_probs=[0.25372161451649244, 0.25536349415292425, 0.2488286607193078, 0.24208623061127557]"
2026 05 16 14:13:44.972551,SSVEP_UPDATE,"fbcca_quad=0, fbcca_conf=0.2733, fbcca_ratio=3.1415, fbcca_consec=1, fbcca_scores=[0.14854547888427866, 0.04728553197240226, 0.024232385290555596, 0.011954933865598726], fbcca_probs=[0.2732891011406912, 0.246970838397063, 0.2413425080571402, 0.23839755240510555], cca_quad=0, cca_conf=0.2789, cca_ratio=1.9202, cca_scores=[0.22132374323592283, 0.11526107545888532, 0.05776456104378914, 0.04333805271684986], cca_probs=[0.2789058800398534, 0.25083910297960893, 0.23682351355496792, 0.2334315034255698]"
2026 05 16 14:13:45.996497,SSVEP_UPDATE,"fbcca_quad=0, fbcca_conf=0.3057, fbcca_ratio=6.2902, fbcca_consec=2, fbcca_scores=[0.3075404554762663, 0.048892251262074436, 0.01554643650969839, 0.023489318339674957], fbcca_probs=[0.3056612359275138, 0.23599938812908328, 0.22825955888136654, 0.23007981706203634], cca_quad=0, cca_conf=0.3057, cca_ratio=3.1397, cca_scores=[0.3571474954935794, 0.11375146354739284, 0.057807494390842463, 0.06443200897298365], cca_probs=[0.3056699273387038, 0.23963329539334108, 0.22659535502996553, 0.2281014222379896]"
2026 05 16 14:13:47.014942,SSVEP_UPDATE,"fbcca_quad=0, fbcca_conf=0.3093, fbcca_ratio=5.6648, fbcca_consec=3, fbcca_scores=[0.33173209387510627, 0.058560198545887114, 0.025442805330944538, 0.024536067229996513], fbcca_probs=[0.30934449277997267, 0.2353993948131083, 0.22773125571209107, 0.22752485669482797], cca_quad=0, cca_conf=0.2887, cca_ratio=2.7924, cca_scores=[0.2626254988997949, 0.09405135933154593, 0.05250140298730037, 0.05023280370813171], cca_probs=[0.28868365541545604, 0.2438997624051619, 0.23397338620634833, 0.23344319597303373]"
2026 05 16 14:13:48.042982,SSVEP_UPDATE,"fbcca_quad=0, fbcca_conf=0.2808, fbcca_ratio=2.5487, fbcca_consec=4, fbcca_scores=[0.22597091198556057, 0.08866261856090132, 0.0500015702868126, 0.0645277924316345], fbcca_probs=[0.28079948681701855, 0.2447733183796121, 0.23549071899130686, 0.2389364758120625], cca_quad=0, cca_conf=0.2977, cca_ratio=2.5342, cca_scores=[0.3451935022668352, 0.13621300282619167, 0.08355485843229656, 0.09411870866037872], cca_probs=[0.29769308259498384, 0.24155145924421179, 0.22916090248340898, 0.23159455567739531]"
2026 05 16 14:13:49.051010,SSVEP_UPDATE,"fbcca_quad=0, fbcca_conf=0.3061, fbcca_ratio=4.7913, fbcca_consec=5, fbcca_scores=[0.32566712331837633, 0.06797050844030446, 0.030719437728425867, 0.037309261906440724], fbcca_probs=[0.3061011909439632, 0.23656407980187527, 0.22791392848955366, 0.22942080076460775], cca_quad=0, cca_conf=0.3081, cca_ratio=2.9886, cca_scores=[0.3679697839072032, 0.12312356495714892, 0.05696459066154658, 0.05359560335980588], cca_probs=[0.3080922857415169, 0.2411823166654136, 0.22574232047273932, 0.2249830771203301]"
2026 05 16 14:13:49.051010,SSVEP_CONFIRMED,"fbcca_quad=0, fbcca_conf=0.3061, fbcca_ratio=4.7913, fbcca_consec=5, fbcca_scores=[0.32566712331837633, 0.06797050844030446, 0.030719437728425867, 0.037309261906440724], fbcca_probs=[0.3061011909439632, 0.23656407980187527, 0.22791392848955366, 0.22942080076460775], cca_quad=0, cca_conf=0.3081, cca_ratio=2.9886, cca_scores=[0.3679697839072032, 0.12312356495714892, 0.05696459066154658, 0.05359560335980588], cca_probs=[0.3080922857415169, 0.2411823166654136, 0.22574232047273932, 0.2249830771203301]"
2026 05 16 14:13:49.052032,SELECTION,"quad=0, result=navigate, output=''"
2026 05 16 14:13:52.054910,PHASE_SSVEP,
2026 05 16 14:13:52.087556,SSVEP_UPDATE,"fbcca_quad=0, fbcca_conf=0.2582, fbcca_ratio=1.3604, fbcca_consec=1, fbcca_scores=[0.08184838344598107, 0.06016535899314464, 0.018991626660918182, 0.03550893174112511], fbcca_probs=[0.25824137517569623, 0.2527021912735739, 0.24250878910847543, 0.2465476444422545], cca_quad=0, cca_conf=0.2585, cca_ratio=1.1479, cca_scores=[0.11508840465384171, 0.10026268688756523, 0.05292777303480189, 0.05666159041086945], cca_probs=[0.2585139744478298, 0.2547095902710538, 0.24293383459037424, 0.2438426006907422]"
2026 05 16 14:13:53.100777,SSVEP_UPDATE,"fbcca_quad=1, fbcca_conf=0.2566, fbcca_ratio=1.1930, fbcca_consec=1, fbcca_scores=[0.09131513747609496, 0.10894235634237184, 0.05575488788994132, 0.07398945651596732], fbcca_probs=[0.2521640956887027, 0.25664845466825914, 0.24335463904772597, 0.24783281059531215], cca_quad=0, cca_conf=0.2629, cca_ratio=1.1866, cca_scores=[0.1848079836472033, 0.15574823135744248, 0.08263056053247586, 0.11213487733520723], cca_probs=[0.2628720193576833, 0.25534294986986944, 0.2373390886106982, 0.244445942161749]"
2026 05 16 14:13:54.128456,SSVEP_UPDATE,"fbcca_quad=0, fbcca_conf=0.2675, fbcca_ratio=1.5753, fbcca_consec=1, fbcca_scores=[0.1654401701459854, 0.1050223293964009, 0.06621052405332159, 0.05024498051339873], fbcca_probs=[0.26751572481896413, 0.25183157432998504, 0.24224478008103695, 0.2384079207700139], cca_quad=0, cca_conf=0.2743, cca_ratio=1.6047, cca_scores=[0.23424289563902043, 0.1459689764438101, 0.0858815326100387, 0.09326960766461469], cca_probs=[0.2742624870501421, 0.2510900677833447, 0.23644704383360876, 0.23820040133290435]"
2026 05 16 14:13:55.140117,SSVEP_UPDATE,"fbcca_quad=0, fbcca_conf=0.2992, fbcca_ratio=4.8418, fbcca_consec=2, fbcca_scores=[0.3072453236763536, 0.06345678438675818, 0.05335336548867364, 0.06227101047407256], fbcca_probs=[0.29920827222916213, 0.23447555848688303, 0.23211848101929905, 0.23419768826465573], cca_quad=0, cca_conf=0.2996, cca_ratio=2.8820, cca_scores=[0.35475674349730835, 0.10791169333112105, 0.12309360046877602, 0.08460110638435957], cca_probs=[0.2996043085455083, 0.2340693835645172, 0.23765011560347474, 0.22867619228649985]"
2026 05 16 14:13:56.160902,SSVEP_UPDATE,"fbcca_quad=0, fbcca_conf=0.3322, fbcca_ratio=9.2534, fbcca_consec=3, fbcca_scores=[0.43327993834931494, 0.01899853770202338, 0.04682394474603843, 0.03315368901361261], fbcca_probs=[0.3321695197797871, 0.21950259169297903, 0.22569610962533035, 0.22263177890190355], cca_quad=0, cca_conf=0.3145, cca_ratio=3.2832, cca_scores=[0.418554893106788, 0.07750655626287398, 0.12748269850965124, 0.09137775998714927], cca_probs=[0.31452057070929873, 0.22363184369823125, 0.2350920846733836, 0.22675550091908625]"
2026 05 16 14:13:57.189045,SSVEP_UPDATE,"fbcca_quad=0, fbcca_conf=0.3238, fbcca_ratio=5.7197, fbcca_consec=4, fbcca_scores=[0.40587162591691295, 0.029593625752576787, 0.07095992734043739, 0.029480328576258437], fbcca_probs=[0.32381883872831674, 0.22227296964194473, 0.23166040346110428, 0.22224778816863427], cca_quad=0, cca_conf=0.3116, cca_ratio=2.4754, cca_scores=[0.4423568167525418, 0.14160558686466782, 0.17869802098985735, 0.08695598005173905], cca_probs=[0.3115856937919599, 0.230655019219653, 0.23937122871307606, 0.218388058275311]"
