time,mV

2026 05 20 18:16:29.507734,315
,324
,320
,315
,316
,331
,323
,318
,331
,329
,320
,314
,323
,319
2026 05 20 18:16:29.569676,310
,312
,319
,313
,308
,318
,323
,318
,313
,320
,319
,312
,310
,323
2026 05 20 18:16:29.630721,317
,308
,314
,317
,302
,304
,315
,321
,314
,311
,320
,318
,310
,310
2026 05 20 18:16:29.696646,324
,320
,312
,310
,314
,308
,305
,311
,304
,289
,292
,301
,293
,277
2026 05 20 18:16:29.758244,292
,297
,289
,286
,300
,298
,292
,294
,303
,297
,289
,304
,311
,304
2026 05 20 18:16:29.823504,299
,305
,305
,301
,298
,307
,303
,288
,295
,298
,294
,296
,301
,307
2026 05 20 18:16:29.884885,302
,301
,307
,304
,293
,297
,303
,297
,291
,298
,305
,298
,295
,304
2026 05 20 18:16:29.945963,308
,300
,303
,311
,305
,298
,302
,307
,298
,290
,297
,299
,289
,289
2026 05 20 18:16:30.012071,297
,295
,283
,294
,302
,299
,295
,304
,305
,297
,295
,304
,299
,289
2026 05 20 18:16:30.073158,286
,296
,293
,284
,286
,289
,284
,279
,290
,289
,279
,279
,291
,287
2026 05 20 18:16:30.137915,281
,291
,296
,289
,285
,285
,291
,288
,283
,296
,290
,289
,289
,295
2026 05 20 18:16:30.200278,296
,287
,293
,297
,290
,286
,300
,298
,291
,291
,300
,290
,282
,290
2026 05 20 18:16:30.261504,298
,289
,284
,296
,296
,288
,292
,302
,295
,291
,299
,306
,298
,297
2026 05 20 18:16:30.327067,307
,305
,291
,292
,310
,303
,295
,305
,310
,303
,295
,303
,312
,297
2026 05 20 18:16:30.388206,297
,308
,305
,297
,296
,305
,291
,286
,302
,311
,300
,296
,311
,310
2026 05 20 18:16:30.453991,299
,301
,309
,303
,294
,301
,308
,298
,289
,294
,292
,287
,289
,305
2026 05 20 18:16:30.515098,303
,290
,292
,296
,287
,280
,292
,297
,290
,290
,302
,299
,290
,291
2026 05 20 18:16:30.577110,302
,291
,291
,301
,304
,292
,286
,296
,296
,285
,284
,291
,290
,283
2026 05 20 18:16:30.642840,285
,298
,293
,293
,301
,302
,293
,299
,302
,298
,286
,289
,296
,287
2026 05 20 18:16:30.704189,281
,287
,292
,286
,282
,297
,297
,287
,293
,306
,297
,292
,301
,305
2026 05 20 18:16:30.765173,295
,290
,299
,300
,293
,297
,304
,300
,293
,292
,301
,296
,291
,295
2026 05 20 18:16:30.831014,297
,295
,294
,302
,304
,295
,298
,308
,300
,291
,295
,300
,291
,291
2026 05 20 18:16:30.892861,301
,296
,284
,288
,294
,288
,283
,291
,299
,297
,294
,302
,298
,292
2026 05 20 18:16:30.958213,293
,301
,293
,284
,293
,302
,292
,287
,297
,298
,286
,288
,298
,293
2026 05 20 18:16:31.019629,291
,297
,306
,300
,287
,297
,297
,287
,288
,296
,293
,282
,290
,298
2026 05 20 18:16:31.081059,300
,294
,301
,302
,292
,283
,291
,292
,284
,285
,294
,292
,283
,287
2026 05 20 18:16:31.146570,293
,289
,279
,286
,283
,275
,274
,280
,281
,272
,281
,291
,293
,284
2026 05 20 18:16:31.208080,293
,297
,286
,283
,289
,287
,279
,281
,292
,283
,276
,286
,286
,280
2026 05 20 18:16:31.273967,282
,293
,292
,286
,284
,301
,295
,281
,288
,293
,284
,283
,291
,291
2026 05 20 18:16:31.335547,292
,294
,305
,302
,293
,298
,297
,290
,280
,286
,287
,273
,277
,287
2026 05 20 18:16:31.396687,284
,282
,290
,302
,294
,286
,298
,304
,299
,296
,303
,300
,292
,292
2026 05 20 18:16:31.462197,298
,290
,281
,288
,292
,287
,286
,291
,295
,285
,286
,296
,291
,282
2026 05 20 18:16:31.523212,287
,295
,293
,286
,291
,295
,286
,282
,291
,283
,279
,283
,290
,285
2026 05 20 18:16:31.589151,275
,285
,295
,288
,290
,302
,301
,296
,301
,317
,317
,307
,312
,317
2026 05 20 18:16:31.650284,308
,303
,306
,306
,302
,301
,312
,311
,303
,305
,310
,307
,301
,307
2026 05 20 18:16:31.711798,308
,303
,303
,312
,307
,302
,305
,316
,306
,300
,309
,313
,311
,309
2026 05 20 18:16:31.777333,320
,320
,309
,314
,328
,319
,308
,308
,314
,309
,302
,311
,310
,301
2026 05 20 18:16:31.838722,299
,306
,303
,291
,296
,303
,306
,299
,311
,318
,310
,308
,317
,320
2026 05 20 18:16:31.904272,315
,314
,320
,313
,302
,307
,310
,298
,291
,304
,301
,290
,295
,307
2026 05 20 18:16:31.965970,304
,292
,303
,313
,313
,312
,317
,317
,310
,321
,329
,328
,319
,320
2026 05 20 18:16:32.027181,326
,313
,307
,319
,323
,315
,310
,320
,319
,320
,327
,335
,337
,334
2026 05 20 18:16:32.092810,340
,346
,339
,328
,337
,332
,321
,314
,320
,311
,297
,298
,304
,299
2026 05 20 18:16:32.154379,296
,304
,317
,315
,314
,323
,319
,307
,307
,320
,310
,303
,314
,320
2026 05 20 18:16:32.219486,309
,304
,314
,312
,305
,308
,315
,313
,301
,315
,320
,311
,312
,316
2026 05 20 18:16:32.280932,310
,302
,309
,316
,317
,308
,309
,327
,314
,306
,314
,316
,313
,308
2026 05 20 18:16:32.342599,314
,313
,310
,310
,323
,317
,311
,321
,320
,310
,313
,320
,328
,313
2026 05 20 18:16:32.408459,316
,330
,315
,305
,329
,337
,322
,324
,327
,333
,321
,320
,335
,328
2026 05 20 18:16:32.468283,323
,330
,335
,327
,318
,328
,327
,323
,319
,327
,327
,322
,321
,332
2026 05 20 18:16:32.535126,324
,313
,331
,333
,320
,318
,334
,329
,321
,328
,335
,330
,325
,331
2026 05 20 18:16:32.596774,332
,325
,319
,336
,333
,328
,331
,334
,327
,324
,333
,330
,328
,332
2026 05 20 18:16:32.657529,332
,338
,325
,322
,340
,332
,330
,329
,353
,348
,332
,336
,350
,337
2026 05 20 18:16:32.723652,334
,338
,340
,313
,321
,329
,325
,327
,330
,323
,332
,333
,342
,353
2026 05 20 18:16:32.784590,354
,356
,356
,360
,352
,350
,351
,337
,333
,349
,346
,332
,337
,349
2026 05 20 18:16:32.849683,347
,338
,340
,346
,341
,342
,349
,351
,335
,339
,344
,341
,326
,339
2026 05 20 18:16:32.912051,348
,335
,326
,343
,346
,334
,332
,342
,349
,334
,326
,346
,349
,335
2026 05 20 18:16:32.972927,341
,344
,338
,340
,344
,341
,331
,331
,342
,340
,328
,320
,345
,337
2026 05 20 18:16:33.038873,329
,338
,344
,340
,341
,347
,344
,337
,337
,351
,342
,332
,336
,344
2026 05 20 18:16:33.100431,341
,335
,347
,351
,338
,338
,358
,353
,339
,346
,358
,355
,345
,355
2026 05 20 18:16:33.165979,359
,355
,349
,356
,349
,342
,349
,347
,341
,335
,341
,339
,325
,322
2026 05 20 18:16:33.227500,329
,335
,327
,325
,348
,350
,339
,338
,342
,340
,337
,346
,342
,344
2026 05 20 18:16:33.288276,334
,353
,343
,337
,341
,356
,344
,339
,349
,350
,340
,331
,364
,355
2026 05 20 18:16:33.354255,348
,347
,350
,340
,327
,348
,361
,342
,353
,353
,336
,337
,350
,358
2026 05 20 18:16:33.415177,350
,336
,337
,349
,337
,333
,352
,345
,335
,341
,351
,345
,324
,331
2026 05 20 18:16:33.481549,350
,336
,338
,333
,338
,322
,341
,341
,337
,320
,325
,338
,326
,334
2026 05 20 18:16:33.542845,347
,347
,351
,341
,354
,348
,327
,335
,361
,347
,335
,334
,338
,336
2026 05 20 18:16:33.604364,328
,342
,343
,340
,347
,340
,342
,323
,340
,348
,340
,339
,337
,344
2026 05 20 18:16:33.669705,327
,320
,341
,342
,325
,310
,333
,332
,319
,320
,335
,316
,330
,339
2026 05 20 18:16:33.731500,338
,336
,333
,346
,328
,329
,340
,338
,331
,320
,333
,334
,326
,313
2026 05 20 18:16:33.796226,338
,330
,321
,320
,327
,323
,328
,332
,343
,338
,331
,340
,342
,329
2026 05 20 18:16:33.857485,336
,351
,335
,325
,332
,341
,330
,339
,346
,334
,329
,335
,342
,339
2026 05 20 18:16:33.919318,333
,337
,339
,337
,334
,346
,340
,329
,320
,323
,323
,333
,321
,327
2026 05 20 18:16:33.985058,332
,320
,339
,341
,329
,320
,338
,331
,326
,338
,346
,337
,327
,332
2026 05 20 18:16:34.046665,337
,336
,339
,340
,340
,330
,338
,360
,342
,323
,337
,343
,333
,323
2026 05 20 18:16:34.111900,329
,335
,333
,334
,346
,329
,327
,344
,344
,336
,334
,345
,346
,332
2026 05 20 18:16:34.173450,334
,344
,345
,339
,342
,352
,345
,349
,335
,348
,348
,338
,347
,350
2026 05 20 18:16:34.235030,346
,347
,364
,354
,344
,353
,367
,348
,351
,365
,359
,343
,349
,365
2026 05 20 18:16:34.300286,352
,339
,348
,357
,358
,351
,356
,354
,347
,346
,344
,347
,344
,344
2026 05 20 18:16:34.361987,353
,345
,351
,349
,363
,350
,355
,364
,345
,343
,342
,345
,343
,337
2026 05 20 18:16:34.422940,335
,342
,336
,337
,343
,340
,345
,336
,345
,343
,341
,348
,352
,346
2026 05 20 18:16:34.488937,339
,349
,345
,337
,344
,349
,345
,339
,344
,356
,346
,338
,343
,356
2026 05 20 18:16:34.549593,345
,339
,349
,349
,331
,337
,351
,337
,330
,342
,352
,349
,341
,342
2026 05 20 18:16:34.615744,344
,337
,341
,351
,350
,338
,344
,355
,344
,336
,352
,353
,343
,342
2026 05 20 18:16:34.677306,352
,349
,331
,339
,353
,347
,342
,354
,360
,349
,347
,358
,354
,344
2026 05 20 18:16:34.738739,341
,352
,338
,334
,344
,352
,345
,338
,353
,353
,342
,351
,357
,350
2026 05 20 18:16:34.813035,341
,347
,362
,354
,343
,353
,353
,345
,340
,345
,346
,341
,349
,358
2026 05 20 18:16:34.865423,349
,348
,344
,356
,350
,342
,350
,351
,340
,346
,353
,349
,347
,350
2026 05 20 18:16:34.930850,353
,343
,341
,352
,353
,343
,341
,351
,343
,341
,345
,349
,345
,338
2026 05 20 18:16:34.992898,349
,350
,343
,343
,351
,341
,339
,351
,360
,347
,346
,361
,361
,351
2026 05 20 18:16:35.054035,341
,348
,349
,343
,343
,352
,348
,335
,344
,343
,336
,342
,347
,345
2026 05 20 18:16:35.119496,333
,327
,343
,337
,329
,331
,340
,330
,325
,333
,335
,318
,323
,338
2026 05 20 18:16:35.180530,341
,330
,331
,348
,345
,337
,338
,341
,334
,324
,337
,334
,330
,333
2026 05 20 18:16:35.246494,341
,340
,338
,345
,350
,341
,338
,349
,350
,341
,347
,359
,354
,344
2026 05 20 18:16:35.307846,349
,355
,347
,341
,346
,349
,344
,341
,350
,342
,338
,341
,348
,341
2026 05 20 18:16:35.369534,335
,343
,354
,341
,342
,355
,350
,346
,347
,354
,356
,350
,355
,355
2026 05 20 18:16:35.435116,354
,349
,355
,355
,351
,354
,367
,357
,350
,356
,360
,354
,345
,349
2026 05 20 18:16:35.495851,353
,341
,339
,353
,355
,342
,351
,362
,359
,354
,356
,359
,346
,344
2026 05 20 18:16:35.561922,351
,352
,346
,350
,355
,351
,344
,353
,352
,340
,332
,345
,350
,346
2026 05 20 18:16:35.623069,345
,354
,353
,347
,349
,359
,356
,347
,353
,355
,349
,349
,362
,355
2026 05 20 18:16:35.684640,345
,348
,357
,354
,348
,351
,355
,355
,347
,360
,361
,349
,349
,362
2026 05 20 18:16:35.750282,358
,353
,353
,358
,350
,351
,357
,352
,351
,353
,364
,358
,350
,353
2026 05 20 18:16:35.811067,362
,350
,349
,353
,358
,352
,351
,360
,350
,352
,357
,366
,361
,350
2026 05 20 18:16:35.877254,358
,367
,360
,352
,362
,360
,350
,353
,356
,352
,345
,355
,364
,353
2026 05 20 18:16:35.938770,349
,359
,353
,353
,349
,364
,355
,347
,353
,362
,354
,349
,358
,360
2026 05 20 18:16:35.999708,357
,355
,365
,358
,350
,354
,361
,355
,348
,356
,359
,349
,349
,362
2026 05 20 18:16:36.065556,358
,347
,349
,355
,351
,340
,344
,347
,342
,338
,349
,348
,343
,340
2026 05 20 18:16:36.126808,352
,348
,338
,346
,347
,345
,340
,342
,351
,350
,349
,351
,351
,339
2026 05 20 18:16:36.192722,348
,354
,355
,346
,351
,362
,352
,346
,349
,351
,343
,347
,350
,350
2026 05 20 18:16:36.254204,346
,351
,355
,348
,341
,354
,357
,353
,350
,361
,350
,338
,339
,347
2026 05 20 18:16:36.315391,340
,334
,342
,344
,347
,343
,350
,347
,339
,336
,346
,343
,338
,346
2026 05 20 18:16:36.380761,357
,346
,342
,351
,343
,344
,347
,352
,350
,344
,350
,357
,346
,342
2026 05 20 18:16:36.441984,354
,351
,348
,346
,359
,357
,346
,344
,352
,346
,336
,346
,349
,334
2026 05 20 18:16:36.507726,335
,346
,340
,331
,331
,341
,337
,330
,339
,344
,340
,336
,349
,345
2026 05 20 18:16:36.569768,334
,334
,345
,342
,344
,348
,354
,354
,347
,358
,359
,355
,355
,361
2026 05 20 18:16:36.630589,359
,352
,355
,362
,362
,357
,362
,364
,359
,357
,365
,360
,354
,355
2026 05 20 18:16:36.696598,361
,358
,353
,354
,362
,359
,356
,363
,354
,350
,349
,356
,350
,347
2026 05 20 18:16:36.757291,353
,359
,356
,345
,356
,366
,360
,358
,366
,356
,351
,350
,351
,347
2026 05 20 18:16:36.822704,349
,356
,354
,357
,351
,359
,352
,347
,358
