timestamp,event,data
2026 05 20 18:16:29.711689,PHASE_PREPARING,
2026 05 20 18:16:34.724211,PHASE_SSVEP,
2026 05 20 18:16:34.904139,SSVEP_UPDATE,"fbcca_quad=0, fbcca_conf=0.2574, fbcca_ratio=1.4557, fbcca_consec=1, fbcca_scores=[0.08270812509447406, 0.05681580146761662, 0.0372308581867313, 0.03670135777918679], fbcca_probs=[0.2573991422025663, 0.2508200222194801, 0.24595551732567106, 0.24582531825228254], cca_quad=0, cca_conf=0.2669, cca_ratio=1.6506, cca_scores=[0.15202699549575413, 0.0921023870466275, 0.05311496082131618, 0.04601351306961643], cca_probs=[0.2668751534819851, 0.25135250358493616, 0.24174148815242238, 0.24003085478065633]"
2026 05 20 18:16:35.916815,SSVEP_UPDATE,"fbcca_quad=3, fbcca_conf=0.2610, fbcca_ratio=1.7687, fbcca_consec=1, fbcca_scores=[0.06386204309721959, 0.06768650175691729, 0.05353587098726034, 0.11971689034376838], fbcca_probs=[0.24685245088474841, 0.247798335473542, 0.24431652572470994, 0.2610326879169997], cca_quad=3, cca_conf=0.2572, cca_ratio=1.2153, cca_scores=[0.09355774939811942, 0.1194511146563354, 0.10787674407684078, 0.14516852253559728], cca_probs=[0.244282606307943, 0.25069050811071103, 0.24780565067957305, 0.25722123490177284]"
2026 05 20 18:16:36.941037,SSVEP_UPDATE,"fbcca_quad=3, fbcca_conf=0.2614, fbcca_ratio=1.5444, fbcca_consec=2, fbcca_scores=[0.09182139649004908, 0.09236931274651371, 0.06453032337210113, 0.14265430067449442], fbcca_probs=[0.24839949380906587, 0.24853563322291455, 0.24171207356076493, 0.26135279940725453], cca_quad=3, cca_conf=0.2568, cca_ratio=1.2558, cca_scores=[0.11325770700898538, 0.11043332232122904, 0.095410664062219, 0.14222496621669825], cca_probs=[0.24944611965292485, 0.24874258185054046, 0.24503373516792162, 0.2567775633286131]"
2026 05 20 18:16:37.950711,SSVEP_UPDATE,"fbcca_quad=0, fbcca_conf=0.2638, fbcca_ratio=1.3601, fbcca_consec=1, fbcca_scores=[0.15335480604433946, 0.0548779256203748, 0.07481428870640709, 0.11275552514370027], fbcca_probs=[0.2637899441251297, 0.23905083781128517, 0.24386446579376814, 0.25329475226981696], cca_quad=0, cca_conf=0.2568, cca_ratio=1.1698, cca_scores=[0.1548355505150447, 0.0942017979228455, 0.12942694615506092, 0.13236084674821222], cca_probs=[0.25681488304588795, 0.24170591824704313, 0.2503717770877437, 0.2511074216193252]"
2026 05 20 18:16:38.981529,SSVEP_UPDATE,"fbcca_quad=0, fbcca_conf=0.2840, fbcca_ratio=2.3223, fbcca_consec=2, fbcca_scores=[0.2554356144565994, 0.08161945929898144, 0.10999071978077354, 0.05180756166810589], fbcca_probs=[0.28402194762925276, 0.23870664241104927, 0.24557603665362415, 0.23169537330607382], cca_quad=0, cca_conf=0.2722, cca_ratio=1.8566, cca_scores=[0.22054442385877432, 0.11262799001730213, 0.11878711402900624, 0.08381739255853043], cca_probs=[0.27224517912901863, 0.24439520809673831, 0.2459051135656252, 0.23745449920861786]"
2026 05 20 18:16:40.002709,SSVEP_UPDATE,"fbcca_quad=0, fbcca_conf=0.2848, fbcca_ratio=1.8973, fbcca_consec=3, fbcca_scores=[0.2862328951641903, 0.12027524803212504, 0.150860885335955, 0.051901295489910806], fbcca_probs=[0.2847727055033838, 0.24122586418738828, 0.248717901296684, 0.22528352901254398], cca_quad=0, cca_conf=0.2713, cca_ratio=1.5189, cca_scores=[0.2386644953712389, 0.15713225840887615, 0.15490356045164647, 0.07004649063464125], cca_probs=[0.27128313546608557, 0.25004247885090825, 0.24948583022031603, 0.22918855546269]"
2026 05 20 18:16:41.021336,SSVEP_UPDATE,"fbcca_quad=0, fbcca_conf=0.2935, fbcca_ratio=1.9098, fbcca_consec=4, fbcca_scores=[0.3284706810559763, 0.17199030524016143, 0.11534155266857579, 0.03201244530470426], fbcca_probs=[0.29354378938737535, 0.25102347221360777, 0.2371985838869343, 0.21823415451208267], cca_quad=0, cca_conf=0.2745, cca_ratio=1.3325, cca_scores=[0.25662625464412203, 0.1925897909049137, 0.14220431144434562, 0.04897040887602692], cca_probs=[0.27454885751803104, 0.25751881069740734, 0.244865061450875, 0.22306727033368656]"
2026 05 20 18:16:42.105849,SSVEP_UPDATE,"fbcca_quad=1, fbcca_conf=0.2824, fbcca_ratio=1.6072, fbcca_consec=1, fbcca_scores=[0.17746362707680438, 0.2852211893183297, 0.11001226793451634, 0.06721232624804747], fbcca_probs=[0.2535394154187029, 0.28238654465344387, 0.23700184755342787, 0.22707219237442536], cca_quad=1, cca_conf=0.2643, cca_ratio=1.2250, cca_scores=[0.1570957369934913, 0.19243667088291955, 0.12343058319162224, 0.07043601684337278], cca_probs=[0.2551113384578192, 0.2642884195658243, 0.2466659315858699, 0.2339343103904868]"
2026 05 20 18:16:43.119970,SSVEP_UPDATE,"fbcca_quad=1, fbcca_conf=0.2571, fbcca_ratio=1.1302, fbcca_consec=2, fbcca_scores=[0.12788250287266156, 0.14452970537465448, 0.1031210365559443, 0.08991575861207744], fbcca_probs=[0.252839764729781, 0.25708406937525397, 0.2466559574333006, 0.2434202084616645], cca_quad=2, cca_conf=0.2559, cca_ratio=1.0604, cca_scores=[0.13841703085445312, 0.15184405254690936, 0.16102148712427236, 0.0980819493026451], cca_probs=[0.2501972184488834, 0.25357927660146007, 0.2559171954620356, 0.2403063094876209]"
2026 05 20 18:16:44.139610,SSVEP_UPDATE,"fbcca_quad=0, fbcca_conf=0.2628, fbcca_ratio=1.6773, fbcca_consec=1, fbcca_scores=[0.125955478864236, 0.07509626895401465, 0.032429369639454704, 0.06792935329602091], fbcca_probs=[0.2628292196590013, 0.24979616778392483, 0.23936231278789877, 0.24801229976917502], cca_quad=0, cca_conf=0.2580, cca_ratio=1.2627, cca_scores=[0.14667803016922148, 0.11616205203386912, 0.08879499201195393, 0.1089846054734402], cca_probs=[0.25795045948170026, 0.25019774140549045, 0.24344340945587867, 0.24840838965693063]"
2026 05 20 18:16:45.152556,SSVEP_UPDATE,"fbcca_quad=0, fbcca_conf=0.2929, fbcca_ratio=5.2680, fbcca_consec=2, fbcca_scores=[0.257200220065058, 0.027827670141980287, 0.04882309140197506, 0.04301981548111991], fbcca_probs=[0.29289988770665387, 0.23286486820273763, 0.23780564960756834, 0.23642959448304024], cca_quad=0, cca_conf=0.2794, cca_ratio=2.6051, cca_scores=[0.23502262806398944, 0.08808510800715455, 0.07260233374481367, 0.0902156776369226], cca_probs=[0.2794372419890911, 0.24125156098794576, 0.2375450848371077, 0.24176611218585545]"
