time,mV

2026 05 21 13:02:20.983011,352
,341
,324
,361
,363
,359
,349
,361
,367
,365
,352
,353
,349
,340
2026 05 21 13:02:21.045266,356
,361
,352
,345
,348
,359
,357
,337
,338
,343
,353
,351
,327
,363
2026 05 21 13:02:21.105867,376
,359
,362
,349
,344
,350
,352
,352
,336
,348
,343
,339
,333
,348
2026 05 21 13:02:21.171338,339
,332
,343
,336
,312
,334
,355
,360
,346
,323
,311
,342
,347
,340
2026 05 21 13:02:21.233303,359
,359
,331
,336
,359
,367
,355
,351
,349
,341
,339
,353
,348
,339
2026 05 21 13:02:21.298371,340
,351
,337
,337
,340
,343
,341
,328
,336
,338
,337
,330
,345
,347
2026 05 21 13:02:21.360654,335
,348
,363
,364
,342
,339
,341
,328
,346
,347
,345
,337
,336
,345
2026 05 21 13:02:21.422235,349
,344
,342
,350
,336
,329
,354
,334
,304
,338
,363
,370
,375
,368
2026 05 21 13:02:21.486771,362
,352
,348
,354
,349
,336
,335
,341
,344
,350
,335
,333
,345
,348
2026 05 21 13:02:21.548631,358
,353
,349
,339
,351
,349
,337
,335
,346
,342
,345
,346
,342
,339
2026 05 21 13:02:21.614450,337
,351
,339
,338
,333
,348
,345
,347
,344
,354
,349
,339
,345
,344
2026 05 21 13:02:21.676146,340
,340
,358
,357
,348
,344
,360
,345
,344
,354
,374
,353
,345
,365
2026 05 21 13:02:21.736803,368
,371
,363
,366
,356
,366
,364
,376
,367
,365
,355
,357
,367
,353
2026 05 21 13:02:21.802942,348
,380
,380
,356
,341
,344
,359
,395
,397
,383
,375
,380
,373
,360
2026 05 21 13:02:21.863969,355
,366
,363
,363
,365
,369
,359
,355
,362
,362
,360
,362
,373
,368
2026 05 21 13:02:21.929268,349
,364
,386
,371
,364
,367
,363
,357
,354
,361
,360
,358
,338
,371
2026 05 21 13:02:21.991373,365
,361
,369
,374
,366
,365
,369
,371
,360
,344
,350
,364
,370
,371
2026 05 21 13:02:22.052314,372
,362
,358
,351
,365
,383
,388
,380
,367
,367
,362
,369
,354
,355
2026 05 21 13:02:22.118021,356
,364
,352
,337
,353
,372
,357
,348
,354
,362
,349
,350
,372
,360
2026 05 21 13:02:22.179195,355
,361
,357
,349
,363
,360
,355
,354
,350
,348
,346
,353
,351
,356
2026 05 21 13:02:22.245197,352
,344
,356
,345
,334
,352
,356
,324
,329
,354
,356
,362
,352
,362
2026 05 21 13:02:22.306807,362
,345
,343
,360
,354
,343
,351
,342
,349
,347
,358
,361
,347
,328
2026 05 21 13:02:22.368179,340
,362
,364
,355
,344
,335
,342
,370
,360
,360
,350
,362
,344
,340
2026 05 21 13:02:22.432954,352
,370
,345
,351
,358
,370
,367
,360
,358
,367
,354
,360
,365
,364
2026 05 21 13:02:22.494572,365
,367
,380
,363
,362
,372
,375
,377
,383
,384
,379
,359
,369
,390
2026 05 21 13:02:22.560615,396
,380
,379
,390
,427
,415
,406
,412
,407
,406
,395
,389
,389
,395
2026 05 21 13:02:22.622235,402
,390
,393
,398
,395
,381
,392
,402
,405
,401
,402
,389
,380
,409
2026 05 21 13:02:22.683522,411
,386
,384
,408
,412
,399
,391
,391
,384
,368
,380
,401
,397
,380
2026 05 21 13:02:22.749006,371
,383
,368
,378
,378
,366
,359
,352
,358
,376
,361
,339
,348
,365
2026 05 21 13:02:22.810543,354
,344
,335
,329
,339
,341
,342
,337
,326
,338
,343
,329
,317
,320
2026 05 21 13:02:22.876566,338
,325
,344
,346
,327
,327
,340
,341
,334
,326
,330
,334
,321
,320
2026 05 21 13:02:22.937504,345
,337
,327
,341
,329
,317
,347
,357
,340
,322
,325
,341
,345
,326
2026 05 21 13:02:22.998539,335
,340
,327
,333
,342
,319
,305
,326
,337
,344
,338
,330
,333
,328
2026 05 21 13:02:23.064008,325
,324
,339
,339
,321
,340
,354
,351
,323
,352
,361
,353
,354
,364
2026 05 21 13:02:23.126204,358
,350
,351
,357
,340
,356
,353
,351
,346
,353
,360
,350
,358
,357
2026 05 21 13:02:23.191551,356
,353
,341
,350
,359
,356
,359
,366
,347
,356
,364
,361
,352
,354
2026 05 21 13:02:23.253153,358
,378
,366
,353
,363
,360
,370
,365
,360
,356
,366
,368
,384
,369
2026 05 21 13:02:23.314396,379
,383
,389
,377
,382
,382
,376
,358
,370
,372
,365
,357
,369
,365
2026 05 21 13:02:23.380065,360
,360
,376
,365
,359
,368
,386
,385
,377
,376
,377
,373
,371
,366
2026 05 21 13:02:23.442426,359
,362
,369
,352
,343
,355
,376
,371
,352
,357
,362
,360
,362
,359
2026 05 21 13:02:23.506076,353
,342
,347
,356
,353
,339
,343
,341
,335
,335
,336
,333
,315
,311
2026 05 21 13:02:23.568309,313
,333
,318
,331
,326
,354
,348
,329
,336
,335
,328
,326
,317
,315
2026 05 21 13:02:23.629429,322
,334
,328
,314
,314
,327
,324
,312
,317
,311
,309
,322
,345
,336
2026 05 21 13:02:23.695177,308
,333
,339
,338
,334
,329
,326
,307
,306
,319
,325
,306
,310
,316
2026 05 21 13:02:23.756571,309
,306
,308
,305
,303
,297
,316
,318
,310
,297
,317
,322
,311
,305
2026 05 21 13:02:23.817857,310
,312
,309
,320
,309
,326
,328
,333
,337
,329
,340
,343
,342
,328
2026 05 21 13:02:23.883739,335
,330
,325
,329
,341
,335
,325
,332
,332
,351
,340
,338
,342
,344
2026 05 21 13:02:23.943849,345
,363
,353
,348
,354
,353
,359
,351
,355
,366
,370
,364
,359
,366
2026 05 21 13:02:24.010579,356
,365
,374
,367
,366
,368
,372
,375
,363
,371
,370
,373
,383
,380
2026 05 21 13:02:24.072200,382
,376
,383
,378
,383
,365
,363
,373
,380
,380
,380
,380
,373
,370
2026 05 21 13:02:24.133328,376
,377
,365
,364
,363
,353
,359
,374
,373
,350
,351
,384
,379
,369
2026 05 21 13:02:24.199118,361
,369
,363
,352
,362
,368
,357
,361
,346
,341
,340
,351
,361
,351
2026 05 21 13:02:24.260319,333
,355
,348
,354
,346
,351
,353
,340
,343
,343
,343
,343
,344
,338
2026 05 21 13:02:24.325594,331
,334
,340
,346
,332
,325
,344
,348
,340
,326
,346
,338
,332
,325
2026 05 21 13:02:24.387596,329
,320
,327
,324
,331
,313
,310
,325
,324
,314
,326
,331
,315
,320
2026 05 21 13:02:24.448487,323
,329
,333
,337
,353
,345
,342
,339
,347
,362
,352
,366
,357
,349
2026 05 21 13:02:24.514237,352
,367
,368
,360
,362
,356
,362
,363
,363
,372
,377
,378
,378
,375
2026 05 21 13:02:24.576022,374
,368
,357
,360
,353
,360
,377
,374
,370
,383
,383
,371
,364
,361
2026 05 21 13:02:24.640862,371
,371
,365
,365
,370
,360
,371
,366
,358
,348
,357
,363
,354
,357
2026 05 21 13:02:24.702997,356
,362
,358
,356
,361
,354
,352
,366
,368
,360
,353
,357
,352
,353
2026 05 21 13:02:24.763581,347
,359
,351
,341
,351
,351
,352
,348
,344
,350
,354
,348
,347
,348
2026 05 21 13:02:24.829630,358
,355
,377
,377
,365
,363
,357
,342
,348
,359
,354
,344
,337
,334
2026 05 21 13:02:24.890519,343
,346
,343
,339
,339
,343
,339
,347
,348
,347
,347
,339
,339
,363
2026 05 21 13:02:24.956362,352
,339
,335
,343
,339
,320
,312
,322
,320
,317
,318
,325
,321
,319
2026 05 21 13:02:25.018412,324
,318
,317
,319
,322
,320
,312
,326
,333
,324
,304
,319
,342
,327
2026 05 21 13:02:25.079754,326
,338
,327
,323
,320
,327
,335
,323
,325
,319
,314
,318
,331
,332
2026 05 21 13:02:25.145164,314
,316
,323
,329
,331
,330
,322
,296
,326
,347
,331
,327
,332
,319
