timestamp,event,data
2026 05 21 13:23:15.195349,PHASE_PREPARING,
2026 05 21 13:23:20.208702,PHASE_SSVEP,
2026 05 21 13:23:20.275874,SSVEP_UPDATE,"fbcca_quad=1, fbcca_conf=0.2608, fbcca_ratio=1.1175, fbcca_consec=1, fbcca_scores=[0.03799466583597087, 0.13076235376370074, 0.06596392945964995, 0.11700837883787162], fbcca_probs=[0.2376544428892553, 0.26075607346672336, 0.24439529150979294, 0.25719419213422834], cca_quad=1, cca_conf=0.2551, cca_ratio=1.1080, cca_scores=[0.09506743115129385, 0.11828031927053506, 0.0724245329843964, 0.10675132428185391], cca_probs=[0.24919954931957597, 0.25505185221885934, 0.24362035226601111, 0.2521282461955535]"
2026 05 21 13:23:21.297463,SSVEP_UPDATE,"fbcca_quad=3, fbcca_conf=0.2554, fbcca_ratio=1.7181, fbcca_consec=1, fbcca_scores=[0.03488571631345957, 0.029930997128282785, 0.02916134733891703, 0.05993825834314377], fbcca_probs=[0.24908346542700932, 0.24785237916402927, 0.24766169302279897, 0.2554024623861625], cca_quad=3, cca_conf=0.2574, cca_ratio=1.3122, cca_scores=[0.11094293672102143, 0.10836287505535433, 0.09980472746728845, 0.14557419816002407], cca_probs=[0.24865819308002304, 0.24801746652064818, 0.24590395321693093, 0.25742038718239785]"
2026 05 21 13:23:22.313560,SSVEP_UPDATE,"fbcca_quad=2, fbcca_conf=0.2543, fbcca_ratio=1.2356, fbcca_consec=1, fbcca_scores=[0.012570885236015227, 0.03851597761876723, 0.047590484223410445, 0.02380652030147102], fbcca_probs=[0.24550579581716175, 0.25195881649663904, 0.2542556238767243, 0.24827976380947492], cca_quad=1, cca_conf=0.2560, cca_ratio=1.0596, cca_scores=[0.055614707085184685, 0.11126922666381092, 0.1050079358977555, 0.07694902533864731], cca_probs=[0.2421642139301465, 0.2560238452296454, 0.25442581358275057, 0.24738612725745748]"
2026 05 21 13:23:23.327328,SSVEP_UPDATE,"fbcca_quad=0, fbcca_conf=0.2519, fbcca_ratio=1.1191, fbcca_consec=1, fbcca_scores=[0.03541777752228715, 0.023685006808949513, 0.031648961626840166, 0.020049620719384906], fbcca_probs=[0.25193210524889176, 0.24899351622820254, 0.25098440649886994, 0.24808997202403585], cca_quad=0, cca_conf=0.2557, cca_ratio=1.3988, cca_scores=[0.08281457436075913, 0.05920358983179261, 0.04046227312192776, 0.05797696969604205], cca_probs=[0.25571092547658136, 0.2497440577792177, 0.24510711224976098, 0.24943790449444]"
2026 05 21 13:23:24.353465,SSVEP_UPDATE,"fbcca_quad=0, fbcca_conf=0.2606, fbcca_ratio=1.2783, fbcca_consec=2, fbcca_scores=[0.09995583973032837, 0.03228037296095305, 0.0781921748965163, 0.02125499261707508], fbcca_probs=[0.26059639869307666, 0.24354394013334274, 0.2549861373816913, 0.2408735237918893], cca_quad=0, cca_conf=0.2638, cca_ratio=1.5560, cca_scores=[0.1421284709705821, 0.09133935355861292, 0.07467404620485778, 0.042798497953904294], cca_probs=[0.26380398557621265, 0.25074017185588354, 0.24659613654767257, 0.23885970602023116]"
2026 05 21 13:23:25.378217,SSVEP_UPDATE,"fbcca_quad=2, fbcca_conf=0.2637, fbcca_ratio=1.7068, fbcca_consec=1, fbcca_scores=[0.06342273632695304, 0.02137498812029975, 0.1082498317345853, 0.024097405398647867], fbcca_probs=[0.25213629519137487, 0.2417543304331928, 0.26369599107454605, 0.24241338330088627], cca_quad=0, cca_conf=0.2610, cca_ratio=1.5508, cca_scores=[0.1263039308832578, 0.06450356934618283, 0.08144517288766247, 0.05857376428917235], cca_probs=[0.26104782708705765, 0.24540337237516874, 0.24959631632772059, 0.24395248421005314]"
2026 05 21 13:23:26.395338,SSVEP_UPDATE,"fbcca_quad=2, fbcca_conf=0.2710, fbcca_ratio=2.0682, fbcca_consec=2, fbcca_scores=[0.07604721224603418, 0.027310821915563502, 0.15728351952919778, 0.0401420046709756], fbcca_probs=[0.24988810779353615, 0.23800147199781038, 0.2710354315690566, 0.2410749886395969], cca_quad=0, cca_conf=0.2654, cca_ratio=1.2916, cca_scores=[0.17954194053253833, 0.0680985189079952, 0.13900531991414422, 0.08877609036031009], cca_probs=[0.26538943446439534, 0.23740199593707562, 0.2548465732706655, 0.24236199632786345]"
2026 05 21 13:23:27.410716,SSVEP_UPDATE,"fbcca_quad=0, fbcca_conf=0.2791, fbcca_ratio=1.5043, fbcca_consec=1, fbcca_scores=[0.224907721326764, 0.03858206147455889, 0.1495056627890311, 0.03306169365616432], fbcca_probs=[0.279110705138241, 0.23166279299638506, 0.258839049283301, 0.23038745258207305], cca_quad=0, cca_conf=0.2897, cca_ratio=2.4365, cca_scores=[0.30452837566003516, 0.09571877438930201, 0.12498610829207706, 0.08726477959697307], cca_probs=[0.2896938356571279, 0.23510095670973455, 0.24208341547612292, 0.2331217921570146]"
2026 05 21 13:23:28.430633,SSVEP_UPDATE,"fbcca_quad=0, fbcca_conf=0.2792, fbcca_ratio=2.2020, fbcca_consec=2, fbcca_scores=[0.22555836784646421, 0.10187203986880675, 0.10243551378767535, 0.01958955336029324], fbcca_probs=[0.2791993315496079, 0.24671643698663462, 0.24685549443817711, 0.2272287370255804], cca_quad=0, cca_conf=0.2856, cca_ratio=1.7292, cca_scores=[0.2918749066783248, 0.1687898368758485, 0.08720420381297428, 0.07160832723858448], cca_probs=[0.28559931528631227, 0.2525236135122487, 0.23273934354853562, 0.2291377276529034]"
