time,mV

2026 05 21 16:37:09.186548,286
,330
,418
,359
,294
,350
,403
,336
,307
,397
,394
,295
,327
,401
2026 05 21 16:37:09.249957,359
,280
,341
,414
,343
,307
,377
,400
,292
,312
,408
,380
,291
,336
2026 05 21 16:37:09.314565,410
,343
,293
,362
,402
,297
,290
,383
,371
,282
,324
,407
,350
,282
2026 05 21 16:37:09.375590,343
,403
,316
,294
,380
,385
,293
,317
,398
,359
,282
,345
,411
,331
2026 05 21 16:37:09.441239,290
,364
,376
,287
,310
,402
,377
,285
,335
,405
,343
,279
,349
,397
2026 05 21 16:37:09.503371,301
,306
,390
,371
,283
,322
,411
,348
,282
,359
,410
,328
,301
,385
2026 05 21 16:37:09.564334,383
,289
,324
,413
,360
,279
,344
,408
,338
,294
,372
,398
,310
,319
2026 05 21 16:37:09.629367,414
,378
,286
,328
,415
,335
,292
,364
,398
,312
,305
,390
,379
,283
2026 05 21 16:37:09.691092,324
,394
,348
,299
,371
,419
,332
,314
,391
,388
,284
,317
,415
,368
2026 05 21 16:37:09.757043,288
,338
,405
,326
,291
,374
,398
,292
,315
,398
,378
,288
,331
,422
2026 05 21 16:37:09.818603,343
,284
,361
,400
,309
,306
,396
,379
,277
,329
,423
,368
,289
,361
2026 05 21 16:37:09.879884,410
,322
,308
,385
,395
,289
,315
,411
,369
,280
,345
,415
,348
,310
2026 05 21 16:37:09.945380,367
,390
,310
,330
,415
,377
,288
,338
,412
,356
,297
,367
,412
,320
2026 05 21 16:37:10.006767,317
,394
,378
,299
,338
,425
,371
,307
,360
,406
,333
,297
,383
,395
2026 05 21 16:37:10.072434,312
,326
,405
,373
,302
,345
,404
,337
,305
,392
,415
,309
,316
,415
2026 05 21 16:37:10.133902,381
,295
,336
,420
,359
,301
,368
,407
,315
,317
,397
,379
,295
,337
2026 05 21 16:37:10.195083,419
,354
,288
,346
,407
,321
,305
,395
,403
,292
,318
,412
,373
,294
2026 05 21 16:37:10.260905,355
,415
,339
,306
,379
,402
,297
,320
,414
,377
,286
,341
,413
,347
2026 05 21 16:37:10.322316,296
,361
,399
,321
,315
,410
,392
,289
,332
,420
,369
,297
,360
,409
2026 05 21 16:37:10.387739,330
,298
,387
,395
,303
,332
,412
,366
,279
,357
,422
,338
,291
,383
2026 05 21 16:37:10.449346,401
,302
,312
,400
,382
,287
,335
,406
,343
,297
,363
,400
,315
,312
2026 05 21 16:37:10.510208,398
,393
,302
,335
,417
,364
,289
,348
,414
,334
,300
,392
,406
,309
2026 05 21 16:37:10.576268,325
,402
,372
,287
,347
,421
,348
,303
,374
,401
,307
,311
,389
,367
2026 05 21 16:37:10.637572,297
,350
,426
,357
,288
,367
,409
,324
,308
,391
,376
,293
,324
,423
2026 05 21 16:37:10.703162,375
,297
,350
,413
,323
,300
,394
,399
,305
,325
,407
,371
,292
,346
2026 05 21 16:37:10.764465,417
,337
,297
,377
,394
,310
,303
,390
,370
,289
,336
,415
,345
,294
2026 05 21 16:37:10.826236,363
,406
,321
,320
,396
,379
,282
,322
,414
,370
,282
,350
,411
,334
2026 05 21 16:37:10.891646,301
,390
,407
,311
,333
,419
,379
,286
,337
,408
,335
,295
,371
,398
2026 05 21 16:37:10.952859,301
,320
,412
,394
,289
,333
,417
,356
,291
,368
,415
,319
,311
,407
2026 05 21 16:37:11.018169,391
,281
,333
,423
,363
,291
,347
,404
,336
,305
,389
,408
,301
,324
2026 05 21 16:37:11.080135,405
,377
,295
,345
,413
,347
,293
,378
,397
,315
,322
,401
,385
,298
2026 05 21 16:37:11.141368,344
,415
,345
,296
,369
,419
,329
,309
,390
,392
,285
,326
,409
,356
2026 05 21 16:37:11.206468,289
,334
,415
,333
,294
,374
,391
,298
,327
,418
,382
,275
,332
,410
2026 05 21 16:37:11.268129,342
,293
,366
,383
,308
,316
,397
,371
,287
,334
,427
,359
,288
,353
2026 05 21 16:37:11.333315,399
,315
,303
,379
,378
,288
,318
,413
,361
,287
,352
,393
,336
,309
2026 05 21 16:37:11.395505,386
,398
,301
,305
,406
,371
,289
,332
,415
,352
,301
,364
,397
,312
2026 05 21 16:37:11.456969,321
,402
,382
,287
,329
,413
,353
,292
,359
,405
,320
,303
,397
,400
2026 05 21 16:37:11.522139,313
,325
,417
,362
,283
,351
,417
,340
,301
,383
,397
,295
,315
,418
2026 05 21 16:37:11.583911,381
,286
,329
,407
,348
,293
,367
,404
,319
,319
,406
,396
,298
,343
2026 05 21 16:37:11.648869,420
,360
,288
,354
,413
,322
,300
,392
,396
,292
,319
,409
,362
,292
2026 05 21 16:37:11.710848,344
,415
,340
,304
,378
,396
,308
,321
,401
,376
,297
,345
,418
,344
2026 05 21 16:37:11.772398,287
,372
,411
,315
,311
,404
,390
,293
,328
,426
,367
,294
,363
,400
2026 05 21 16:37:11.837770,317
,312
,398
,386
,294
,327
,423
,372
,292
,350
,422
,337
,295
,374
2026 05 21 16:37:11.898835,397
,301
,322
,410
,383
,286
,341
,416
,351
,312
,381
,422
,325
,314
2026 05 21 16:37:11.964399,410
,395
,288
,326
,422
,362
,293
,362
,412
,334
,309
,393
,391
,285
2026 05 21 16:37:12.026247,332
,419
,372
,286
,349
,415
,331
,293
,373
,398
,300
,326
,410
,369
2026 05 21 16:37:12.086830,272
,327
,422
,362
,300
,366
,402
,316
,315
,396
,391
,299
,333
,417
2026 05 21 16:37:12.152492,359
,284
,346
,418
,336
,312
,386
,394
,307
,331
,418
,378
,285
,347
2026 05 21 16:37:12.214386,420
,344
,300
,368
,397
,309
,324
,410
,376
,288
,339
,417
,354
,299
2026 05 21 16:37:12.280047,370
,400
,302
,292
,386
,375
,288
,326
,404
,353
,268
,343
,410
,322
2026 05 21 16:37:12.341110,295
,365
,389
,300
,317
,410
,371
,290
,334
,390
,327
,301
,375
,390
2026 05 21 16:37:12.408943,304
,314
,411
,381
,273
,322
,409
,332
,280
,359
,409
,307
,302
,392
2026 05 21 16:37:12.468523,379
,294
,326
,406
,345
,287
,354
,410
,320
,301
,387
,388
,300
,326
2026 05 21 16:37:12.530089,412
,364
,279
,345
,400
,328
,295
,372
,389
,296
,308
,398
,376
,284
2026 05 21 16:37:12.595365,346
,428
,352
,290
,366
,403
,316
,316
,402
,384
,292
,330
,415
,360
2026 05 21 16:37:12.656707,280
,344
,411
,320
,300
,385
,381
,307
,323
,419
,371
,291
,343
,416
2026 05 21 16:37:12.717918,341
,297
,373
,397
,302
,311
,399
,389
,286
,327
,415
,359
,301
,362
2026 05 21 16:37:12.783938,409
,318
,305
,395
,388
,297
,319
,406
,362
,287
,347
,418
,333
,304
2026 05 21 16:37:12.845455,390
,402
,299
,320
,408
,373
,288
,341
,415
,353
,300
,374
,391
,315
2026 05 21 16:37:12.910125,320
,407
,390
,300
,336
,419
,357
,303
,376
,420
,335
,317
,404
,399
2026 05 21 16:37:12.971706,293
,339
,424
,373
,305
,374
,422
,328
,325
,399
,406
,322
,336
,415
2026 05 21 16:37:13.033890,376
,301
,362
,428
,356
,312
,381
,405
,320
,324
,418
,393
,292
,349
2026 05 21 16:37:13.099128,427
,362
,299
,361
,414
,331
,309
,396
,402
,308
,326
,417
,370
,297
2026 05 21 16:37:13.160625,359
,420
,346
,307
,383
,403
,303
,326
,406
,367
,286
,341
,419
,335
2026 05 21 16:37:13.222101,287
,363
,392
,315
,313
,401
,376
,294
,331
,411
,363
,288
,360
,413
2026 05 21 16:37:13.286488,323
,307
,391
,396
,291
,324
,420
,369
,282
,346
,413
,338
,312
,379
2026 05 21 16:37:13.348672,400
,296
,315
,405
,379
,293
,340
,410
,352
,302
,373
,396
,312
,315
2026 05 21 16:37:13.413972,394
,392
,299
,325
,405
,360
,303
,363
,415
,331
,312
,395
,396
,296
2026 05 21 16:37:13.476845,324
,414
,365
,297
,352
,418
,339
,293
,382
,406
,313
,327
,417
,378
2026 05 21 16:37:13.536861,287
,340
,415
,358
,295
,371
,404
,307
,314
,406
,386
,283
,336
,416
2026 05 21 16:37:13.603310,359
,286
,352
,403
,331
,311
,393
,386
,295
,324
,410
,368
,284
,352
2026 05 21 16:37:13.665197,405
,343
,303
,375
,387
,301
,319
,407
,372
,281
,333
,417
,357
,299
2026 05 21 16:37:13.730014,364
,408
,311
,298
