timestamp,event,data
2026 05 21 16:51:07.353445,PHASE_PREPARING,
2026 05 21 16:51:12.363491,PHASE_SSVEP,
2026 05 21 16:51:12.431390,SSVEP_UPDATE,"fbcca_quad=2, fbcca_conf=0.2539, fbcca_ratio=1.1947, fbcca_consec=1, fbcca_scores=[0.06125322270151569, 0.03678982085494479, 0.07317762539618414, 0.05870236499780303], fbcca_probs=[0.25092329882855996, 0.24485933632826784, 0.2539333199748967, 0.2502840448682755], cca_quad=0, cca_conf=0.2532, cca_ratio=1.3057, cca_scores=[0.05511969631246184, 0.03128153092916971, 0.042215643786016124, 0.04005316845941072], cca_probs=[0.253249894382716, 0.24728426880033705, 0.25000293894039843, 0.24946289787654843]"
2026 05 21 16:51:13.445171,SSVEP_UPDATE,"fbcca_quad=2, fbcca_conf=0.2548, fbcca_ratio=1.3086, fbcca_consec=2, fbcca_scores=[0.06644678551404207, 0.06500881612384134, 0.08695551521900063, 0.05255750289440143], fbcca_probs=[0.24965732838819488, 0.24929858678347247, 0.2548303477665608, 0.24621373706177185], cca_quad=0, cca_conf=0.2527, cca_ratio=1.3069, cca_scores=[0.05206402280881447, 0.039838848208907554, 0.037829655275942294, 0.03516999415844801], cca_probs=[0.2527190301659776, 0.24964830422237363, 0.2491472161736548, 0.24848544943799386]"
2026 05 21 16:51:14.465730,SSVEP_UPDATE,"fbcca_quad=0, fbcca_conf=0.2534, fbcca_ratio=1.1827, fbcca_consec=1, fbcca_scores=[0.0635611359180417, 0.03576509949109625, 0.05374353046544092, 0.04688007186889021], fbcca_probs=[0.2534035618606412, 0.24645693877102728, 0.25092791800195613, 0.24921158136637542], cca_quad=0, cca_conf=0.2528, cca_ratio=1.1124, cca_scores=[0.05246902813601513, 0.0273883840667874, 0.04716802680293024, 0.03814148685467217], cca_probs=[0.25279854972289545, 0.24653704873860735, 0.2514620099032929, 0.24920239163520433]"
2026 05 21 16:51:15.483024,SSVEP_UPDATE,"fbcca_quad=2, fbcca_conf=0.2584, fbcca_ratio=1.0107, fbcca_consec=1, fbcca_scores=[0.07843426177937292, 0.02066495164248681, 0.07927203033951644, 0.0035791751809865643], fbcca_probs=[0.2582255341671416, 0.24373073146783178, 0.25844195804499515, 0.23960177632003157], cca_quad=0, cca_conf=0.2639, cca_ratio=1.2622, cca_scores=[0.13744747175407687, 0.059236121296014334, 0.10889648209415408, 0.024358889239973577], cca_probs=[0.2638736004869214, 0.24402211391831236, 0.2564462812357925, 0.23565800435897372]"
2026 05 21 16:51:16.510485,SSVEP_UPDATE,"fbcca_quad=0, fbcca_conf=0.2706, fbcca_ratio=2.0956, fbcca_consec=1, fbcca_scores=[0.13874688327439483, 0.021666662344427826, 0.06620842120868575, 0.006008306711714768], fbcca_probs=[0.2706185785501402, 0.24071896899899864, 0.2516833898701365, 0.23697906258072468], cca_quad=0, cca_conf=0.2737, cca_ratio=1.8888, cca_scores=[0.18442537775753676, 0.05997824580901756, 0.09764237086585191, 0.027023696147112395], cca_probs=[0.27365607783658363, 0.24163419596880856, 0.2509086981852045, 0.23380102800940328]"
2026 05 21 16:51:17.520133,SSVEP_UPDATE,"fbcca_quad=0, fbcca_conf=0.2704, fbcca_ratio=2.5539, fbcca_consec=2, fbcca_scores=[0.15590305518533448, 0.056070087228111354, 0.06104608180499557, 0.03209766856274396], fbcca_probs=[0.27041327131595866, 0.24472091904157672, 0.24594168374796047, 0.23892412589450418], cca_quad=0, cca_conf=0.2755, cca_ratio=2.1587, cca_scores=[0.21223585345204532, 0.08787518584956144, 0.09831464589296239, 0.054358607230409105], cca_probs=[0.27553187495919945, 0.24331153344513826, 0.2458648790623246, 0.23529171253333767]"
2026 05 21 16:51:18.532372,SSVEP_UPDATE,"fbcca_quad=0, fbcca_conf=0.2568, fbcca_ratio=1.1921, fbcca_consec=3, fbcca_scores=[0.0890066332424089, 0.04466491451883793, 0.07466359746318901, 0.040163176836219984], fbcca_probs=[0.2567580952255026, 0.245621727453634, 0.253101689342863, 0.24451848797800055], cca_quad=0, cca_conf=0.2656, cca_ratio=1.9208, cca_scores=[0.14988271355485921, 0.07803251330044765, 0.061199558205720615, 0.06579789828888497], cca_probs=[0.26559302911620497, 0.24717954396430286, 0.24305360509498555, 0.24417382182450653]"
2026 05 21 16:51:19.548624,SSVEP_UPDATE,"fbcca_quad=1, fbcca_conf=0.2586, fbcca_ratio=1.5410, fbcca_consec=1, fbcca_scores=[0.03831847459140967, 0.0861241159853274, 0.027419954338234933, 0.05588709676349392], fbcca_probs=[0.24655736442937362, 0.25863047966868713, 0.24388484371309344, 0.2509273121888458], cca_quad=1, cca_conf=0.2577, cca_ratio=1.1134, cca_scores=[0.1126148735492496, 0.12538029735731265, 0.053139276487870014, 0.08697209857848451], cca_probs=[0.25446658934912597, 0.2577357851476187, 0.23977331369857882, 0.24802431180467643]"
