timestamp,event,data
2026 05 22 15:21:01.261761,PHASE_PREPARING,
2026 05 22 15:21:06.267951,PHASE_SSVEP,
2026 05 22 15:21:06.317183,SSVEP_UPDATE,"fbcca_quad=3, fbcca_conf=0.2538, fbcca_ratio=1.0739, fbcca_consec=1, fbcca_scores=[0.08020012918632119, 0.08305811076823749, 0.10086134970287965, 0.10831967623415116], fbcca_probs=[0.24677606540570748, 0.247482355657008, 0.2519277973808891, 0.2538137815563954], cca_quad=3, cca_conf=0.2552, cca_ratio=1.1484, cca_scores=[0.15476317909318812, 0.1406277096360613, 0.15494614639780704, 0.17793296563874697], cca_probs=[0.24940223008850967, 0.24590161220955614, 0.24944786671719307, 0.25524829098474117]"
2026 05 22 15:21:07.344923,SSVEP_UPDATE,"fbcca_quad=1, fbcca_conf=0.2531, fbcca_ratio=1.0408, fbcca_consec=1, fbcca_scores=[0.06285016159606, 0.08741929528443239, 0.0654761751952453, 0.08399196217160239], fbcca_probs=[0.24698250493422963, 0.2531258099307185, 0.2476319366860499, 0.2522597484490019], cca_quad=3, cca_conf=0.2551, cca_ratio=1.0470, cca_scores=[0.11323488301917764, 0.140118525621717, 0.10494878425347393, 0.14671069681781154], cca_probs=[0.24672845239179744, 0.2534513753547668, 0.24469248283840106, 0.2551276894150346]"
2026 05 22 15:21:08.360780,SSVEP_UPDATE,"fbcca_quad=0, fbcca_conf=0.2621, fbcca_ratio=1.7666, fbcca_consec=1, fbcca_scores=[0.13018464773794958, 0.06358544565048005, 0.07369033489961098, 0.06271156623473553], fbcca_probs=[0.2620960716519821, 0.24520924816050038, 0.2476996217399134, 0.24499505844760408], cca_quad=0, cca_conf=0.2647, cca_ratio=1.5708, cca_scores=[0.2030949231069284, 0.12102121194518976, 0.12929134126594954, 0.12823701153624323], cca_probs=[0.2646949721555466, 0.2438380812041309, 0.24586301536141394, 0.24560393127890856]"
2026 05 22 15:21:09.374159,SSVEP_UPDATE,"fbcca_quad=0, fbcca_conf=0.2938, fbcca_ratio=3.9311, fbcca_consec=2, fbcca_scores=[0.26350999484521714, 0.06703170586990659, 0.03706238057085861, 0.0208218242117996], fbcca_probs=[0.2938155017449963, 0.24140444846991796, 0.23427705506475804, 0.23050299472032776], cca_quad=0, cca_conf=0.2899, cca_ratio=1.9012, cca_scores=[0.3119197617986884, 0.16406426992889786, 0.10095001286356045, 0.0604857631704887], cca_probs=[0.2898517874589157, 0.25001332657414976, 0.2347215611931891, 0.22541332477374537]"
2026 05 22 15:21:10.401487,SSVEP_UPDATE,"fbcca_quad=0, fbcca_conf=0.3360, fbcca_ratio=9.1638, fbcca_consec=3, fbcca_scores=[0.4602498506673072, 0.04599635538751047, 0.050224965134467406, 0.03161041000940644], fbcca_probs=[0.33603709900619727, 0.22206454265483994, 0.22300555512942719, 0.21889280320953558], cca_quad=0, cca_conf=0.3108, cca_ratio=2.9735, cca_scores=[0.4108072678660822, 0.1095209767236476, 0.13815387645712163, 0.07705273638328909], cca_probs=[0.3108049347204319, 0.22995398063404543, 0.23663339913163617, 0.22260768551388654]"
2026 05 22 15:21:11.424878,SSVEP_UPDATE,"fbcca_quad=0, fbcca_conf=0.3072, fbcca_ratio=3.5106, fbcca_consec=4, fbcca_scores=[0.359675874083549, 0.10245521696494224, 0.03534526836912498, 0.08422865095909964], fbcca_probs=[0.30717802027137314, 0.23750930294431127, 0.22209314021499815, 0.23321953656931735], cca_quad=0, cca_conf=0.2995, cca_ratio=2.3813, cca_scores=[0.3654118676391899, 0.15344921506560769, 0.07868042799549448, 0.1161539001693863], cca_probs=[0.29948305174483175, 0.2422802647564429, 0.2248259141430024, 0.23341076935572294]"
2026 05 22 15:21:11.424878,SSVEP_CONFIRMED,"fbcca_quad=0, fbcca_conf=0.3072, fbcca_ratio=3.5106, fbcca_consec=4, fbcca_scores=[0.359675874083549, 0.10245521696494224, 0.03534526836912498, 0.08422865095909964], fbcca_probs=[0.30717802027137314, 0.23750930294431127, 0.22209314021499815, 0.23321953656931735], cca_quad=0, cca_conf=0.2995, cca_ratio=2.3813, cca_scores=[0.3654118676391899, 0.15344921506560769, 0.07868042799549448, 0.1161539001693863], cca_probs=[0.29948305174483175, 0.2422802647564429, 0.2248259141430024, 0.23341076935572294]"
2026 05 22 15:21:11.424878,SELECTION,"quad=0, result=navigate, output=''"
