time,mV

2026 05 22 15:53:35.248727,349
,353
,347
,358
,362
,365
,358
,365
,366
,350
,350
,359
,357
,348
2026 05 22 15:53:35.314796,361
,372
,362
,347
,365
,374
,350
,357
,365
,353
,336
,343
,359
,361
2026 05 22 15:53:35.376256,356
,359
,369
,358
,349
,366
,367
,345
,344
,348
,343
,334
,351
,356
2026 05 22 15:53:35.441425,347
,351
,357
,358
,351
,351
,350
,351
,352
,374
,373
,367
,360
,363
2026 05 22 15:53:35.502959,363
,357
,359
,368
,360
,350
,344
,355
,346
,335
,359
,365
,353
,355
2026 05 22 15:53:35.563728,356
,364
,361
,359
,365
,357
,353
,367
,378
,364
,358
,356
,364
,353
2026 05 22 15:53:35.629623,349
,366
,365
,361
,368
,368
,354
,367
,366
,359
,353
,360
,365
,362
2026 05 22 15:53:35.691433,351
,374
,376
,358
,359
,376
,376
,364
,363
,365
,363
,353
,363
,367
2026 05 22 15:53:35.756453,368
,368
,372
,375
,360
,360
,375
,374
,368
,376
,383
,372
,374
,370
2026 05 22 15:53:35.817981,380
,370
,370
,379
,371
,360
,361
,361
,357
,361
,371
,380
,365
,370
2026 05 22 15:53:35.879785,381
,376
,365
,357
,377
,384
,364
,376
,395
,375
,362
,372
,374
,365
2026 05 22 15:53:35.944885,365
,391
,385
,364
,371
,383
,371
,361
,357
,360
,343
,350
,366
,374
2026 05 22 15:53:36.006808,359
,366
,383
,375
,351
,355
,363
,361
,363
,370
,373
,362
,363
,371
2026 05 22 15:53:36.071287,367
,354
,372
,367
,361
,350
,366
,370
,352
,354
,365
,364
,361
,366
2026 05 22 15:53:36.133326,371
,361
,361
,381
,379
,361
,355
,367
,370
,352
,360
,366
,365
,361
2026 05 22 15:53:36.194988,375
,365
,364
,362
,367
,368
,355
,360
,364
,366
,354
,366
,368
,367
2026 05 22 15:53:36.260607,362
,372
,362
,359
,357
,360
,350
,346
,349
,357
,354
,350
,358
,372
2026 05 22 15:53:36.321450,361
,362
,367
,364
,359
,360
,368
,357
,348
,360
,367
,361
,362
,363
2026 05 22 15:53:36.387558,364
,366
,363
,369
,369
,364
,367
,372
,348
,350
,360
,359
,352
,347
2026 05 22 15:53:36.449189,354
,361
,348
,360
,371
,357
,363
,362
,356
,336
,336
,357
,368
,359
2026 05 22 15:53:36.509729,353
,360
,361
,351
,353
,359
,341
,341
,340
,340
,327
,344
,353
,348
2026 05 22 15:53:36.576005,348
,350
,353
,343
,354
,351
,361
,352
,359
,366
,356
,346
,359
,355
2026 05 22 15:53:36.636898,344
,337
,348
,358
,339
,344
,354
,363
,349
,342
,340
,340
,341
,350
2026 05 22 15:53:36.702022,361
,347
,347
,342
,352
,347
,349
,355
,352
,340
,351
,355
,344
,343
2026 05 22 15:53:36.764552,341
,359
,350
,340
,350
,346
,347
,354
,353
,344
,342
,341
,362
,344
2026 05 22 15:53:36.825479,343
,349
,349
,352
,361
,356
,352
,342
,342
,349
,339
,343
,338
,350
2026 05 22 15:53:36.891369,345
,338
,341
,347
,332
,341
,346
,337
,336
,346
,356
,339
,340
,347
2026 05 22 15:53:36.952641,342
,343
,343
,347
,349
,342
,339
,344
,337
,346
,343
,345
,337
,338
2026 05 22 15:53:37.018665,340
,345
,339
,343
,349
,332
,332
,342
,332
,328
,339
,344
,336
,330
2026 05 22 15:53:37.079280,326
,332
,339
,340
,351
,351
,337
,333
,348
,349
,334
,337
,334
,331
2026 05 22 15:53:37.140917,320
,326
,344
,332
,341
,348
,343
,327
,333
,341
,340
,328
,343
,342
2026 05 22 15:53:37.206800,340
,342
,352
,347
,343
,337
,351
,343
,344
,347
,355
,347
,344
,351
2026 05 22 15:53:37.268379,352
,338
,340
,343
,340
,335
,334
,338
,329
,333
,346
,347
,343
,338
2026 05 22 15:53:37.329714,346
,341
,333
,338
,349
,347
,336
,331
,329
,327
,336
,344
,343
,341
2026 05 22 15:53:37.395238,332
,341
,331
,336
,344
,349
,330
,332
,340
,348
,335
,342
,345
,338
2026 05 22 15:53:37.456754,329
,333
,351
,332
,330
,338
,348
,331
,333
,348
,345
,335
,332
,344
2026 05 22 15:53:37.521377,333
,335
,338
,340
,341
,332
,350
,343
,332
,335
,348
,352
,334
,333
2026 05 22 15:53:37.583644,346
,337
,337
,346
,353
,345
,342
,344
,344
,345
,342
,343
,340
,331
2026 05 22 15:53:37.644167,344
,352
,337
,349
,342
,334
,330
,339
,336
,331
,331
,342
,344
,337
2026 05 22 15:53:37.709649,335
,346
,341
,328
,333
,333
,331
,331
,334
,331
,333
,337
,343
,351
2026 05 22 15:53:37.771573,333
,326
,336
,336
,341
,340
,337
,329
,337
,340
,342
,333
,338
,342
2026 05 22 15:53:37.837497,338
,329
,339
,349
,337
,334
,335
,343
,334
,332
,344
,352
,340
,353
2026 05 22 15:53:37.899497,348
,346
,338
,344
,345
,338
,344
,349
,345
,331
,346
,346
,351
,342
2026 05 22 15:53:37.960395,341
,347
,348
,350
,349
,353
,335
,326
,354
,347
,344
,343
,351
,343
2026 05 22 15:53:38.026406,332
,341
,350
,344
,346
,359
,348
,330
,337
,351
,336
,334
,351
,359
2026 05 22 15:53:38.087318,352
,344
,350
,337
,336
,339
,351
,337
,341
,350
,354
,347
,336
,343
2026 05 22 15:53:38.152121,351
,344
,342
,347
,341
,340
,339
,340
,335
,336
,350
,368
,341
,337
2026 05 22 15:53:38.214079,348
,349
,336
,324
,340
,335
,338
,341
,352
,343
,329
,344
,347
,336
2026 05 22 15:53:38.275020,333
,348
,354
,341
,344
,345
,335
,332
,336
,326
,317
,320
,337
,330
2026 05 22 15:53:38.341202,313
,324
,349
,341
,333
,335
,336
,332
,331
,332
,348
,342
,340
,352
2026 05 22 15:53:38.402413,343
,351
,352
,350
,336
,335
,341
,337
,341
,341
,344
,335
,329
,338
2026 05 22 15:53:38.467594,347
,341
,335
,352
,352
,343
,345
,344
,343
,341
,347
,353
,347
,341
2026 05 22 15:53:38.529457,345
,356
,335
,336
,344
,340
,335
,344
,358
,349
,332
,344
,351
,333
2026 05 22 15:53:38.591039,337
,346
,348
,338
,341
,346
,338
,335
,346
,347
,337
,336
,347
,353
2026 05 22 15:53:38.656241,342
,340
,343
,340
,340
,351
,343
,346
,339
,339
,352
,340
,343
,358
2026 05 22 15:53:38.717392,344
,350
,347
,355
,340
,343
,348
,353
,347
,344
,351
,346
,346
,344
2026 05 22 15:53:38.782988,348
,348
,345
,351
,357
,339
,343
,356
,349
,351
,340
,347
,347
,347
2026 05 22 15:53:38.844408,345
,357
,349
,346
,346
,359
,346
,345
,355
,349
,344
,346
,356
,344
2026 05 22 15:53:38.906361,341
,352
,356
,345
,328
,344
,342
,333
,341
,348
,350
,336
,330
,339
2026 05 22 15:53:38.971937,336
,342
,344
,347
,342
,349
,357
,352
,356
,366
,360
,349
,348
,347
2026 05 22 15:53:39.033555,341
,332
,342
,350
,350
,355
,359
,359
,338
,352
,354
,356
,347
,342
2026 05 22 15:53:39.098901,350
,353
,345
,351
,355
,351
,350
,360
,355
,338
,335
,352
,360
,351
2026 05 22 15:53:39.159593,343
,346
,353
,343
,347
,345
,338
,339
,357
,352
,342
,342
,351
,352
2026 05 22 15:53:39.221334,333
,343
,353
,350
,352
,353
,353
,348
,342
,365
,346
,338
,343
,346
2026 05 22 15:53:39.287335,347
,344
,343
,356
,344
,338
,352
,357
,353
,344
,356
,352
,343
,354
2026 05 22 15:53:39.348847,355
,342
,347
,353
,360
,361
,348
,361
,358
,346
,351
,366
,354
,349
2026 05 22 15:53:39.413615,360
,357
,343
,336
,348
,355
,362
,347
,356
,351
,338
,349
,355
,352
2026 05 22 15:53:39.474976,351
,360
,355
,338
,340
,352
,354
,343
,350
,354
,342
,334
,343
,344
2026 05 22 15:53:39.537343,347
,348
,361
,353
,340
,345
,346
,336
,332
,347
,349
,337
,334
,346
2026 05 22 15:53:39.602732,347
,348
,341
,349
,354
,349
,355
,351
,329
,343
,349
,344
,345
,339
2026 05 22 15:53:39.664695,335
,338
,334
,343
,352
,345
,342
,349
,351
,344
,352
,349
,344
,342
2026 05 22 15:53:39.729610,349
,350
,358
,354
,362
,360
,348
,348
,362
,351
,346
,351
,348
,358
2026 05 22 15:53:39.790646,356
,360
,361
,350
,345
,346
,354
,342
,343
,352
,336
,347
,352
,355
2026 05 22 15:53:39.852895,348
,351
,353
,362
,349
,334
,344
,341
,334
,341
,354
,350
,346
,353
2026 05 22 15:53:39.918293,360
,360
,344
,356
,345
,336
,349
,344
,345
,331
,345
,358
,354
,343
2026 05 22 15:53:39.979647,343
,350
,346
,348
,354
,344
,338
,349
,351
,338
,337
,350
,342
,329
2026 05 22 15:53:40.045228,338
,348
,356
,342
,350
,359
,334
,343
,353
,355
,345
,336
,331
,348
2026 05 22 15:53:40.105863,333
,343
,345
,342
,354
,351
,349
,331
,338
,346
,342
,346
,346
,341
2026 05 22 15:53:40.167983,342
,340
,350
,357
,345
,338
,343
,349
,334
,352
,358
,346
,334
,326
2026 05 22 15:53:40.233614,324
,309
,319
,320
,334
,325
,340
,347
,341
,344
,346
,351
,345
,336
2026 05 22 15:53:40.294238,347
,352
,339
,338
,344
,337
,328
,331
,342
,340
,336
,349
,357
,328
2026 05 22 15:53:40.360193,331
,351
,360
,359
,355
,363
,357
,350
,364
,368
,362
,351
,365
,360
2026 05 22 15:53:40.422047,345
,354
,363
,353
,362
,363
,359
,353
,346
,358
,356
,352
,351
,352
2026 05 22 15:53:40.483529,351
,352
,349
,355
,352
,353
,356
,354
,345
,344
,346
,352
,343
,347
2026 05 22 15:53:40.549017,362
,362
,359
,360
,363
,355
,360
,357
,367
,346
,347
,345
,351
,347
2026 05 22 15:53:40.610026,361
,371
,361
,356
,351
,362
,357
,354
,352
,357
,359
,362
,362
,348
2026 05 22 15:53:40.676643,337
,360
,360
,354
,352
,350
,362
,350
,344
,346
,348
,347
,361
,373
2026 05 22 15:53:40.737139,365
,350
,360
,366
,340
,357
,360
,365
,352
,351
,358
,347
,358
,366
2026 05 22 15:53:40.798974,373
,357
,347
,362
,369
,364
,356
,368
,362
,354
,366
,362
,352
,350
2026 05 22 15:53:40.864561,366
,359
,351
,350
,364
,360
,351
,352
,368
,350
,341
,358
,371
,360
2026 05 22 15:53:40.926064,355
,357
,342
,346
,348
,347
,335
,335
,343
,348
,339
,353
,361
,349
2026 05 22 15:53:40.991489,344
,341
,353
,350
,355
,364
,361
,360
,363
,362
,367
,355
,355
,359
2026 05 22 15:53:41.052544,364
,354
,341
,351
,352
,349
,370
,367
,349
,349
,360
,360
,352
,363
2026 05 22 15:53:41.113884,368
,342
,340
,351
,354
,349
,366
,364
,366
,357
,352
,349
,351
,359
2026 05 22 15:53:41.179453,352
,367
,359
,359
,356
,361
,350
,347
,362
,358
,348
,355
,363
,354
2026 05 22 15:53:41.240955,356
,364
,365
,355
,356
,353
,355
,356
,346
,353
,351
,346
,358
,355
2026 05 22 15:53:41.304821,349
,348
,358
,360
,352
,350
,362
,345
,352
,356
,363
,351
,345
,353
2026 05 22 15:53:41.370315,351
,347
,353
,352
,346
,343
,359
,365
,361
,354
,371
,362
,360
,358
2026 05 22 15:53:41.429849,349
,333
,336
,358
,363
,349
,347
,356
,368
,364
,360
,351
,355
,346
2026 05 22 15:53:41.495121,340
,368
,349
,355
,365
,360
,349
,347
,355
,348
,330
,345
,355
,364
2026 05 22 15:53:41.556200,353
,355
,365
,355
,353
,368
,354
,337
,331
,345
,331
,331
,362
,369
2026 05 22 15:53:41.618014,352
,361
,368
,364
,356
,360
,367
,361
,359
,363
,363
,348
,332
,333
