timestamp,event,data
2026 05 24 14:06:16.320666,PHASE_PREPARING,
2026 05 24 14:06:21.335536,PHASE_SSVEP,
2026 05 24 14:06:21.385313,SSVEP_UPDATE,"fbcca_quad=0, fbcca_conf=0.2534, fbcca_ratio=1.1686, fbcca_consec=1, fbcca_scores=[0.04001006363398515, 0.0258958469920048, 0.034236148219665405, 0.006147356048886874], fbcca_probs=[0.2533613539358951, 0.24981047478423254, 0.251902682085396, 0.24492548919447646], cca_quad=0, cca_conf=0.2603, cca_ratio=1.4133, cca_scores=[0.12474617510211203, 0.0860418910983161, 0.08826532040124298, 0.0364863570016585], cca_probs=[0.26029907887486103, 0.2504168650226085, 0.2509742686624066, 0.23830978744012382]"
2026 05 24 14:06:22.404712,SSVEP_UPDATE,"fbcca_quad=2, fbcca_conf=0.2522, fbcca_ratio=1.0175, fbcca_consec=1, fbcca_scores=[0.052484093057777556, 0.049083701383560586, 0.05340247706641623, 0.02376886314589591], fbcca_probs=[0.2519388379572454, 0.2510836021227162, 0.2521703208359975, 0.24480723908404084], cca_quad=1, cca_conf=0.2583, cca_ratio=1.0221, cca_scores=[0.145805211196334, 0.14903337146116163, 0.08370213314098017, 0.08558578533474553], cca_probs=[0.2574282666804066, 0.2582606291588485, 0.24192748372935313, 0.2423836204313918]"
2026 05 24 14:06:23.416432,SSVEP_UPDATE,"fbcca_quad=1, fbcca_conf=0.2601, fbcca_ratio=1.1958, fbcca_consec=1, fbcca_scores=[0.010673388989701223, 0.0941136357417333, 0.07870179304060793, 0.03245589356833264], fbcca_probs=[0.23926665074248546, 0.2600876969858247, 0.2561099968887404, 0.2445356553829495], cca_quad=1, cca_conf=0.2670, cca_ratio=1.0696, cca_scores=[0.060902428798847164, 0.1902248373424212, 0.1778511919938774, 0.06122654823652756], cca_probs=[0.23460724332794722, 0.2669964118409507, 0.2637130484108946, 0.23468329642020735]"
2026 05 24 14:06:24.434292,SSVEP_UPDATE,"fbcca_quad=1, fbcca_conf=0.2582, fbcca_ratio=1.1138, fbcca_consec=2, fbcca_scores=[0.037587099229851574, 0.10185859713466582, 0.09145456790929485, 0.045856370266402234], fbcca_probs=[0.24212898227452728, 0.2582019592983856, 0.25552954461402494, 0.2441395138130622], cca_quad=2, cca_conf=0.2632, cca_ratio=1.1227, cca_scores=[0.1291548251559522, 0.1742848924715185, 0.19566702458906832, 0.07394813578056107], cca_probs=[0.2462309753948254, 0.257597963132182, 0.2631652650956111, 0.23300579637738147]"
2026 05 24 14:06:25.458708,SSVEP_UPDATE,"fbcca_quad=1, fbcca_conf=0.2702, fbcca_ratio=1.7877, fbcca_consec=3, fbcca_scores=[0.04508524479040589, 0.18925442313878366, 0.10586391000952096, 0.10026480315904562], fbcca_probs=[0.23394693928462457, 0.2702273151618091, 0.24860691629573833, 0.24721882925782804], cca_quad=1, cca_conf=0.2653, cca_ratio=1.2367, cca_scores=[0.14938040950547973, 0.23677235490344173, 0.19145364117665184, 0.12826836972342887], cca_probs=[0.24310762833160995, 0.26530927093301576, 0.25355417084501886, 0.2380289298903554]"
2026 05 24 14:06:26.474529,SSVEP_UPDATE,"fbcca_quad=1, fbcca_conf=0.2583, fbcca_ratio=1.3034, fbcca_consec=4, fbcca_scores=[0.0874773380111109, 0.1334840897099274, 0.10240925457669507, 0.07879410875999532], fbcca_probs=[0.24670161201678883, 0.25831668915520273, 0.2504129798639196, 0.2445687189640889], cca_quad=0, cca_conf=0.2590, cca_ratio=1.0813, cca_scores=[0.22505067974425289, 0.20018805384518568, 0.2081375186428386, 0.12276323265905291], cca_probs=[0.25897054662260016, 0.25261124090303644, 0.2546273680186043, 0.23379084445575893]"
2026 05 24 14:06:27.489501,SSVEP_UPDATE,"fbcca_quad=3, fbcca_conf=0.2544, fbcca_ratio=1.0055, fbcca_consec=1, fbcca_scores=[0.11401869284041795, 0.11223992281341882, 0.04581887756998414, 0.11464702107980707], fbcca_probs=[0.25426367449214365, 0.2538117998986389, 0.237501039868437, 0.2544234857407804], cca_quad=0, cca_conf=0.2731, cca_ratio=1.6979, cca_scores=[0.23990894614961455, 0.14129969860255673, 0.0791853542238331, 0.13861515726887025], cca_probs=[0.2731276570839088, 0.24748006831596217, 0.23257568578928534, 0.2468165888108437]"
2026 05 24 14:06:28.507805,SSVEP_UPDATE,"fbcca_quad=0, fbcca_conf=0.2633, fbcca_ratio=2.2388, fbcca_consec=1, fbcca_scores=[0.11082674641770865, 0.049502785486925, 0.038463577547230385, 0.03513705856181019], fbcca_probs=[0.2633092719306273, 0.2476472412532755, 0.24492844614390763, 0.2441150406721896], cca_quad=0, cca_conf=0.2738, cca_ratio=1.7465, cca_scores=[0.23268839672197866, 0.13322832177059962, 0.09334975380053198, 0.10197511766627439], cca_probs=[0.2737679290892408, 0.24784924999662644, 0.2381598603780264, 0.24022296053610628]"
