time,mV

2026 05 24 14:52:00.869308,209
,209
,192
,202
,211
,210
,212
,208
,207
,205
,205
,211
,217
,212
2026 05 24 14:52:00.934083,220
,226
,220
,223
,222
,220
,232
,235
,238
,238
,237
,236
,236
,247
2026 05 24 14:52:00.995963,252
,259
,251
,257
,260
,258
,254
,257
,257
,263
,256
,255
,260
,264
2026 05 24 14:52:01.057302,260
,260
,274
,273
,269
,275
,272
,268
,273
,271
,269
,265
,271
,279
2026 05 24 14:52:01.122653,276
,266
,268
,279
,279
,267
,279
,279
,286
,293
,292
,284
,287
,298
2026 05 24 14:52:01.184471,301
,301
,300
,301
,300
,293
,299
,302
,301
,302
,301
,304
,312
,321
2026 05 24 14:52:01.250237,318
,315
,309
,318
,314
,321
,310
,324
,318
,322
,318
,318
,326
,320
2026 05 24 14:52:01.311760,329
,342
,344
,339
,331
,337
,339
,338
,337
,343
,344
,340
,340
,343
2026 05 24 14:52:01.372682,339
,344
,352
,347
,351
,351
,356
,353
,346
,353
,359
,351
,358
,358
2026 05 24 14:52:01.438237,351
,345
,351
,354
,357
,360
,359
,356
,363
,374
,370
,368
,370
,368
2026 05 24 14:52:01.500060,366
,366
,374
,372
,372
,371
,377
,380
,381
,371
,372
,375
,376
,378
2026 05 24 14:52:01.565630,376
,376
,373
,368
,369
,378
,378
,373
,379
,373
,366
,366
,390
,388
2026 05 24 14:52:01.627152,378
,377
,375
,378
,377
,375
,373
,372
,373
,372
,374
,374
,377
,377
2026 05 24 14:52:01.687963,377
,371
,374
,385
,383
,380
,384
,382
,379
,380
,374
,371
,379
,381
2026 05 24 14:52:01.754073,381
,382
,386
,376
,376
,368
,377
,382
,380
,374
,377
,388
,383
,381
2026 05 24 14:52:01.815546,380
,384
,379
,375
,381
,380
,381
,381
,383
,382
,383
,376
,382
,385
2026 05 24 14:52:01.880374,378
,385
,384
,374
,387
,386
,381
,375
,372
,374
,374
,373
,384
,378
2026 05 24 14:52:01.942020,377
,385
,380
,371
,378
,378
,375
,369
,378
,385
,382
,377
,379
,379
2026 05 24 14:52:02.003333,374
,370
,381
,389
,384
,383
,377
,381
,379
,374
,385
,386
,384
,390
2026 05 24 14:52:02.069426,382
,368
,388
,391
,390
,384
,384
,389
,390
,385
,378
,383
,380
,377
2026 05 24 14:52:02.129916,377
,377
,377
,381
,376
,374
,369
,368
,376
,382
,380
,382
,381
,375
2026 05 24 14:52:02.195981,374
,369
,376
,374
,373
,372
,376
,372
,374
,371
,372
,371
,369
,371
2026 05 24 14:52:02.257946,369
,376
,373
,375
,378
,382
,384
,383
,379
,376
,375
,379
,377
,371
2026 05 24 14:52:02.318505,367
,374
,374
,368
,369
,370
,371
,379
,373
,378
,372
,382
,379
,374
2026 05 24 14:52:02.384815,372
,374
,371
,363
,377
,373
,370
,369
,364
,364
,377
,380
,376
,373
2026 05 24 14:52:02.446244,369
,372
,372
,364
,367
,370
,366
,376
,371
,369
,361
,362
,359
,374
2026 05 24 14:52:02.511841,373
,362
,372
,377
,378
,373
,371
,376
,374
,375
,372
,372
,366
,366
2026 05 24 14:52:02.573225,370
,371
,352
,378
,381
,362
,385
,377
,361
,373
,372
,376
,371
,375
2026 05 24 14:52:02.634461,379
,376
,372
,361
,352
,353
,350
,363
,362
,362
,367
,367
,365
,363
2026 05 24 14:52:02.700179,360
,363
,358
,362
,357
,359
,355
,351
,346
,342
