time,mV

2026 05 24 15:19:06.083035,352
,375
,346
,318
,357
,367
,341
,332
,367
,369
,322
,344
,382
,340
2026 05 24 15:19:06.148422,318
,354
,380
,341
,325
,371
,369
,324
,340
,384
,360
,321
,348
,383
2026 05 24 15:19:06.209665,350
,322
,367
,386
,331
,338
,373
,361
,324
,352
,372
,351
,323
,359
2026 05 24 15:19:06.275415,362
,337
,335
,367
,356
,325
,348
,380
,350
,325
,357
,377
,334
,330
2026 05 24 15:19:06.337333,370
,372
,326
,340
,379
,360
,320
,347
,382
,343
,324
,362
,377
,338
2026 05 24 15:19:06.398356,346
,372
,359
,324
,345
,385
,345
,326
,352
,380
,341
,336
,371
,372
2026 05 24 15:19:06.463684,324
,338
,383
,350
,320
,359
,379
,342
,329
,362
,373
,331
,341
,382
2026 05 24 15:19:06.525627,375
,332
,352
,385
,349
,327
,353
,371
,344
,346
,385
,363
,320
,351
2026 05 24 15:19:06.590526,382
,352
,326
,358
,378
,332
,309
,367
,367
,319
,343
,375
,349
,327
2026 05 24 15:19:06.652368,351
,374
,338
,325
,367
,371
,323
,340
,369
,361
,327
,349
,381
,334
2026 05 24 15:19:06.713525,320
,370
,378
,336
,329
,365
,368
,317
,343
,376
,353
,323
,344
,373
2026 05 24 15:19:06.779510,332
,324
,376
,363
,316
,336
,374
,349
,327
,357
,382
,343
,332
,366
2026 05 24 15:19:06.841037,369
,335
,345
,375
,372
,320
,348
,371
,344
,327
,364
,370
,335
,338
2026 05 24 15:19:06.906537,381
,363
,320
,336
,376
,360
,322
,352
,378
,336
,326
,360
,359
,324
2026 05 24 15:19:06.967653,347
,372
,352
,329
,357
,377
,340
,322
,363
,377
,328
,346
,375
,348
2026 05 24 15:19:07.029493,320
,350
,380
,349
,320
,352
,379
,330
,328
,381
,368
,312
,350
,394
2026 05 24 15:19:07.094493,362
,328
,350
,375
,339
,343
,377
,371
,328
,344
,383
,360
,323
,352
2026 05 24 15:19:07.156554,382
,334
,328
,366
,369
,330
,339
,376
,352
,316
,335
,381
,354
,332
2026 05 24 15:19:07.222117,364
,385
,336
,331
,376
,372
,327
,346
,380
,355
,326
,343
,373
,337
2026 05 24 15:19:07.282906,335
,378
,374
,328
,345
,382
,353
,315
,344
,389
,341
,333
,368
,366
2026 05 24 15:19:07.344934,330
,334
,379
,365
,316
,350
,392
,352
,329
,351
,369
,334
,341
,384
2026 05 24 15:19:07.410232,372
,320
,352
,390
,352
,325
,363
,380
,337
,332
,374
,374
,322
,343
2026 05 24 15:19:07.471195,384
,359
,331
,352
,377
,346
,320
,360
,375
,338
,339
,384
,377
,325
2026 05 24 15:19:07.536586,341
,381
,352
,326
,363
,382
,342
,333
,376
,370
,318
,352
,378
,352
2026 05 24 15:19:07.598723,324
,357
,384
,341
,320
,364
,363
,321
,327
,373
,363
,322
,343
,371
2026 05 24 15:19:07.659905,333
,319
,356
,371
,321
,326
,368
,350
,313
,337
,372
,350
,321
,354
2026 05 24 15:19:07.725707,373
,321
,324
,381
,378
,326
,331
,380
,355
,316
,342
,371
,336
,326
2026 05 24 15:19:07.787102,362
,367
,325
,329
,367
,355
,316
,341
,372
,342
,327
,351
,369
,335
2026 05 24 15:19:07.852597,333
,374
,363
,329
,344
,389
,353
,318
,352
,373
,339
,338
,371
,371
2026 05 24 15:19:07.914141,332
,346
,373
,341
,313
,348
,375
,336
,321
,370
,373
,328
,340
,381
2026 05 24 15:19:07.975013,369
,333
,349
,389
,348
,334
,363
,383
,333
,339
,368
,362
,315
,339
2026 05 24 15:19:08.041287,380
,339
,323
,360
,380
,332
,318
,364
,368
,327
,345
,379
,350
,321
2026 05 24 15:19:08.102138,345
,382
,346
,337
,360
,369
,333
,336
,378
,360
,324
,345
,375
,352
2026 05 24 15:19:08.163261,317
,347
,373
,332
,326
,368
,370
,336
,349
,383
,357
,320
,353
,386
2026 05 24 15:19:08.229287,350
,335
,374
,364
,318
,339
,382
,350
,312
,344
,377
,341
,333
,363
2026 05 24 15:19:08.290946,371
,334
,342
,378
,368
,312
,362
,381
,347
,324
,355
,372
,327
,327
2026 05 24 15:19:08.356473,366
,355
,313
,331
,382
,349
,326
,354
,379
,339
,335
,364
,369
,333
2026 05 24 15:19:08.417263,342
,384
,365
,326
,344
,383
,350
,330
,369
,379
,335
,333
,369
,356
2026 05 24 15:19:08.478506,317
,343
,376
,349
,326
,359
,383
,334
,330
,377
,373
,326
,340
,371
2026 05 24 15:19:08.544985,352
,320
,347
,382
,337
,317
,367
,372
,328
,332
,383
,354
,325
,360
2026 05 24 15:19:08.605896,384
,345
,332
,368
,376
,329
,330
,379
,356
,315
,342
,384
,345
,310
2026 05 24 15:19:08.671926,352
,375
,329
,324
,372
,365
,320
,338
,378
,353
,314
,349
,385
,346
2026 05 24 15:19:08.732738,329
,361
,361
,330
,341
,381
,361
,316
,357
,371
,338
,322
,366
,376
2026 05 24 15:19:08.794735,334
,338
,374
,360
,317
,342
,384
,354
,321
,357
,368
,326
,313
,367
2026 05 24 15:19:08.859904,374
,325
,338
,383
,349
,320
,353
,373
,334
,324
,372
,373
,329
,326
2026 05 24 15:19:08.921751,375
,351
,315
,338
,372
,346
,330
,366
,378
,336
,339
,380
,370
,321
2026 05 24 15:19:08.986948,336
,387
,355
,314
,365
,383
,339
,337
,374
,369
,320
,336
,373
,354
2026 05 24 15:19:09.048367,321
,347
,371
,337
,329
,367
,365
,322
,338
,376
,357
,311
,346
,386
2026 05 24 15:19:09.109519,357
,332
,366
,377
,336
,334
,373
,370
,322
,349
,390
,366
,331
,355
2026 05 24 15:19:09.175686,380
,333
,330
,374
,367
,318
,337
,389
,359
,323
,360
,391
,350
,326
2026 05 24 15:19:09.236988,362
,374
,329
,348
,386
,368
,323
,350
,382
,348
,324
,350
,371
,332
2026 05 24 15:19:09.302588,333
,377
,367
,322
,338
,392
,357
,326
,359
,381
,337
,324
,377
,372
2026 05 24 15:19:09.364010,320
,340
,385
,360
,327
,349
,385
,349
,331
,366
,371
,329
,343
,381
2026 05 24 15:19:09.424328,363
,320
,347
,385
,358
,327
,365
,372
,328
,334
,365
,366
,325
,340
