timestamp,event,data
2026 05 24 15:19:06.111369,PHASE_PREPARING,
2026 05 24 15:19:11.123588,PHASE_SSVEP,
2026 05 24 15:19:11.208441,SSVEP_UPDATE,"fbcca_quad=1, fbcca_conf=0.2723, fbcca_ratio=2.0913, fbcca_consec=1, fbcca_scores=[0.048371129591604264, 0.17659422505666725, 0.08444101322051127, 0.0491977413048188], fbcca_probs=[0.23955757518793933, 0.2723306303506484, 0.2483561163099984, 0.23975567815141388], cca_quad=1, cca_conf=0.2697, cca_ratio=1.4654, cca_scores=[0.14247678846443743, 0.20878668080986842, 0.1023654371162357, 0.07311007958960186], cca_probs=[0.2523834622658122, 0.2696863181407638, 0.24246036536991808, 0.2354698542235059]"
2026 05 24 15:19:12.238365,SSVEP_UPDATE,"fbcca_quad=1, fbcca_conf=0.2580, fbcca_ratio=1.2444, fbcca_consec=2, fbcca_scores=[0.0940386947718428, 0.1170176121579519, 0.05324195257280254, 0.07668787137164218], fbcca_probs=[0.252138891411146, 0.2579998515309634, 0.24205944824046263, 0.24780180881742797], cca_quad=0, cca_conf=0.2608, cca_ratio=1.0625, cca_scores=[0.15216805476825399, 0.14321185715723267, 0.06315864578998447, 0.07811787938679945], cca_probs=[0.2607870757209843, 0.25846184329984817, 0.23857765708621625, 0.2421734238929513]"
2026 05 24 15:19:13.261724,SSVEP_UPDATE,"fbcca_quad=0, fbcca_conf=0.2536, fbcca_ratio=1.2700, fbcca_consec=1, fbcca_scores=[0.07694875945625718, 0.059219666255341544, 0.06059028758940206, 0.05411220498759418], fbcca_probs=[0.25357387206493387, 0.24911785454634133, 0.24945953489617623, 0.24784873849254863], cca_quad=0, cca_conf=0.2616, cca_ratio=1.5161, cca_scores=[0.14390231414580204, 0.0798687733565811, 0.09491319845419421, 0.07387718003542919], cca_probs=[0.2616064707769983, 0.24537994712330266, 0.24909945614142695, 0.24391412595827208]"
2026 05 24 15:19:14.275236,SSVEP_UPDATE,"fbcca_quad=2, fbcca_conf=0.2607, fbcca_ratio=1.3473, fbcca_consec=1, fbcca_scores=[0.075874699535568, 0.031224671120385687, 0.10222853501489285, 0.029616901837931083], fbcca_probs=[0.2539468374808608, 0.24285751550989745, 0.260728276637069, 0.2424673703721727], cca_quad=2, cca_conf=0.2638, cca_ratio=1.2048, cca_scores=[0.13559161707255787, 0.07091596169732818, 0.1633566886069354, 0.06537278449524872], cca_probs=[0.2565605507036696, 0.24049253426291106, 0.2637837855365797, 0.23916312949683968]"
2026 05 24 15:19:15.300740,SSVEP_UPDATE,"fbcca_quad=0, fbcca_conf=0.2548, fbcca_ratio=1.0871, fbcca_consec=1, fbcca_scores=[0.06431022176405948, 0.04364400111769697, 0.059155268927805524, 0.012779603311180174], fbcca_probs=[0.2548303901761827, 0.2496180542587006, 0.25352013159568915, 0.24203142396942753], cca_quad=0, cca_conf=0.2557, cca_ratio=1.0227, cca_scores=[0.12710667336082543, 0.12428028807339447, 0.11904793648111234, 0.04476430433310331], cca_probs=[0.25574742135432915, 0.25502560115682693, 0.2536947024479196, 0.23553227504092425]"
2026 05 24 15:19:16.318576,SSVEP_UPDATE,"fbcca_quad=0, fbcca_conf=0.2721, fbcca_ratio=1.5776, fbcca_consec=2, fbcca_scores=[0.16612342476276012, 0.03613661763070304, 0.10530198948677225, 0.010171492982516551], fbcca_probs=[0.272131163122363, 0.23896028349951312, 0.2560730440629877, 0.23283550931513614], cca_quad=0, cca_conf=0.2638, cca_ratio=1.1315, cca_scores=[0.18497732467248362, 0.1138250997534141, 0.16348191989156172, 0.05872468200701155], cca_probs=[0.2637515976705765, 0.2456371672738529, 0.25814264958907895, 0.23246858546649166]"
2026 05 24 15:19:17.333790,SSVEP_UPDATE,"fbcca_quad=0, fbcca_conf=0.2758, fbcca_ratio=3.1096, fbcca_consec=3, fbcca_scores=[0.1678567498220007, 0.028943630464805435, 0.05397986731928181, 0.02014888426773935], fbcca_probs=[0.2758350903527808, 0.24006028254297254, 0.2461463569367859, 0.23795827016746066], cca_quad=0, cca_conf=0.2723, cca_ratio=1.6879, cca_scores=[0.20817096168508195, 0.0935007572686368, 0.1233342311356361, 0.05958220554046461], cca_probs=[0.2723129170297692, 0.2428105794423765, 0.25016360023248313, 0.23471290329537126]"
2026 05 24 15:19:18.363127,SSVEP_UPDATE,"fbcca_quad=0, fbcca_conf=0.2707, fbcca_ratio=1.7832, fbcca_consec=4, fbcca_scores=[0.1478129722657082, 0.016891584737729348, 0.08289314147986507, 0.018972591278345698], fbcca_probs=[0.2707427085834774, 0.2375189874770534, 0.2537245232405522, 0.2380137806989171], cca_quad=0, cca_conf=0.2639, cca_ratio=1.1523, cca_scores=[0.14864024144920923, 0.05224965199584687, 0.1289979848273331, 0.04424735178047327], cca_probs=[0.2638849721829216, 0.23963638388343098, 0.2587522499876733, 0.23772639394597403]"
2026 05 24 15:19:19.389249,SSVEP_UPDATE,"fbcca_quad=3, fbcca_conf=0.2538, fbcca_ratio=1.0803, fbcca_consec=1, fbcca_scores=[0.020236945486770824, 0.03659678785925192, 0.05239346379143015, 0.056600906242892386], fbcca_probs=[0.24472574774821174, 0.24876235147539727, 0.2527231712557843, 0.25378872952060666], cca_quad=3, cca_conf=0.2527, cca_ratio=1.0797, cca_scores=[0.0675507683378441, 0.07944758173213803, 0.0673963840564067, 0.08577566117218738], cca_probs=[0.24812630711311595, 0.25109584850273026, 0.24808800326831842, 0.25268984111583537]"
